timestamp,helper
2019-07-31,2206
2019-08-31,8981
2019-09-30,19700
2019-10-31,33395
2019-11-30,40245
2019-12-31,53814
2020-01-31,62943
2020-02-29,70469
2020-03-31,86612
2020-04-30,87212
2020-05-31,104517
2020-06-30,105384
2020-07-31,118293
2020-08-31,132766
2020-09-30,136601
2020-10-31,146576
2020-11-30,154852
2020-12-31,163407
2021-01-31,179018
2021-02-28,166731
2021-03-31,195989
2021-04-30,193998
2021-05-31,220974
2021-06-30,212213
2021-07-31,233270
2021-08-31,253755
2021-09-30,248678
2021-10-31,271890
2021-11-30,270790
2021-12-31,288700
2022-01-31,307249
2022-02-28,277690
2022-03-31,317265
2022-04-30,315297
2022-05-31,348638
2022-06-30,340666
2022-07-31,372976
2022-08-31,367598
2022-09-30,360988
2022-10-31,409043
2022-11-30,393714
2022-12-31,418575
2023-01-31,442202
2023-02-28,408293
2023-03-31,457571
2023-04-30,464277
2023-05-31,467555
2023-06-30,478148
2023-07-31,529158
2023-08-31,500389
2023-09-30,515588
2023-10-31,535838
2023-11-30,522928
