year_week,count
2019_28,3
2019_29,2
2019_31,1
2019_32,4
2019_33,7
2019_34,10
2019_35,8
2019_36,17
2019_37,16
2019_38,25
2019_39,27
2019_40,30
2019_41,29
2019_42,33
2019_43,33
2019_44,53
2019_45,39
2019_46,46
2019_47,36
2019_48,35
2019_49,42
2019_50,34
2019_51,65
2019_52,10
2020_00,45
2020_01,50
2020_02,51
2020_03,68
2020_04,58
2020_05,61
2020_06,68
2020_07,78
2020_08,71
2020_09,63
2020_10,70
2020_11,73
2020_12,90
2020_13,82
2020_14,69
2020_15,111
2020_16,86
2020_17,100
2020_18,96
2020_19,94
2020_20,112
2020_21,80
2020_22,97
2020_23,87
2020_24,97
2020_25,86
2020_26,101
2020_27,81
2020_28,107
2020_29,106
2020_30,93
2020_31,115
2020_32,107
2020_33,123
2020_34,112
2020_35,126
2020_36,138
2020_37,125
2020_38,140
2020_39,128
2020_40,136
2020_41,130
2020_42,147
2020_43,120
2020_44,138
2020_45,138
2020_46,124
2020_47,141
2020_48,132
2020_49,139
2020_50,155
2020_51,145
2020_52,37
2021_00,128
2021_01,160
2021_02,133
2021_03,170
2021_04,170
2021_05,140
2021_06,152
2021_07,149
2021_08,177
2021_09,184
2021_10,204
2021_11,196
2021_12,178
2021_13,160
2021_14,181
2021_15,202
2021_16,198
2021_17,183
2021_18,173
2021_19,183
2021_20,190
2021_21,179
2021_22,188
2021_23,194
2021_24,206
2021_25,217
2021_26,221
2021_27,182
2021_28,239
2021_29,224
2021_30,213
2021_31,237
2021_32,221
2021_33,228
2021_34,265
2021_35,232
2021_36,265
2021_37,231
2021_38,246
2021_39,212
2021_40,209
2021_41,271
2021_42,249
2021_43,226
2021_44,248
2021_45,258
2021_46,221
2021_47,283
2021_48,267
2021_49,250
2021_50,273
2021_51,293
2021_52,60
2022_00,246
2022_01,272
2022_02,279
2022_03,269
2022_04,266
2022_05,270
2022_06,301
2022_07,285
2022_08,288
2022_09,239
2022_10,293
2022_11,300
2022_12,284
2022_13,299
2022_14,316
2022_15,260
2022_16,301
2022_17,339
2022_18,275
2022_19,336
2022_20,281
2022_21,306
2022_22,290
2022_23,335
2022_24,277
2022_25,308
2022_26,346
2022_27,351
2022_28,342
2022_29,342
2022_30,350
2022_31,329
2022_32,333
2022_33,310
2022_34,310
2022_35,326
2022_36,328
2022_37,323
2022_38,340
2022_39,344
2022_40,325
2022_41,366
2022_42,362
2022_43,357
2022_44,369
2022_45,351
2022_46,330
2022_47,390
2022_48,353
2022_49,372
2022_50,370
2022_51,362
2022_52,124
2023_00,301
2023_01,380
2023_02,376
2023_03,438
2023_04,432
2023_05,377
2023_06,430
2023_07,397
2023_08,453
2023_09,415
2023_10,411
2023_11,402
2023_12,434
2023_13,407
2023_14,414
2023_15,407
2023_16,406
2023_17,404
2023_18,425
2023_19,422
2023_20,421
2023_21,444
2023_22,460
2023_23,417
2023_24,483
2023_25,439
2023_26,453
2023_27,381
2023_28,458
2023_29,433
2023_30,419
2023_31,452
2023_32,435
2023_33,472
2023_34,469
2023_35,493
2023_36,485
2023_37,499
2023_38,486
2023_39,511
2023_40,450
2023_41,485
2023_42,502
2023_43,475
2023_44,492
2023_45,468
2023_46,528
2023_47,487
2023_48,459
2023_49,211
