year_week,count
2019_35,1
2019_36,1
2019_39,2
2019_41,2
2019_43,1
2019_46,1
2019_49,1
2019_50,3
2019_51,1
2020_00,1
2020_01,1
2020_03,2
2020_04,2
2020_05,2
2020_06,4
2020_07,1
2020_10,4
2020_12,3
2020_14,3
2020_15,1
2020_16,4
2020_17,2
2020_18,1
2020_19,4
2020_20,1
2020_21,1
2020_23,4
2020_24,4
2020_25,4
2020_27,3
2020_28,3
2020_29,1
2020_30,1
2020_31,2
2020_32,2
2020_33,2
2020_35,4
2020_36,4
2020_37,3
2020_38,3
2020_39,4
2020_40,4
2020_41,4
2020_42,3
2020_43,4
2020_44,3
2020_45,2
2020_46,3
2020_47,4
2020_48,3
2020_49,7
2020_50,3
2020_52,2
2021_01,5
2021_02,5
2021_03,2
2021_04,6
2021_05,1
2021_06,1
2021_07,1
2021_08,3
2021_09,1
2021_10,2
2021_11,5
2021_12,1
2021_13,1
2021_14,3
2021_15,3
2021_16,3
2021_17,1
2021_18,5
2021_19,2
2021_20,4
2021_21,6
2021_22,6
2021_23,1
2021_24,4
2021_26,3
2021_27,1
2021_28,1
2021_29,6
2021_30,6
2021_31,2
2021_32,3
2021_33,3
2021_34,4
2021_35,2
2021_36,2
2021_37,5
2021_38,3
2021_39,2
2021_40,5
2021_41,3
2021_42,5
2021_43,2
2021_44,4
2021_45,3
2021_46,6
2021_47,8
2021_48,3
2021_49,4
2021_50,6
2021_51,5
2022_00,5
2022_01,6
2022_02,6
2022_03,3
2022_04,6
2022_05,11
2022_06,4
2022_07,4
2022_08,6
2022_09,3
2022_10,4
2022_11,5
2022_12,7
2022_13,3
2022_14,5
2022_15,5
2022_16,8
2022_17,6
2022_18,4
2022_19,7
2022_20,7
2022_21,5
2022_22,10
2022_23,5
2022_24,10
2022_25,5
2022_26,3
2022_27,2
2022_28,7
2022_29,7
2022_30,6
2022_31,4
2022_32,7
2022_33,4
2022_34,8
2022_35,7
2022_36,8
2022_37,4
2022_38,5
2022_39,6
2022_40,5
2022_41,8
2022_42,4
2022_43,8
2022_44,6
2022_45,5
2022_46,8
2022_47,5
2022_48,7
2022_49,8
2022_50,9
2022_51,11
2022_52,2
2023_00,2
2023_01,13
2023_02,5
2023_03,8
2023_04,9
2023_05,14
2023_06,11
2023_07,7
2023_08,2
2023_09,12
2023_10,9
2023_11,11
2023_12,9
2023_13,11
2023_14,10
2023_15,7
2023_16,9
2023_17,9
2023_18,5
2023_19,5
2023_20,7
2023_21,7
2023_22,8
2023_23,7
2023_24,8
2023_25,8
2023_26,13
2023_27,3
2023_28,12
2023_29,15
2023_30,12
2023_31,9
2023_32,11
2023_33,4
2023_34,8
2023_35,14
2023_36,9
2023_37,11
2023_38,8
2023_39,13
2023_40,8
2023_41,7
2023_42,7
2023_43,9
2023_44,9
2023_45,7
2023_46,9
2023_47,8
2023_48,15
2023_49,4
