year_week,count
2019_29,1
2019_30,5
2019_31,3
2019_32,4
2019_33,2
2019_34,3
2019_35,1
2019_36,9
2019_37,6
2019_38,5
2019_39,10
2019_40,7
2019_41,10
2019_42,12
2019_43,6
2019_44,16
2019_45,14
2019_46,11
2019_47,10
2019_48,14
2019_49,19
2019_50,8
2019_51,10
2019_52,5
2020_00,14
2020_01,13
2020_02,14
2020_03,13
2020_04,21
2020_05,18
2020_06,13
2020_07,24
2020_08,19
2020_09,22
2020_10,17
2020_11,18
2020_12,19
2020_13,29
2020_14,22
2020_15,22
2020_16,18
2020_17,19
2020_18,22
2020_19,23
2020_20,19
2020_21,33
2020_22,25
2020_23,17
2020_24,29
2020_25,26
2020_26,30
2020_27,30
2020_28,28
2020_29,27
2020_30,20
2020_31,23
2020_32,29
2020_33,27
2020_34,25
2020_35,34
2020_36,22
2020_37,31
2020_38,33
2020_39,28
2020_40,25
2020_41,21
2020_42,46
2020_43,40
2020_44,35
2020_45,40
2020_46,35
2020_47,33
2020_48,40
2020_49,44
2020_50,27
2020_51,40
2020_52,8
2021_00,33
2021_01,44
2021_02,41
2021_03,47
2021_04,43
2021_05,34
2021_06,35
2021_07,49
2021_08,32
2021_09,49
2021_10,35
2021_11,44
2021_12,52
2021_13,58
2021_14,45
2021_15,40
2021_16,55
2021_17,43
2021_18,48
2021_19,42
2021_20,38
2021_21,49
2021_22,47
2021_23,42
2021_24,41
2021_25,45
2021_26,65
2021_27,51
2021_28,46
2021_29,47
2021_30,60
2021_31,56
2021_32,61
2021_33,47
2021_34,49
2021_35,77
2021_36,68
2021_37,65
2021_38,64
2021_39,50
2021_40,48
2021_41,51
2021_42,53
2021_43,71
2021_44,59
2021_45,68
2021_46,62
2021_47,92
2021_48,62
2021_49,80
2021_50,91
2021_51,74
2021_52,14
2022_00,50
2022_01,70
2022_02,65
2022_03,62
2022_04,57
2022_05,77
2022_06,57
2022_07,80
2022_08,77
2022_09,73
2022_10,70
2022_11,68
2022_12,96
2022_13,94
2022_14,78
2022_15,104
2022_16,72
2022_17,70
2022_18,85
2022_19,77
2022_20,99
2022_21,95
2022_22,76
2022_23,93
2022_24,72
2022_25,95
2022_26,86
2022_27,91
2022_28,91
2022_29,101
2022_30,80
2022_31,81
2022_32,96
2022_33,100
2022_34,86
2022_35,83
2022_36,74
2022_37,75
2022_38,103
2022_39,94
2022_40,89
2022_41,98
2022_42,91
2022_43,110
2022_44,87
2022_45,100
2022_46,102
2022_47,89
2022_48,110
2022_49,119
2022_50,96
2022_51,82
2022_52,27
2023_00,68
2023_01,121
2023_02,100
2023_03,82
2023_04,105
2023_05,95
2023_06,129
2023_07,120
2023_08,111
2023_09,103
2023_10,112
2023_11,102
2023_12,109
2023_13,123
2023_14,95
2023_15,117
2023_16,107
2023_17,103
2023_18,100
2023_19,104
2023_20,104
2023_21,122
2023_22,118
2023_23,124
2023_24,113
2023_25,133
2023_26,117
2023_27,113
2023_28,130
2023_29,133
2023_30,120
2023_31,105
2023_32,128
2023_33,141
2023_34,121
2023_35,121
2023_36,128
2023_37,104
2023_38,118
2023_39,125
2023_40,121
2023_41,110
2023_42,148
2023_43,143
2023_44,147
2023_45,129
2023_46,131
2023_47,115
2023_48,113
2023_49,62
