year_week,count
2019_35,2
2019_36,1
2019_39,2
2019_40,1
2019_41,3
2019_42,1
2019_43,2
2019_44,1
2019_45,2
2019_47,3
2019_48,1
2019_50,2
2019_52,1
2020_00,2
2020_01,1
2020_02,4
2020_04,2
2020_05,2
2020_08,3
2020_09,4
2020_10,3
2020_11,3
2020_12,3
2020_13,4
2020_14,1
2020_15,2
2020_16,3
2020_17,2
2020_18,3
2020_19,2
2020_20,3
2020_21,4
2020_23,4
2020_24,2
2020_25,3
2020_26,4
2020_27,1
2020_28,2
2020_29,3
2020_30,5
2020_31,5
2020_32,2
2020_33,1
2020_34,4
2020_35,4
2020_36,7
2020_37,2
2020_38,6
2020_39,8
2020_40,6
2020_41,5
2020_42,1
2020_43,7
2020_44,5
2020_45,3
2020_46,4
2020_47,8
2020_48,3
2020_49,5
2020_50,5
2020_51,3
2020_52,1
2021_00,3
2021_01,6
2021_02,5
2021_03,10
2021_04,5
2021_05,7
2021_06,6
2021_07,2
2021_08,4
2021_09,6
2021_10,4
2021_11,5
2021_12,6
2021_13,9
2021_14,8
2021_15,6
2021_16,6
2021_17,9
2021_18,10
2021_19,14
2021_20,7
2021_21,4
2021_22,6
2021_23,6
2021_24,4
2021_25,5
2021_26,10
2021_27,4
2021_28,6
2021_29,4
2021_30,7
2021_31,6
2021_32,10
2021_33,12
2021_34,7
2021_35,7
2021_36,12
2021_37,11
2021_38,8
2021_39,8
2021_40,9
2021_41,11
2021_42,6
2021_43,3
2021_44,10
2021_45,8
2021_46,9
2021_47,10
2021_48,9
2021_49,11
2021_50,12
2021_51,10
2021_52,3
2022_00,7
2022_01,13
2022_02,9
2022_03,10
2022_04,7
2022_05,5
2022_06,11
2022_07,13
2022_08,9
2022_09,11
2022_10,10
2022_11,10
2022_12,12
2022_13,12
2022_14,12
2022_15,19
2022_16,20
2022_17,11
2022_18,8
2022_19,8
2022_20,9
2022_21,14
2022_22,13
2022_23,11
2022_24,9
2022_25,5
2022_26,10
2022_27,12
2022_28,12
2022_29,16
2022_30,11
2022_31,15
2022_32,10
2022_33,6
2022_34,11
2022_35,4
2022_36,19
2022_37,7
2022_38,11
2022_39,23
2022_40,12
2022_41,9
2022_42,16
2022_43,19
2022_44,15
2022_45,14
2022_46,8
2022_47,18
2022_48,16
2022_49,22
2022_50,11
2022_51,13
2022_52,3
2023_00,15
2023_01,12
2023_02,15
2023_03,15
2023_04,17
2023_05,9
2023_06,21
2023_07,15
2023_08,16
2023_09,16
2023_10,14
2023_11,15
2023_12,8
2023_13,13
2023_14,14
2023_15,13
2023_16,11
2023_17,17
2023_18,11
2023_19,16
2023_20,16
2023_21,20
2023_22,17
2023_23,19
2023_24,19
2023_25,26
2023_26,22
2023_27,18
2023_28,10
2023_29,14
2023_30,15
2023_31,18
2023_32,15
2023_33,25
2023_34,17
2023_35,10
2023_36,19
2023_37,20
2023_38,14
2023_39,22
2023_40,18
2023_41,18
2023_42,16
2023_43,14
2023_44,24
2023_45,24
2023_46,25
2023_47,20
2023_48,23
2023_49,9
