year_week,count
2019_30,1
2019_31,1
2019_33,1
2019_35,1
2019_36,1
2019_37,1
2019_38,2
2019_39,2
2019_40,10
2019_41,7
2019_42,3
2019_44,2
2019_45,8
2019_46,3
2019_47,3
2019_48,10
2019_49,6
2019_50,4
2019_51,8
2019_52,3
2020_00,5
2020_01,6
2020_02,4
2020_03,8
2020_04,8
2020_05,8
2020_06,10
2020_07,9
2020_08,5
2020_09,7
2020_10,6
2020_11,9
2020_12,10
2020_13,11
2020_14,11
2020_15,10
2020_16,13
2020_17,6
2020_18,20
2020_19,14
2020_20,10
2020_21,8
2020_22,8
2020_23,14
2020_24,16
2020_25,9
2020_26,16
2020_27,11
2020_28,14
2020_29,14
2020_30,18
2020_31,13
2020_32,8
2020_33,14
2020_34,21
2020_35,21
2020_36,16
2020_37,14
2020_38,17
2020_39,12
2020_40,21
2020_41,27
2020_42,14
2020_43,14
2020_44,19
2020_45,22
2020_46,14
2020_47,19
2020_48,19
2020_49,14
2020_50,16
2020_51,24
2020_52,3
2021_00,12
2021_01,22
2021_02,19
2021_03,13
2021_04,21
2021_05,18
2021_06,18
2021_07,18
2021_08,26
2021_09,17
2021_10,22
2021_11,28
2021_12,18
2021_13,21
2021_14,26
2021_15,20
2021_16,17
2021_17,19
2021_18,32
2021_19,14
2021_20,28
2021_21,33
2021_22,22
2021_23,23
2021_24,26
2021_25,24
2021_26,23
2021_27,25
2021_28,24
2021_29,24
2021_30,29
2021_31,35
2021_32,31
2021_33,15
2021_34,22
2021_35,34
2021_36,31
2021_37,28
2021_38,40
2021_39,32
2021_40,32
2021_41,32
2021_42,35
2021_43,37
2021_44,26
2021_45,22
2021_46,34
2021_47,41
2021_48,27
2021_49,30
2021_50,22
2021_51,33
2021_52,3
2022_00,23
2022_01,30
2022_02,39
2022_03,32
2022_04,31
2022_05,24
2022_06,41
2022_07,24
2022_08,36
2022_09,45
2022_10,27
2022_11,34
2022_12,29
2022_13,30
2022_14,39
2022_15,33
2022_16,33
2022_17,31
2022_18,33
2022_19,37
2022_20,42
2022_21,52
2022_22,49
2022_23,33
2022_24,38
2022_25,40
2022_26,45
2022_27,41
2022_28,46
2022_29,48
2022_30,44
2022_31,32
2022_32,33
2022_33,44
2022_34,42
2022_35,42
2022_36,58
2022_37,36
2022_38,57
2022_39,32
2022_40,50
2022_41,54
2022_42,56
2022_43,40
2022_44,42
2022_45,33
2022_46,33
2022_47,52
2022_48,45
2022_49,50
2022_50,42
2022_51,47
2022_52,11
2023_00,26
2023_01,56
2023_02,60
2023_03,49
2023_04,45
2023_05,45
2023_06,44
2023_07,48
2023_08,65
2023_09,45
2023_10,36
2023_11,57
2023_12,68
2023_13,51
2023_14,51
2023_15,56
2023_16,58
2023_17,53
2023_18,57
2023_19,65
2023_20,59
2023_21,57
2023_22,69
2023_23,53
2023_24,50
2023_25,59
2023_26,53
2023_27,62
2023_28,64
2023_29,56
2023_30,60
2023_31,56
2023_32,55
2023_33,56
2023_34,60
2023_35,68
2023_36,65
2023_37,64
2023_38,56
2023_39,64
2023_40,57
2023_41,67
2023_42,62
2023_43,47
2023_44,71
2023_45,72
2023_46,76
2023_47,51
2023_48,75
2023_49,28
