year_week,count
2019_30,2
2019_31,1
2019_32,1
2019_33,3
2019_34,3
2019_35,4
2019_36,1
2019_37,3
2019_38,4
2019_39,8
2019_40,4
2019_41,9
2019_42,12
2019_43,5
2019_44,12
2019_45,10
2019_46,8
2019_47,7
2019_48,9
2019_49,13
2019_50,7
2019_51,20
2019_52,3
2020_00,11
2020_01,16
2020_02,12
2020_03,15
2020_04,7
2020_05,19
2020_06,18
2020_07,11
2020_08,19
2020_09,23
2020_10,19
2020_11,18
2020_12,24
2020_13,15
2020_14,24
2020_15,16
2020_16,17
2020_17,20
2020_18,29
2020_19,15
2020_20,22
2020_21,21
2020_22,27
2020_23,24
2020_24,28
2020_25,29
2020_26,33
2020_27,26
2020_28,29
2020_29,20
2020_30,41
2020_31,43
2020_32,32
2020_33,32
2020_34,26
2020_35,31
2020_36,39
2020_37,40
2020_38,31
2020_39,41
2020_40,35
2020_41,31
2020_42,29
2020_43,31
2020_44,35
2020_45,35
2020_46,49
2020_47,33
2020_48,43
2020_49,38
2020_50,35
2020_51,32
2020_52,6
2021_00,28
2021_01,40
2021_02,42
2021_03,45
2021_04,40
2021_05,50
2021_06,46
2021_07,49
2021_08,40
2021_09,37
2021_10,42
2021_11,50
2021_12,57
2021_13,50
2021_14,51
2021_15,44
2021_16,45
2021_17,45
2021_18,45
2021_19,44
2021_20,43
2021_21,47
2021_22,55
2021_23,50
2021_24,49
2021_25,53
2021_26,46
2021_27,39
2021_28,60
2021_29,73
2021_30,60
2021_31,51
2021_32,61
2021_33,59
2021_34,63
2021_35,68
2021_36,61
2021_37,69
2021_38,66
2021_39,60
2021_40,61
2021_41,77
2021_42,71
2021_43,65
2021_44,76
2021_45,51
2021_46,73
2021_47,65
2021_48,72
2021_49,73
2021_50,58
2021_51,88
2021_52,13
2022_00,58
2022_01,70
2022_02,69
2022_03,72
2022_04,64
2022_05,63
2022_06,57
2022_07,66
2022_08,63
2022_09,72
2022_10,72
2022_11,72
2022_12,69
2022_13,76
2022_14,68
2022_15,63
2022_16,80
2022_17,87
2022_18,84
2022_19,67
2022_20,76
2022_21,66
2022_22,77
2022_23,76
2022_24,69
2022_25,89
2022_26,73
2022_27,66
2022_28,84
2022_29,54
2022_30,80
2022_31,83
2022_32,79
2022_33,90
2022_34,84
2022_35,80
2022_36,96
2022_37,80
2022_38,80
2022_39,99
2022_40,88
2022_41,86
2022_42,72
2022_43,81
2022_44,99
2022_45,104
2022_46,83
2022_47,104
2022_48,111
2022_49,108
2022_50,105
2022_51,78
2022_52,29
2023_00,78
2023_01,85
2023_02,84
2023_03,101
2023_04,101
2023_05,97
2023_06,94
2023_07,96
2023_08,77
2023_09,99
2023_10,104
2023_11,105
2023_12,94
2023_13,93
2023_14,92
2023_15,105
2023_16,103
2023_17,124
2023_18,114
2023_19,103
2023_20,132
2023_21,116
2023_22,112
2023_23,97
2023_24,136
2023_25,107
2023_26,121
2023_27,121
2023_28,110
2023_29,139
2023_30,93
2023_31,118
2023_32,121
2023_33,139
2023_34,121
2023_35,93
2023_36,120
2023_37,141
2023_38,123
2023_39,133
2023_40,138
2023_41,107
2023_42,113
2023_43,109
2023_44,116
2023_45,112
2023_46,130
2023_47,138
2023_48,117
2023_49,53
