year_week,count
2019_27,2
2019_28,5
2019_29,12
2019_30,22
2019_31,13
2019_32,17
2019_33,12
2019_34,19
2019_35,28
2019_36,36
2019_37,27
2019_38,34
2019_39,43
2019_40,38
2019_41,50
2019_42,52
2019_43,76
2019_44,63
2019_45,55
2019_46,79
2019_47,75
2019_48,71
2019_49,92
2019_50,105
2019_51,85
2019_52,18
2020_00,98
2020_01,92
2020_02,116
2020_03,94
2020_04,112
2020_05,97
2020_06,105
2020_07,113
2020_08,118
2020_09,115
2020_10,130
2020_11,119
2020_12,148
2020_13,129
2020_14,143
2020_15,139
2020_16,148
2020_17,128
2020_18,159
2020_19,154
2020_20,181
2020_21,180
2020_22,179
2020_23,176
2020_24,171
2020_25,150
2020_26,167
2020_27,173
2020_28,208
2020_29,161
2020_30,181
2020_31,179
2020_32,193
2020_33,190
2020_34,218
2020_35,220
2020_36,200
2020_37,188
2020_38,255
2020_39,236
2020_40,197
2020_41,195
2020_42,225
2020_43,206
2020_44,223
2020_45,236
2020_46,236
2020_47,285
2020_48,271
2020_49,266
2020_50,234
2020_51,275
2020_52,72
2021_00,236
2021_01,250
2021_02,262
2021_03,248
2021_04,261
2021_05,259
2021_06,278
2021_07,278
2021_08,263
2021_09,289
2021_10,273
2021_11,294
2021_12,352
2021_13,310
2021_14,292
2021_15,331
2021_16,272
2021_17,319
2021_18,331
2021_19,320
2021_20,318
2021_21,330
2021_22,339
2021_23,285
2021_24,311
2021_25,349
2021_26,372
2021_27,341
2021_28,314
2021_29,382
2021_30,369
2021_31,355
2021_32,364
2021_33,372
2021_34,380
2021_35,373
2021_36,450
2021_37,365
2021_38,382
2021_39,351
2021_40,401
2021_41,428
2021_42,383
2021_43,432
2021_44,380
2021_45,410
2021_46,470
2021_47,482
2021_48,428
2021_49,463
2021_50,447
2021_51,455
2021_52,110
2022_00,366
2022_01,443
2022_02,423
2022_03,467
2022_04,481
2022_05,484
2022_06,423
2022_07,472
2022_08,493
2022_09,535
2022_10,488
2022_11,503
2022_12,549
2022_13,546
2022_14,484
2022_15,504
2022_16,515
2022_17,453
2022_18,565
2022_19,551
2022_20,579
2022_21,555
2022_22,572
2022_23,582
2022_24,617
2022_25,589
2022_26,559
2022_27,566
2022_28,552
2022_29,540
2022_30,598
2022_31,583
2022_32,606
2022_33,540
2022_34,626
2022_35,578
2022_36,565
2022_37,579
2022_38,596
2022_39,586
2022_40,621
2022_41,624
2022_42,631
2022_43,608
2022_44,595
2022_45,632
2022_46,585
2022_47,674
2022_48,566
2022_49,656
2022_50,658
2022_51,673
2022_52,207
2023_00,567
2023_01,671
2023_02,675
2023_03,728
2023_04,731
2023_05,703
2023_06,721
2023_07,731
2023_08,729
2023_09,747
2023_10,712
2023_11,678
2023_12,774
2023_13,747
2023_14,675
2023_15,755
2023_16,712
2023_17,696
2023_18,686
2023_19,754
2023_20,722
2023_21,743
2023_22,801
2023_23,804
2023_24,734
2023_25,733
2023_26,769
2023_27,834
2023_28,776
2023_29,807
2023_30,798
2023_31,805
2023_32,725
2023_33,846
2023_34,843
2023_35,772
2023_36,761
2023_37,830
2023_38,783
2023_39,826
2023_40,831
2023_41,819
2023_42,833
2023_43,778
2023_44,889
2023_45,797
2023_46,808
2023_47,810
2023_48,874
2023_49,360
