year_week,count
2019_28,1
2019_30,2
2019_31,1
2019_32,1
2019_35,1
2019_36,2
2019_37,3
2019_38,3
2019_39,6
2019_40,5
2019_41,5
2019_42,4
2019_43,4
2019_44,9
2019_45,7
2019_46,4
2019_47,6
2019_48,4
2019_49,9
2019_50,13
2019_51,14
2019_52,1
2020_00,10
2020_01,7
2020_02,6
2020_03,6
2020_04,12
2020_05,13
2020_06,10
2020_07,6
2020_08,8
2020_09,11
2020_10,13
2020_11,8
2020_12,18
2020_13,18
2020_14,11
2020_15,15
2020_16,13
2020_17,13
2020_18,13
2020_19,17
2020_20,17
2020_21,19
2020_22,12
2020_23,11
2020_24,14
2020_25,14
2020_26,24
2020_27,18
2020_28,17
2020_29,20
2020_30,22
2020_31,20
2020_32,13
2020_33,30
2020_34,11
2020_35,15
2020_36,13
2020_37,16
2020_38,17
2020_39,13
2020_40,19
2020_41,20
2020_42,17
2020_43,16
2020_44,21
2020_45,21
2020_46,33
2020_47,21
2020_48,22
2020_49,24
2020_50,17
2020_51,17
2020_52,11
2021_00,24
2021_01,31
2021_02,24
2021_03,26
2021_04,23
2021_05,16
2021_06,23
2021_07,20
2021_08,20
2021_09,26
2021_10,37
2021_11,36
2021_12,28
2021_13,27
2021_14,30
2021_15,27
2021_16,28
2021_17,25
2021_18,25
2021_19,21
2021_20,30
2021_21,22
2021_22,30
2021_23,22
2021_24,41
2021_25,35
2021_26,32
2021_27,27
2021_28,28
2021_29,27
2021_30,35
2021_31,28
2021_32,32
2021_33,32
2021_34,22
2021_35,39
2021_36,31
2021_37,28
2021_38,36
2021_39,35
2021_40,32
2021_41,35
2021_42,22
2021_43,39
2021_44,38
2021_45,40
2021_46,43
2021_47,42
2021_48,30
2021_49,43
2021_50,41
2021_51,51
2021_52,7
2022_00,30
2022_01,41
2022_02,36
2022_03,51
2022_04,42
2022_05,33
2022_06,49
2022_07,39
2022_08,47
2022_09,45
2022_10,53
2022_11,45
2022_12,45
2022_13,42
2022_14,54
2022_15,58
2022_16,45
2022_17,54
2022_18,59
2022_19,41
2022_20,55
2022_21,46
2022_22,60
2022_23,53
2022_24,56
2022_25,44
2022_26,53
2022_27,42
2022_28,56
2022_29,64
2022_30,69
2022_31,56
2022_32,64
2022_33,63
2022_34,61
2022_35,54
2022_36,53
2022_37,48
2022_38,56
2022_39,53
2022_40,55
2022_41,44
2022_42,54
2022_43,63
2022_44,44
2022_45,65
2022_46,67
2022_47,49
2022_48,57
2022_49,69
2022_50,59
2022_51,67
2022_52,32
2023_00,41
2023_01,60
2023_02,67
2023_03,53
2023_04,69
2023_05,65
2023_06,65
2023_07,75
2023_08,63
2023_09,73
2023_10,67
2023_11,69
2023_12,79
2023_13,81
2023_14,59
2023_15,68
2023_16,63
2023_17,51
2023_18,61
2023_19,62
2023_20,54
2023_21,71
2023_22,88
2023_23,83
2023_24,70
2023_25,63
2023_26,69
2023_27,68
2023_28,74
2023_29,74
2023_30,60
2023_31,79
2023_32,71
2023_33,75
2023_34,77
2023_35,67
2023_36,64
2023_37,69
2023_38,85
2023_39,78
2023_40,99
2023_41,62
2023_42,85
2023_43,76
2023_44,93
2023_45,80
2023_46,86
2023_47,71
2023_48,67
2023_49,32
