year_week,count
2019_30,2
2019_31,1
2019_32,3
2019_34,5
2019_35,2
2019_36,4
2019_37,5
2019_38,2
2019_39,4
2019_40,7
2019_41,6
2019_42,5
2019_44,8
2019_45,9
2019_46,7
2019_47,7
2019_48,6
2019_49,5
2019_50,6
2019_51,7
2020_00,9
2020_01,5
2020_02,7
2020_03,7
2020_04,14
2020_05,9
2020_06,7
2020_07,8
2020_08,11
2020_09,10
2020_10,11
2020_11,11
2020_12,15
2020_13,10
2020_14,8
2020_15,18
2020_16,15
2020_17,16
2020_18,18
2020_19,17
2020_20,10
2020_21,16
2020_22,14
2020_23,11
2020_24,12
2020_25,23
2020_26,17
2020_27,16
2020_28,15
2020_29,11
2020_30,17
2020_31,15
2020_32,12
2020_33,10
2020_34,16
2020_35,20
2020_36,15
2020_37,16
2020_38,21
2020_39,24
2020_40,21
2020_41,21
2020_42,8
2020_43,22
2020_44,19
2020_45,22
2020_46,22
2020_47,29
2020_48,31
2020_49,20
2020_50,19
2020_51,19
2020_52,1
2021_00,22
2021_01,24
2021_02,30
2021_03,26
2021_04,25
2021_05,25
2021_06,22
2021_07,27
2021_08,25
2021_09,20
2021_10,24
2021_11,29
2021_12,38
2021_13,22
2021_14,26
2021_15,30
2021_16,25
2021_17,22
2021_18,38
2021_19,23
2021_20,32
2021_21,27
2021_22,30
2021_23,33
2021_24,23
2021_25,37
2021_26,30
2021_27,22
2021_28,30
2021_29,31
2021_30,31
2021_31,26
2021_32,33
2021_33,34
2021_34,34
2021_35,34
2021_36,35
2021_37,26
2021_38,42
2021_39,23
2021_40,32
2021_41,33
2021_42,34
2021_43,34
2021_44,34
2021_45,30
2021_46,35
2021_47,39
2021_48,39
2021_49,48
2021_50,36
2021_51,42
2021_52,9
2022_00,36
2022_01,44
2022_02,38
2022_03,45
2022_04,33
2022_05,41
2022_06,44
2022_07,50
2022_08,45
2022_09,41
2022_10,40
2022_11,45
2022_12,55
2022_13,47
2022_14,41
2022_15,31
2022_16,55
2022_17,36
2022_18,27
2022_19,47
2022_20,61
2022_21,67
2022_22,60
2022_23,51
2022_24,45
2022_25,43
2022_26,48
2022_27,58
2022_28,57
2022_29,50
2022_30,50
2022_31,65
2022_32,49
2022_33,44
2022_34,63
2022_35,40
2022_36,64
2022_37,56
2022_38,44
2022_39,50
2022_40,71
2022_41,42
2022_42,47
2022_43,59
2022_44,53
2022_45,79
2022_46,73
2022_47,51
2022_48,54
2022_49,52
2022_50,47
2022_51,66
2022_52,23
2023_00,45
2023_01,60
2023_02,61
2023_03,80
2023_04,75
2023_05,56
2023_06,77
2023_07,81
2023_08,62
2023_09,62
2023_10,73
2023_11,59
2023_12,63
2023_13,64
2023_14,77
2023_15,75
2023_16,52
2023_17,46
2023_18,59
2023_19,59
2023_20,54
2023_21,62
2023_22,67
2023_23,78
2023_24,63
2023_25,66
2023_26,75
2023_27,80
2023_28,81
2023_29,73
2023_30,76
2023_31,73
2023_32,76
2023_33,67
2023_34,68
2023_35,61
2023_36,82
2023_37,70
2023_38,81
2023_39,77
2023_40,74
2023_41,63
2023_42,81
2023_43,73
2023_44,75
2023_45,69
2023_46,78
2023_47,82
2023_48,95
2023_49,41
