year_week,count
2019_30,1
2019_31,1
2019_33,2
2019_34,2
2019_35,1
2019_37,3
2019_38,5
2019_39,5
2019_40,2
2019_41,4
2019_42,7
2019_43,4
2019_44,3
2019_45,5
2019_46,6
2019_47,5
2019_48,7
2019_49,8
2019_50,6
2019_51,7
2019_52,3
2020_00,6
2020_01,7
2020_02,9
2020_03,10
2020_04,10
2020_05,8
2020_06,12
2020_07,17
2020_08,15
2020_09,13
2020_10,16
2020_11,14
2020_12,15
2020_13,5
2020_14,13
2020_15,8
2020_16,11
2020_17,14
2020_18,16
2020_19,14
2020_20,9
2020_21,9
2020_22,14
2020_23,7
2020_24,12
2020_25,14
2020_26,17
2020_27,19
2020_28,20
2020_29,18
2020_30,14
2020_31,14
2020_32,18
2020_33,10
2020_34,13
2020_35,13
2020_36,19
2020_37,9
2020_38,15
2020_39,21
2020_40,19
2020_41,20
2020_42,18
2020_43,19
2020_44,28
2020_45,21
2020_46,18
2020_47,23
2020_48,18
2020_49,34
2020_50,30
2020_51,15
2020_52,6
2021_00,20
2021_01,24
2021_02,30
2021_03,17
2021_04,25
2021_05,22
2021_06,26
2021_07,27
2021_08,23
2021_09,18
2021_10,29
2021_11,22
2021_12,23
2021_13,22
2021_14,24
2021_15,25
2021_16,17
2021_17,27
2021_18,17
2021_19,21
2021_20,29
2021_21,35
2021_22,30
2021_23,31
2021_24,20
2021_25,26
2021_26,34
2021_27,30
2021_28,28
2021_29,29
2021_30,24
2021_31,20
2021_32,36
2021_33,25
2021_34,30
2021_35,34
2021_36,36
2021_37,33
2021_38,39
2021_39,26
2021_40,28
2021_41,30
2021_42,28
2021_43,25
2021_44,23
2021_45,35
2021_46,39
2021_47,23
2021_48,21
2021_49,40
2021_50,31
2021_51,42
2021_52,10
2022_00,27
2022_01,42
2022_02,45
2022_03,33
2022_04,41
2022_05,32
2022_06,40
2022_07,34
2022_08,39
2022_09,42
2022_10,33
2022_11,40
2022_12,49
2022_13,46
2022_14,36
2022_15,30
2022_16,31
2022_17,51
2022_18,45
2022_19,47
2022_20,38
2022_21,40
2022_22,42
2022_23,37
2022_24,43
2022_25,52
2022_26,46
2022_27,33
2022_28,40
2022_29,40
2022_30,53
2022_31,42
2022_32,53
2022_33,43
2022_34,47
2022_35,53
2022_36,44
2022_37,51
2022_38,33
2022_39,47
2022_40,37
2022_41,44
2022_42,58
2022_43,50
2022_44,50
2022_45,45
2022_46,42
2022_47,54
2022_48,51
2022_49,50
2022_50,49
2022_51,35
2022_52,20
2023_00,43
2023_01,37
2023_02,64
2023_03,66
2023_04,57
2023_05,62
2023_06,58
2023_07,56
2023_08,56
2023_09,72
2023_10,50
2023_11,47
2023_12,63
2023_13,52
2023_14,59
2023_15,57
2023_16,51
2023_17,53
2023_18,68
2023_19,69
2023_20,51
2023_21,57
2023_22,52
2023_23,61
2023_24,54
2023_25,59
2023_26,54
2023_27,69
2023_28,63
2023_29,73
2023_30,58
2023_31,58
2023_32,76
2023_33,42
2023_34,63
2023_35,73
2023_36,54
2023_37,67
2023_38,56
2023_39,58
2023_40,75
2023_41,61
2023_42,66
2023_43,67
2023_44,64
2023_45,67
2023_46,52
2023_47,70
2023_48,60
2023_49,21
