year_week,count
2019_30,3
2019_32,2
2019_33,2
2019_34,1
2019_35,5
2019_36,6
2019_37,9
2019_38,3
2019_39,3
2019_40,10
2019_41,6
2019_42,13
2019_43,13
2019_44,7
2019_45,4
2019_46,16
2019_47,7
2019_48,15
2019_49,18
2019_50,9
2019_51,11
2019_52,1
2020_00,9
2020_01,11
2020_02,21
2020_03,14
2020_04,17
2020_05,27
2020_06,15
2020_07,24
2020_08,15
2020_09,21
2020_10,23
2020_11,19
2020_12,23
2020_13,29
2020_14,18
2020_15,18
2020_16,19
2020_17,23
2020_18,15
2020_19,25
2020_20,26
2020_21,20
2020_22,27
2020_23,28
2020_24,28
2020_25,19
2020_26,19
2020_27,32
2020_28,25
2020_29,27
2020_30,33
2020_31,30
2020_32,31
2020_33,25
2020_34,39
2020_35,30
2020_36,36
2020_37,37
2020_38,36
2020_39,30
2020_40,30
2020_41,34
2020_42,26
2020_43,34
2020_44,45
2020_45,26
2020_46,27
2020_47,35
2020_48,35
2020_49,40
2020_50,32
2020_51,33
2020_52,17
2021_00,33
2021_01,56
2021_02,37
2021_03,39
2021_04,30
2021_05,48
2021_06,46
2021_07,41
2021_08,49
2021_09,46
2021_10,41
2021_11,54
2021_12,38
2021_13,41
2021_14,46
2021_15,41
2021_16,41
2021_17,48
2021_18,53
2021_19,46
2021_20,28
2021_21,51
2021_22,50
2021_23,41
2021_24,47
2021_25,54
2021_26,54
2021_27,57
2021_28,65
2021_29,62
2021_30,51
2021_31,61
2021_32,67
2021_33,61
2021_34,59
2021_35,55
2021_36,70
2021_37,58
2021_38,76
2021_39,49
2021_40,50
2021_41,64
2021_42,59
2021_43,75
2021_44,70
2021_45,67
2021_46,79
2021_47,67
2021_48,76
2021_49,64
2021_50,66
2021_51,58
2021_52,10
2022_00,66
2022_01,79
2022_02,66
2022_03,77
2022_04,78
2022_05,65
2022_06,85
2022_07,66
2022_08,59
2022_09,68
2022_10,78
2022_11,79
2022_12,67
2022_13,78
2022_14,80
2022_15,82
2022_16,70
2022_17,87
2022_18,85
2022_19,97
2022_20,68
2022_21,80
2022_22,80
2022_23,77
2022_24,63
2022_25,91
2022_26,77
2022_27,94
2022_28,73
2022_29,103
2022_30,83
2022_31,78
2022_32,90
2022_33,88
2022_34,82
2022_35,81
2022_36,91
2022_37,91
2022_38,77
2022_39,91
2022_40,89
2022_41,85
2022_42,97
2022_43,82
2022_44,98
2022_45,118
2022_46,96
2022_47,93
2022_48,97
2022_49,98
2022_50,96
2022_51,92
2022_52,31
2023_00,83
2023_01,108
2023_02,93
2023_03,119
2023_04,107
2023_05,106
2023_06,98
2023_07,123
2023_08,115
2023_09,118
2023_10,101
2023_11,98
2023_12,105
2023_13,104
2023_14,115
2023_15,112
2023_16,103
2023_17,116
2023_18,109
2023_19,108
2023_20,105
2023_21,107
2023_22,121
2023_23,108
2023_24,112
2023_25,109
2023_26,109
2023_27,104
2023_28,130
2023_29,121
2023_30,104
2023_31,126
2023_32,125
2023_33,143
2023_34,137
2023_35,111
2023_36,99
2023_37,142
2023_38,95
2023_39,112
2023_40,129
2023_41,124
2023_42,131
2023_43,135
2023_44,132
2023_45,117
2023_46,121
2023_47,145
2023_48,117
2023_49,60
