year_week,count
2019_29,3
2019_30,2
2019_31,1
2019_32,1
2019_35,1
2019_36,1
2019_37,3
2019_38,3
2019_39,5
2019_40,3
2019_41,5
2019_42,8
2019_43,4
2019_44,4
2019_45,4
2019_46,5
2019_47,7
2019_48,2
2019_49,10
2019_50,4
2019_51,6
2019_52,2
2020_00,4
2020_01,5
2020_02,6
2020_03,9
2020_04,4
2020_05,7
2020_06,5
2020_07,13
2020_08,8
2020_09,10
2020_10,17
2020_11,9
2020_12,14
2020_13,11
2020_14,12
2020_15,10
2020_16,14
2020_17,13
2020_18,18
2020_19,18
2020_20,17
2020_21,11
2020_22,12
2020_23,18
2020_24,15
2020_25,10
2020_26,18
2020_27,20
2020_28,17
2020_29,16
2020_30,14
2020_31,13
2020_32,15
2020_33,19
2020_34,18
2020_35,20
2020_36,14
2020_37,16
2020_38,20
2020_39,20
2020_40,18
2020_41,11
2020_42,17
2020_43,28
2020_44,18
2020_45,16
2020_46,22
2020_47,17
2020_48,21
2020_49,15
2020_50,23
2020_51,19
2020_52,10
2021_00,29
2021_01,31
2021_02,18
2021_03,22
2021_04,41
2021_05,20
2021_06,16
2021_07,25
2021_08,29
2021_09,21
2021_10,28
2021_11,20
2021_12,24
2021_13,15
2021_14,22
2021_15,29
2021_16,22
2021_17,26
2021_18,25
2021_19,15
2021_20,29
2021_21,21
2021_22,28
2021_23,30
2021_24,26
2021_25,23
2021_26,32
2021_27,27
2021_28,27
2021_29,37
2021_30,35
2021_31,40
2021_32,34
2021_33,15
2021_34,36
2021_35,32
2021_36,32
2021_37,24
2021_38,39
2021_39,29
2021_40,29
2021_41,43
2021_42,37
2021_43,23
2021_44,41
2021_45,31
2021_46,29
2021_47,29
2021_48,29
2021_49,40
2021_50,36
2021_51,43
2021_52,4
2022_00,30
2022_01,37
2022_02,45
2022_03,27
2022_04,41
2022_05,37
2022_06,31
2022_07,33
2022_08,43
2022_09,35
2022_10,33
2022_11,51
2022_12,47
2022_13,24
2022_14,30
2022_15,29
2022_16,37
2022_17,49
2022_18,27
2022_19,48
2022_20,31
2022_21,46
2022_22,33
2022_23,39
2022_24,42
2022_25,36
2022_26,38
2022_27,40
2022_28,40
2022_29,46
2022_30,37
2022_31,49
2022_32,50
2022_33,57
2022_34,45
2022_35,49
2022_36,36
2022_37,61
2022_38,41
2022_39,57
2022_40,50
2022_41,56
2022_42,43
2022_43,43
2022_44,43
2022_45,45
2022_46,46
2022_47,54
2022_48,60
2022_49,47
2022_50,56
2022_51,49
2022_52,18
2023_00,42
2023_01,42
2023_02,48
2023_03,67
2023_04,60
2023_05,52
2023_06,45
2023_07,51
2023_08,54
2023_09,50
2023_10,56
2023_11,62
2023_12,56
2023_13,68
2023_14,61
2023_15,53
2023_16,56
2023_17,56
2023_18,52
2023_19,74
2023_20,74
2023_21,57
2023_22,70
2023_23,67
2023_24,55
2023_25,73
2023_26,63
2023_27,59
2023_28,57
2023_29,54
2023_30,52
2023_31,63
2023_32,60
2023_33,66
2023_34,56
2023_35,63
2023_36,83
2023_37,60
2023_38,62
2023_39,66
2023_40,61
2023_41,83
2023_42,65
2023_43,68
2023_44,69
2023_45,54
2023_46,68
2023_47,70
2023_48,61
2023_49,25
