year_week,count
2019_35,2
2019_37,3
2019_38,1
2019_39,2
2019_40,3
2019_41,3
2019_42,3
2019_43,1
2019_44,5
2019_45,5
2019_46,5
2019_47,5
2019_48,9
2019_49,7
2019_50,4
2019_51,7
2019_52,1
2020_00,5
2020_01,4
2020_02,9
2020_03,5
2020_04,7
2020_05,3
2020_06,5
2020_07,8
2020_08,11
2020_09,6
2020_10,12
2020_11,6
2020_12,14
2020_13,12
2020_14,10
2020_15,12
2020_16,9
2020_17,15
2020_18,16
2020_19,11
2020_20,16
2020_21,8
2020_22,16
2020_23,13
2020_24,8
2020_25,16
2020_26,8
2020_27,15
2020_28,15
2020_29,13
2020_30,13
2020_31,12
2020_32,10
2020_33,12
2020_34,25
2020_35,13
2020_36,25
2020_37,18
2020_38,16
2020_39,18
2020_40,7
2020_41,17
2020_42,24
2020_43,23
2020_44,24
2020_45,21
2020_46,29
2020_47,16
2020_48,13
2020_49,21
2020_50,13
2020_51,17
2020_52,6
2021_00,13
2021_01,20
2021_02,20
2021_03,20
2021_04,16
2021_05,13
2021_06,19
2021_07,28
2021_08,27
2021_09,24
2021_10,24
2021_11,21
2021_12,32
2021_13,23
2021_14,28
2021_15,24
2021_16,17
2021_17,32
2021_18,23
2021_19,23
2021_20,33
2021_21,23
2021_22,26
2021_23,33
2021_24,22
2021_25,16
2021_26,26
2021_27,18
2021_28,36
2021_29,30
2021_30,30
2021_31,26
2021_32,34
2021_33,31
2021_34,30
2021_35,23
2021_36,31
2021_37,26
2021_38,29
2021_39,38
2021_40,36
2021_41,26
2021_42,45
2021_43,39
2021_44,20
2021_45,29
2021_46,41
2021_47,24
2021_48,28
2021_49,35
2021_50,15
2021_51,30
2021_52,9
2022_00,19
2022_01,36
2022_02,27
2022_03,22
2022_04,39
2022_05,33
2022_06,33
2022_07,35
2022_08,27
2022_09,42
2022_10,34
2022_11,51
2022_12,34
2022_13,37
2022_14,31
2022_15,33
2022_16,36
2022_17,35
2022_18,30
2022_19,36
2022_20,39
2022_21,50
2022_22,46
2022_23,37
2022_24,43
2022_25,50
2022_26,32
2022_27,40
2022_28,39
2022_29,29
2022_30,54
2022_31,39
2022_32,43
2022_33,31
2022_34,45
2022_35,57
2022_36,44
2022_37,34
2022_38,34
2022_39,51
2022_40,29
2022_41,49
2022_42,47
2022_43,51
2022_44,45
2022_45,45
2022_46,38
2022_47,49
2022_48,53
2022_49,57
2022_50,39
2022_51,49
2022_52,16
2023_00,33
2023_01,57
2023_02,46
2023_03,50
2023_04,48
2023_05,38
2023_06,46
2023_07,48
2023_08,56
2023_09,47
2023_10,45
2023_11,63
2023_12,68
2023_13,47
2023_14,59
2023_15,51
2023_16,51
2023_17,50
2023_18,55
2023_19,52
2023_20,66
2023_21,52
2023_22,42
2023_23,73
2023_24,59
2023_25,49
2023_26,46
2023_27,50
2023_28,48
2023_29,75
2023_30,60
2023_31,66
2023_32,59
2023_33,63
2023_34,57
2023_35,63
2023_36,68
2023_37,57
2023_38,58
2023_39,66
2023_40,55
2023_41,54
2023_42,52
2023_43,71
2023_44,65
2023_45,55
2023_46,68
2023_47,76
2023_48,65
2023_49,28
