year_week,count
2019_29,1
2019_30,1
2019_31,3
2019_33,3
2019_34,3
2019_35,3
2019_36,2
2019_39,9
2019_40,4
2019_41,5
2019_42,3
2019_43,3
2019_44,3
2019_45,3
2019_46,3
2019_47,5
2019_48,6
2019_49,5
2019_50,7
2019_51,4
2019_52,1
2020_00,6
2020_01,8
2020_02,9
2020_03,4
2020_04,6
2020_05,9
2020_06,9
2020_07,7
2020_08,6
2020_09,10
2020_10,7
2020_11,10
2020_12,5
2020_13,10
2020_14,8
2020_15,4
2020_16,8
2020_17,9
2020_18,13
2020_19,10
2020_20,12
2020_21,18
2020_22,15
2020_23,7
2020_24,12
2020_25,12
2020_26,8
2020_27,14
2020_28,17
2020_29,13
2020_30,14
2020_31,16
2020_32,14
2020_33,18
2020_34,14
2020_35,18
2020_36,13
2020_37,10
2020_38,13
2020_39,15
2020_40,14
2020_41,16
2020_42,14
2020_43,14
2020_44,15
2020_45,14
2020_46,11
2020_47,18
2020_48,17
2020_49,18
2020_50,19
2020_51,22
2020_52,6
2021_00,11
2021_01,19
2021_02,23
2021_03,12
2021_04,14
2021_05,14
2021_06,12
2021_07,10
2021_08,22
2021_09,14
2021_10,16
2021_11,24
2021_12,24
2021_13,20
2021_14,15
2021_15,27
2021_16,28
2021_17,24
2021_18,23
2021_19,22
2021_20,13
2021_21,26
2021_22,26
2021_23,19
2021_24,28
2021_25,22
2021_26,25
2021_27,21
2021_28,21
2021_29,24
2021_30,32
2021_31,28
2021_32,29
2021_33,21
2021_34,24
2021_35,29
2021_36,17
2021_37,19
2021_38,24
2021_39,25
2021_40,25
2021_41,22
2021_42,29
2021_43,20
2021_44,26
2021_45,31
2021_46,30
2021_47,17
2021_48,26
2021_49,24
2021_50,25
2021_51,31
2021_52,15
2022_00,33
2022_01,36
2022_02,28
2022_03,38
2022_04,37
2022_05,26
2022_06,29
2022_07,30
2022_08,45
2022_09,29
2022_10,33
2022_11,29
2022_12,32
2022_13,34
2022_14,33
2022_15,39
2022_16,33
2022_17,24
2022_18,31
2022_19,39
2022_20,36
2022_21,31
2022_22,41
2022_23,45
2022_24,40
2022_25,35
2022_26,38
2022_27,38
2022_28,36
2022_29,35
2022_30,48
2022_31,46
2022_32,53
2022_33,41
2022_34,38
2022_35,37
2022_36,37
2022_37,43
2022_38,39
2022_39,41
2022_40,45
2022_41,39
2022_42,35
2022_43,41
2022_44,51
2022_45,28
2022_46,41
2022_47,38
2022_48,48
2022_49,53
2022_50,47
2022_51,36
2022_52,9
2023_00,33
2023_01,54
2023_02,34
2023_03,52
2023_04,45
2023_05,35
2023_06,59
2023_07,47
2023_08,50
2023_09,53
2023_10,50
2023_11,48
2023_12,40
2023_13,50
2023_14,42
2023_15,39
2023_16,44
2023_17,47
2023_18,51
2023_19,56
2023_20,42
2023_21,55
2023_22,51
2023_23,48
2023_24,54
2023_25,58
2023_26,34
2023_27,55
2023_28,60
2023_29,62
2023_30,61
2023_31,59
2023_32,30
2023_33,53
2023_34,65
2023_35,44
2023_36,55
2023_37,47
2023_38,59
2023_39,49
2023_40,52
2023_41,65
2023_42,58
2023_43,54
2023_44,65
2023_45,66
2023_46,50
2023_47,61
2023_48,51
2023_49,16
