year_week,count
2019_29,1
2019_32,1
2019_33,1
2019_34,1
2019_36,6
2019_37,1
2019_38,5
2019_39,2
2019_41,5
2019_42,4
2019_43,6
2019_44,4
2019_45,6
2019_46,6
2019_47,8
2019_48,7
2019_49,8
2019_50,3
2019_51,3
2019_52,3
2020_00,5
2020_01,7
2020_02,6
2020_03,15
2020_04,6
2020_05,8
2020_06,11
2020_07,20
2020_08,9
2020_09,10
2020_10,11
2020_11,9
2020_12,9
2020_13,10
2020_14,8
2020_15,12
2020_16,12
2020_17,7
2020_18,8
2020_19,11
2020_20,10
2020_21,11
2020_22,7
2020_23,9
2020_24,11
2020_25,11
2020_26,13
2020_27,10
2020_28,15
2020_29,11
2020_30,11
2020_31,18
2020_32,18
2020_33,17
2020_34,17
2020_35,8
2020_36,16
2020_37,23
2020_38,15
2020_39,20
2020_40,14
2020_41,16
2020_42,23
2020_43,24
2020_44,13
2020_45,17
2020_46,14
2020_47,15
2020_48,17
2020_49,27
2020_50,20
2020_51,23
2020_52,4
2021_00,18
2021_01,17
2021_02,22
2021_03,21
2021_04,32
2021_05,18
2021_06,17
2021_07,16
2021_08,23
2021_09,20
2021_10,23
2021_11,31
2021_12,28
2021_13,20
2021_14,21
2021_15,22
2021_16,16
2021_17,29
2021_18,30
2021_19,26
2021_20,24
2021_21,19
2021_22,35
2021_23,23
2021_24,27
2021_25,22
2021_26,28
2021_27,27
2021_28,36
2021_29,28
2021_30,29
2021_31,20
2021_32,22
2021_33,17
2021_34,21
2021_35,29
2021_36,32
2021_37,22
2021_38,30
2021_39,37
2021_40,32
2021_41,24
2021_42,30
2021_43,32
2021_44,41
2021_45,27
2021_46,45
2021_47,34
2021_48,29
2021_49,31
2021_50,22
2021_51,39
2021_52,7
2022_00,29
2022_01,30
2022_02,35
2022_03,24
2022_04,37
2022_05,35
2022_06,27
2022_07,41
2022_08,41
2022_09,34
2022_10,39
2022_11,51
2022_12,45
2022_13,35
2022_14,29
2022_15,40
2022_16,32
2022_17,41
2022_18,36
2022_19,33
2022_20,31
2022_21,43
2022_22,36
2022_23,32
2022_24,32
2022_25,41
2022_26,35
2022_27,46
2022_28,34
2022_29,36
2022_30,37
2022_31,39
2022_32,29
2022_33,53
2022_34,39
2022_35,46
2022_36,50
2022_37,44
2022_38,40
2022_39,40
2022_40,36
2022_41,43
2022_42,44
2022_43,42
2022_44,43
2022_45,34
2022_46,37
2022_47,30
2022_48,57
2022_49,51
2022_50,47
2022_51,58
2022_52,12
2023_00,38
2023_01,66
2023_02,53
2023_03,63
2023_04,51
2023_05,51
2023_06,45
2023_07,43
2023_08,52
2023_09,43
2023_10,51
2023_11,59
2023_12,49
2023_13,51
2023_14,51
2023_15,56
2023_16,65
2023_17,53
2023_18,49
2023_19,62
2023_20,71
2023_21,60
2023_22,59
2023_23,69
2023_24,55
2023_25,49
2023_26,62
2023_27,56
2023_28,56
2023_29,68
2023_30,54
2023_31,60
2023_32,54
2023_33,75
2023_34,63
2023_35,61
2023_36,74
2023_37,51
2023_38,78
2023_39,76
2023_40,70
2023_41,57
2023_42,60
2023_43,57
2023_44,49
2023_45,68
2023_46,59
2023_47,60
2023_48,66
2023_49,24
