year_week,count
2019_29,1
2019_31,1
2019_45,1
2019_48,2
2019_51,1
2020_01,1
2020_04,1
2020_10,2
2020_12,1
2020_13,1
2020_14,1
2020_16,1
2020_17,2
2020_18,1
2020_19,3
2020_20,2
2020_22,1
2020_23,2
2020_24,1
2020_27,1
2020_30,2
2020_31,1
2020_33,3
2020_35,1
2020_37,1
2020_38,2
2020_39,4
2020_40,3
2020_41,1
2020_42,3
2020_43,3
2020_46,2
2020_48,1
2020_50,1
2021_01,1
2021_02,1
2021_03,2
2021_04,1
2021_05,3
2021_06,2
2021_07,1
2021_08,4
2021_09,2
2021_10,2
2021_11,1
2021_12,4
2021_14,1
2021_15,1
2021_16,3
2021_17,1
2021_18,1
2021_19,1
2021_20,2
2021_21,1
2021_22,2
2021_23,3
2021_24,3
2021_25,1
2021_26,3
2021_28,3
2021_29,3
2021_31,1
2021_32,3
2021_33,1
2021_35,4
2021_36,2
2021_37,3
2021_38,4
2021_39,3
2021_40,1
2021_41,2
2021_42,1
2021_43,3
2021_44,1
2021_45,1
2021_46,2
2021_47,5
2021_48,2
2021_49,2
2021_50,3
2021_51,2
2021_52,1
2022_00,3
2022_01,2
2022_02,4
2022_03,3
2022_04,4
2022_05,1
2022_06,3
2022_07,4
2022_08,2
2022_09,1
2022_10,2
2022_11,3
2022_13,5
2022_14,3
2022_15,3
2022_16,2
2022_17,3
2022_18,1
2022_19,3
2022_20,3
2022_21,3
2022_22,3
2022_23,1
2022_24,8
2022_25,5
2022_26,1
2022_27,2
2022_28,1
2022_29,7
2022_30,3
2022_31,5
2022_32,3
2022_33,1
2022_34,5
2022_35,3
2022_36,3
2022_37,4
2022_38,5
2022_39,4
2022_40,3
2022_41,1
2022_42,4
2022_43,1
2022_44,6
2022_45,1
2022_46,4
2022_47,3
2022_48,4
2022_49,2
2022_50,3
2022_51,1
2023_00,3
2023_01,1
2023_02,2
2023_03,2
2023_04,6
2023_05,1
2023_06,4
2023_07,4
2023_08,2
2023_09,4
2023_10,2
2023_11,2
2023_12,4
2023_13,5
2023_14,3
2023_15,3
2023_17,4
2023_18,4
2023_20,2
2023_21,4
2023_22,2
2023_23,4
2023_24,3
2023_25,3
2023_26,8
2023_27,3
2023_28,7
2023_29,4
2023_30,6
2023_31,5
2023_32,2
2023_33,4
2023_34,3
2023_35,2
2023_36,7
2023_37,6
2023_38,4
2023_39,5
2023_40,12
2023_42,3
2023_43,6
2023_44,6
2023_45,3
2023_46,5
2023_47,7
2023_48,7
2023_49,2
