year_week,count
2019_31,1
2019_33,2
2019_34,2
2019_35,3
2019_36,1
2019_37,2
2019_38,1
2019_39,3
2019_40,4
2019_41,3
2019_42,6
2019_43,1
2019_44,6
2019_45,9
2019_46,6
2019_47,5
2019_48,11
2019_49,8
2019_50,7
2019_51,5
2019_52,2
2020_00,5
2020_01,15
2020_02,5
2020_03,12
2020_04,10
2020_05,10
2020_06,14
2020_07,8
2020_08,6
2020_09,11
2020_10,11
2020_11,7
2020_12,8
2020_13,9
2020_14,9
2020_15,18
2020_16,12
2020_17,10
2020_18,5
2020_19,9
2020_20,10
2020_21,8
2020_22,17
2020_23,19
2020_24,11
2020_25,2
2020_26,7
2020_27,11
2020_28,15
2020_29,11
2020_30,5
2020_31,14
2020_32,11
2020_33,17
2020_34,9
2020_35,23
2020_36,19
2020_37,21
2020_38,20
2020_39,26
2020_40,11
2020_41,16
2020_42,19
2020_43,13
2020_44,24
2020_45,15
2020_46,13
2020_47,21
2020_48,17
2020_49,18
2020_50,15
2020_51,13
2020_52,3
2021_00,12
2021_01,24
2021_02,15
2021_03,22
2021_04,17
2021_05,26
2021_06,19
2021_07,22
2021_08,20
2021_09,28
2021_10,28
2021_11,22
2021_12,14
2021_13,19
2021_14,37
2021_15,32
2021_16,26
2021_17,21
2021_18,19
2021_19,16
2021_20,19
2021_21,34
2021_22,21
2021_23,29
2021_24,31
2021_25,23
2021_26,29
2021_27,26
2021_28,34
2021_29,32
2021_30,33
2021_31,25
2021_32,32
2021_33,23
2021_34,33
2021_35,27
2021_36,23
2021_37,30
2021_38,27
2021_39,25
2021_40,31
2021_41,37
2021_42,39
2021_43,28
2021_44,33
2021_45,34
2021_46,24
2021_47,28
2021_48,31
2021_49,36
2021_50,32
2021_51,42
2021_52,9
2022_00,19
2022_01,36
2022_02,32
2022_03,42
2022_04,34
2022_05,42
2022_06,38
2022_07,27
2022_08,29
2022_09,43
2022_10,34
2022_11,41
2022_12,36
2022_13,35
2022_14,45
2022_15,38
2022_16,34
2022_17,33
2022_18,34
2022_19,41
2022_20,48
2022_21,42
2022_22,26
2022_23,44
2022_24,23
2022_25,33
2022_26,35
2022_27,29
2022_28,37
2022_29,38
2022_30,43
2022_31,38
2022_32,46
2022_33,32
2022_34,50
2022_35,53
2022_36,53
2022_37,43
2022_38,40
2022_39,58
2022_40,46
2022_41,49
2022_42,50
2022_43,46
2022_44,50
2022_45,53
2022_46,61
2022_47,52
2022_48,41
2022_49,61
2022_50,59
2022_51,40
2022_52,11
2023_00,33
2023_01,45
2023_02,49
2023_03,51
2023_04,59
2023_05,45
2023_06,42
2023_07,52
2023_08,49
2023_09,58
2023_10,43
2023_11,49
2023_12,61
2023_13,66
2023_14,58
2023_15,58
2023_16,49
2023_17,48
2023_18,46
2023_19,57
2023_20,51
2023_21,62
2023_22,64
2023_23,78
2023_24,57
2023_25,54
2023_26,57
2023_27,63
2023_28,57
2023_29,61
2023_30,53
2023_31,72
2023_32,52
2023_33,56
2023_34,60
2023_35,58
2023_36,59
2023_37,73
2023_38,62
2023_39,54
2023_40,52
2023_41,61
2023_42,52
2023_43,61
2023_44,69
2023_45,80
2023_46,59
2023_47,60
2023_48,71
2023_49,33
