year_week,count
2019_34,1
2019_36,2
2019_37,1
2019_38,1
2019_40,1
2019_42,2
2019_43,2
2019_44,1
2019_45,2
2019_46,3
2019_47,2
2019_48,2
2019_49,5
2019_50,4
2019_51,2
2020_00,1
2020_01,4
2020_02,2
2020_03,1
2020_04,1
2020_05,4
2020_06,2
2020_07,2
2020_08,2
2020_09,1
2020_11,1
2020_12,6
2020_13,5
2020_14,2
2020_15,5
2020_17,4
2020_18,2
2020_19,4
2020_20,6
2020_21,4
2020_22,5
2020_23,7
2020_24,3
2020_25,9
2020_26,4
2020_28,5
2020_29,4
2020_30,7
2020_31,6
2020_32,6
2020_33,5
2020_34,7
2020_35,1
2020_36,9
2020_37,2
2020_38,6
2020_39,6
2020_40,1
2020_41,8
2020_42,3
2020_43,9
2020_44,6
2020_45,7
2020_46,2
2020_47,7
2020_48,10
2020_49,4
2020_50,3
2020_51,6
2021_00,9
2021_01,9
2021_02,7
2021_03,3
2021_04,9
2021_05,16
2021_06,5
2021_07,7
2021_08,4
2021_09,14
2021_10,9
2021_11,8
2021_12,9
2021_13,4
2021_14,5
2021_15,10
2021_16,16
2021_17,14
2021_18,9
2021_19,10
2021_20,14
2021_21,11
2021_22,5
2021_23,10
2021_24,14
2021_25,10
2021_26,7
2021_27,4
2021_28,8
2021_29,9
2021_30,9
2021_31,10
2021_32,11
2021_33,9
2021_34,17
2021_35,11
2021_36,12
2021_37,8
2021_38,10
2021_39,10
2021_40,2
2021_41,12
2021_42,9
2021_43,12
2021_44,7
2021_45,12
2021_46,8
2021_47,11
2021_48,9
2021_49,13
2021_50,12
2021_51,14
2021_52,1
2022_00,11
2022_01,5
2022_02,14
2022_03,12
2022_04,18
2022_05,10
2022_06,10
2022_07,9
2022_08,15
2022_09,11
2022_10,11
2022_11,13
2022_12,9
2022_13,14
2022_14,27
2022_15,13
2022_16,15
2022_17,9
2022_18,14
2022_19,13
2022_20,15
2022_21,11
2022_22,17
2022_23,14
2022_24,21
2022_25,18
2022_26,15
2022_27,19
2022_28,16
2022_29,20
2022_30,15
2022_31,13
2022_32,13
2022_33,13
2022_34,15
2022_35,11
2022_36,18
2022_37,13
2022_38,10
2022_39,12
2022_40,18
2022_41,13
2022_42,20
2022_43,14
2022_44,20
2022_45,15
2022_46,15
2022_47,13
2022_48,13
2022_49,15
2022_50,15
2022_51,15
2022_52,4
2023_00,16
2023_01,14
2023_02,15
2023_03,19
2023_04,21
2023_05,17
2023_06,16
2023_07,19
2023_08,16
2023_09,20
2023_10,19
2023_11,20
2023_12,25
2023_13,19
2023_14,18
2023_15,15
2023_16,20
2023_17,21
2023_18,21
2023_19,20
2023_20,14
2023_21,19
2023_22,17
2023_23,25
2023_24,16
2023_25,17
2023_26,20
2023_27,21
2023_28,17
2023_29,19
2023_30,31
2023_31,28
2023_32,18
2023_33,20
2023_34,27
2023_35,24
2023_36,16
2023_37,15
2023_38,20
2023_39,20
2023_40,27
2023_41,25
2023_42,25
2023_43,26
2023_44,24
2023_45,11
2023_46,22
2023_47,18
2023_48,22
2023_49,9
