year_week,count
2019_31,1
2019_35,1
2019_36,1
2019_37,1
2019_42,1
2019_45,1
2019_46,3
2019_47,2
2019_48,2
2019_49,2
2019_51,2
2020_00,1
2020_01,2
2020_03,1
2020_04,1
2020_05,1
2020_06,3
2020_07,1
2020_08,1
2020_09,3
2020_10,2
2020_11,3
2020_12,3
2020_13,3
2020_14,3
2020_15,2
2020_16,4
2020_17,4
2020_18,2
2020_20,5
2020_21,1
2020_22,3
2020_23,1
2020_24,1
2020_25,1
2020_26,3
2020_27,1
2020_28,5
2020_29,2
2020_30,4
2020_31,1
2020_32,1
2020_33,7
2020_34,2
2020_35,5
2020_36,4
2020_37,2
2020_38,3
2020_39,1
2020_40,4
2020_41,2
2020_42,1
2020_43,4
2020_44,2
2020_45,4
2020_46,5
2020_47,3
2020_48,7
2020_49,4
2020_50,3
2020_51,4
2020_52,1
2021_00,4
2021_01,3
2021_02,3
2021_03,3
2021_04,4
2021_05,5
2021_06,6
2021_07,2
2021_08,5
2021_09,10
2021_10,9
2021_11,7
2021_12,2
2021_13,3
2021_14,3
2021_15,6
2021_16,2
2021_17,4
2021_18,3
2021_19,3
2021_20,3
2021_21,7
2021_22,8
2021_23,8
2021_24,5
2021_25,3
2021_26,7
2021_27,4
2021_28,5
2021_29,3
2021_30,5
2021_31,5
2021_32,8
2021_33,4
2021_34,4
2021_35,9
2021_36,9
2021_37,8
2021_38,8
2021_39,7
2021_40,7
2021_41,6
2021_42,6
2021_43,6
2021_44,4
2021_45,8
2021_46,5
2021_47,5
2021_48,8
2021_49,11
2021_50,5
2021_51,6
2021_52,1
2022_00,8
2022_01,10
2022_02,5
2022_03,5
2022_04,7
2022_05,10
2022_06,4
2022_07,5
2022_08,6
2022_09,9
2022_10,8
2022_11,9
2022_12,11
2022_13,11
2022_14,13
2022_15,7
2022_16,6
2022_17,9
2022_18,10
2022_19,4
2022_20,16
2022_21,11
2022_22,12
2022_23,12
2022_24,10
2022_25,4
2022_26,7
2022_27,7
2022_28,11
2022_29,7
2022_30,14
2022_31,8
2022_32,5
2022_33,14
2022_34,15
2022_35,17
2022_36,13
2022_37,12
2022_38,6
2022_39,12
2022_40,13
2022_41,8
2022_42,9
2022_43,11
2022_44,8
2022_45,6
2022_46,9
2022_47,15
2022_48,6
2022_49,7
2022_50,10
2022_51,10
2022_52,1
2023_00,9
2023_01,5
2023_02,9
2023_03,10
2023_04,8
2023_05,11
2023_06,11
2023_07,4
2023_08,12
2023_09,7
2023_10,12
2023_11,7
2023_12,13
2023_13,15
2023_14,9
2023_15,19
2023_16,6
2023_17,12
2023_18,4
2023_19,10
2023_20,10
2023_21,10
2023_22,9
2023_23,8
2023_24,12
2023_25,9
2023_26,16
2023_27,17
2023_28,18
2023_29,14
2023_30,16
2023_31,14
2023_32,10
2023_33,9
2023_34,17
2023_35,16
2023_36,8
2023_37,6
2023_38,12
2023_39,13
2023_40,13
2023_41,15
2023_42,12
2023_43,9
2023_44,12
2023_45,18
2023_46,22
2023_47,13
2023_48,18
2023_49,6
