year_week,count
2019_30,1
2019_37,2
2019_39,2
2019_44,1
2019_46,1
2019_47,1
2019_48,1
2019_49,2
2019_50,2
2020_00,1
2020_01,1
2020_02,2
2020_04,1
2020_05,1
2020_06,2
2020_07,2
2020_08,3
2020_09,1
2020_10,1
2020_11,1
2020_12,2
2020_13,1
2020_14,3
2020_15,1
2020_16,2
2020_17,2
2020_18,1
2020_19,3
2020_20,4
2020_21,2
2020_22,2
2020_23,1
2020_26,1
2020_27,2
2020_29,2
2020_30,3
2020_31,1
2020_32,1
2020_33,3
2020_34,2
2020_35,4
2020_36,3
2020_37,1
2020_38,2
2020_39,2
2020_40,3
2020_42,2
2020_43,7
2020_44,2
2020_45,3
2020_46,1
2020_47,2
2020_48,1
2020_49,1
2020_51,1
2020_52,2
2021_00,3
2021_01,3
2021_02,4
2021_03,2
2021_04,1
2021_05,4
2021_06,3
2021_07,2
2021_08,4
2021_09,2
2021_10,1
2021_11,5
2021_12,3
2021_13,2
2021_14,3
2021_15,3
2021_16,6
2021_17,5
2021_18,2
2021_19,3
2021_20,3
2021_21,7
2021_22,5
2021_23,5
2021_24,3
2021_25,5
2021_26,5
2021_27,4
2021_28,3
2021_29,2
2021_30,1
2021_31,2
2021_32,3
2021_33,1
2021_34,5
2021_35,3
2021_36,3
2021_37,6
2021_38,4
2021_39,4
2021_40,5
2021_41,4
2021_42,3
2021_43,2
2021_44,2
2021_45,3
2021_46,6
2021_47,7
2021_48,4
2021_49,2
2021_50,8
2021_51,4
2021_52,2
2022_00,5
2022_01,3
2022_02,2
2022_03,2
2022_04,6
2022_05,4
2022_06,8
2022_07,1
2022_08,8
2022_09,7
2022_10,4
2022_11,7
2022_12,6
2022_13,6
2022_14,5
2022_15,6
2022_16,4
2022_17,8
2022_18,9
2022_19,5
2022_20,6
2022_21,8
2022_22,3
2022_23,12
2022_24,5
2022_25,5
2022_26,2
2022_27,10
2022_28,5
2022_29,10
2022_30,8
2022_31,3
2022_32,7
2022_33,10
2022_34,6
2022_35,9
2022_36,6
2022_37,13
2022_38,3
2022_39,3
2022_40,6
2022_41,12
2022_42,11
2022_43,3
2022_44,8
2022_45,4
2022_46,7
2022_47,3
2022_48,11
2022_49,7
2022_50,6
2022_51,7
2022_52,1
2023_00,3
2023_01,6
2023_02,6
2023_03,2
2023_04,4
2023_05,8
2023_06,8
2023_07,7
2023_08,7
2023_09,12
2023_10,11
2023_11,6
2023_12,7
2023_13,15
2023_14,11
2023_15,5
2023_16,5
2023_17,9
2023_18,5
2023_19,6
2023_20,10
2023_21,6
2023_22,6
2023_23,14
2023_24,7
2023_25,2
2023_26,5
2023_27,7
2023_28,2
2023_29,11
2023_30,8
2023_31,9
2023_32,7
2023_33,4
2023_34,4
2023_35,8
2023_36,9
2023_37,6
2023_38,5
2023_39,7
2023_40,8
2023_41,8
2023_42,5
2023_43,7
2023_44,8
2023_45,7
2023_46,6
2023_47,4
2023_48,11
2023_49,3
