year_week,count
2019_32,1
2019_33,1
2019_34,1
2019_35,2
2019_36,3
2019_37,5
2019_38,2
2019_39,5
2019_40,1
2019_41,9
2019_42,5
2019_43,6
2019_44,4
2019_45,2
2019_46,4
2019_47,6
2019_48,7
2019_49,5
2019_50,7
2019_51,4
2019_52,2
2020_00,6
2020_01,5
2020_02,5
2020_03,14
2020_04,6
2020_05,3
2020_06,2
2020_07,10
2020_08,9
2020_09,12
2020_10,8
2020_11,13
2020_12,14
2020_13,15
2020_14,10
2020_15,15
2020_16,10
2020_17,7
2020_18,17
2020_19,12
2020_20,12
2020_21,13
2020_22,10
2020_23,18
2020_24,10
2020_25,12
2020_26,9
2020_27,13
2020_28,17
2020_29,14
2020_30,15
2020_31,21
2020_32,16
2020_33,17
2020_34,16
2020_35,20
2020_36,18
2020_37,20
2020_38,17
2020_39,12
2020_40,18
2020_41,14
2020_42,28
2020_43,27
2020_44,23
2020_45,16
2020_46,12
2020_47,17
2020_48,20
2020_49,17
2020_50,18
2020_51,22
2020_52,8
2021_00,19
2021_01,29
2021_02,18
2021_03,30
2021_04,30
2021_05,20
2021_06,23
2021_07,26
2021_08,23
2021_09,30
2021_10,31
2021_11,26
2021_12,18
2021_13,24
2021_14,20
2021_15,24
2021_16,17
2021_17,22
2021_18,20
2021_19,24
2021_20,29
2021_21,29
2021_22,18
2021_23,24
2021_24,17
2021_25,22
2021_26,18
2021_27,30
2021_28,32
2021_29,27
2021_30,24
2021_31,29
2021_32,35
2021_33,36
2021_34,29
2021_35,29
2021_36,28
2021_37,28
2021_38,38
2021_39,31
2021_40,27
2021_41,26
2021_42,28
2021_43,34
2021_44,32
2021_45,31
2021_46,29
2021_47,36
2021_48,35
2021_49,35
2021_50,36
2021_51,31
2021_52,3
2022_00,32
2022_01,28
2022_02,32
2022_03,30
2022_04,26
2022_05,36
2022_06,39
2022_07,36
2022_08,40
2022_09,39
2022_10,33
2022_11,39
2022_12,31
2022_13,21
2022_14,42
2022_15,28
2022_16,40
2022_17,40
2022_18,32
2022_19,42
2022_20,36
2022_21,38
2022_22,34
2022_23,36
2022_24,35
2022_25,41
2022_26,38
2022_27,34
2022_28,39
2022_29,49
2022_30,51
2022_31,30
2022_32,47
2022_33,37
2022_34,35
2022_35,41
2022_36,45
2022_37,70
2022_38,37
2022_39,38
2022_40,49
2022_41,38
2022_42,41
2022_43,61
2022_44,56
2022_45,55
2022_46,52
2022_47,58
2022_48,57
2022_49,43
2022_50,47
2022_51,55
2022_52,17
2023_00,34
2023_01,52
2023_02,56
2023_03,64
2023_04,57
2023_05,52
2023_06,44
2023_07,55
2023_08,54
2023_09,58
2023_10,47
2023_11,44
2023_12,46
2023_13,58
2023_14,58
2023_15,55
2023_16,47
2023_17,52
2023_18,54
2023_19,43
2023_20,61
2023_21,60
2023_22,65
2023_23,55
2023_24,51
2023_25,57
2023_26,53
2023_27,68
2023_28,59
2023_29,69
2023_30,57
2023_31,58
2023_32,46
2023_33,56
2023_34,50
2023_35,59
2023_36,62
2023_37,70
2023_38,63
2023_39,51
2023_40,58
2023_41,59
2023_42,56
2023_43,57
2023_44,73
2023_45,51
2023_46,53
2023_47,64
2023_48,57
2023_49,21
