year_week,count
2019_31,1
2019_34,1
2019_35,1
2019_37,1
2019_38,2
2019_39,3
2019_40,1
2019_41,1
2019_42,1
2019_43,3
2019_44,3
2019_46,5
2019_47,4
2019_48,4
2019_49,5
2019_50,7
2019_51,4
2019_52,1
2020_00,3
2020_01,3
2020_02,1
2020_03,5
2020_04,3
2020_05,6
2020_06,2
2020_07,5
2020_08,5
2020_09,3
2020_10,5
2020_11,7
2020_12,5
2020_13,5
2020_14,6
2020_15,2
2020_16,6
2020_17,5
2020_18,10
2020_19,7
2020_20,9
2020_21,1
2020_22,9
2020_23,7
2020_24,8
2020_25,5
2020_26,10
2020_27,9
2020_28,8
2020_29,5
2020_30,9
2020_31,16
2020_32,11
2020_33,12
2020_34,8
2020_35,10
2020_36,7
2020_37,8
2020_38,11
2020_39,8
2020_40,8
2020_41,12
2020_42,10
2020_43,7
2020_44,9
2020_45,9
2020_46,16
2020_47,16
2020_48,2
2020_49,10
2020_50,11
2020_51,11
2020_52,8
2021_00,9
2021_01,11
2021_02,14
2021_03,4
2021_04,9
2021_05,13
2021_06,15
2021_07,16
2021_08,17
2021_09,11
2021_10,12
2021_11,12
2021_12,7
2021_13,14
2021_14,10
2021_15,14
2021_16,14
2021_17,8
2021_18,7
2021_19,12
2021_20,17
2021_21,13
2021_22,12
2021_23,8
2021_24,8
2021_25,22
2021_26,21
2021_27,15
2021_28,11
2021_29,10
2021_30,19
2021_31,9
2021_32,16
2021_33,19
2021_34,19
2021_35,12
2021_36,22
2021_37,12
2021_38,16
2021_39,12
2021_40,12
2021_41,14
2021_42,11
2021_43,24
2021_44,11
2021_45,12
2021_46,23
2021_47,17
2021_48,18
2021_49,20
2021_50,23
2021_51,20
2021_52,3
2022_00,15
2022_01,16
2022_02,18
2022_03,22
2022_04,23
2022_05,24
2022_06,20
2022_07,11
2022_08,20
2022_09,22
2022_10,17
2022_11,14
2022_12,29
2022_13,28
2022_14,31
2022_15,17
2022_16,21
2022_17,22
2022_18,31
2022_19,25
2022_20,23
2022_21,27
2022_22,25
2022_23,25
2022_24,28
2022_25,28
2022_26,24
2022_27,25
2022_28,17
2022_29,18
2022_30,20
2022_31,29
2022_32,22
2022_33,18
2022_34,24
2022_35,20
2022_36,19
2022_37,9
2022_38,25
2022_39,33
2022_40,18
2022_41,20
2022_42,19
2022_43,27
2022_44,23
2022_45,28
2022_46,30
2022_47,34
2022_48,24
2022_49,31
2022_50,16
2022_51,31
2022_52,13
2023_00,24
2023_01,29
2023_02,20
2023_03,21
2023_04,30
2023_05,25
2023_06,26
2023_07,25
2023_08,35
2023_09,30
2023_10,35
2023_11,24
2023_12,27
2023_13,34
2023_14,26
2023_15,31
2023_16,23
2023_17,33
2023_18,32
2023_19,31
2023_20,27
2023_21,37
2023_22,35
2023_23,25
2023_24,29
2023_25,39
2023_26,26
2023_27,29
2023_28,31
2023_29,26
2023_30,28
2023_31,37
2023_32,31
2023_33,33
2023_34,26
2023_35,33
2023_36,22
2023_37,26
2023_38,36
2023_39,33
2023_40,43
2023_41,24
2023_42,43
2023_43,27
2023_44,27
2023_45,42
2023_46,34
2023_47,31
2023_48,39
2023_49,20
