year_week,count
2019_27,1
2019_28,2
2019_29,3
2019_30,2
2019_31,1
2019_32,3
2019_33,4
2019_34,4
2019_35,9
2019_36,9
2019_37,5
2019_38,7
2019_39,9
2019_40,14
2019_41,15
2019_42,19
2019_43,11
2019_44,14
2019_45,13
2019_46,18
2019_47,18
2019_48,20
2019_49,18
2019_50,22
2019_51,10
2019_52,7
2020_00,13
2020_01,30
2020_02,23
2020_03,24
2020_04,20
2020_05,24
2020_06,24
2020_07,23
2020_08,33
2020_09,24
2020_10,24
2020_11,26
2020_12,39
2020_13,37
2020_14,35
2020_15,45
2020_16,35
2020_17,31
2020_18,39
2020_19,32
2020_20,44
2020_21,40
2020_22,46
2020_23,25
2020_24,43
2020_25,35
2020_26,40
2020_27,34
2020_28,47
2020_29,41
2020_30,42
2020_31,44
2020_32,47
2020_33,56
2020_34,63
2020_35,53
2020_36,46
2020_37,54
2020_38,51
2020_39,51
2020_40,50
2020_41,45
2020_42,55
2020_43,67
2020_44,53
2020_45,60
2020_46,57
2020_47,63
2020_48,53
2020_49,48
2020_50,55
2020_51,51
2020_52,25
2021_00,50
2021_01,62
2021_02,53
2021_03,47
2021_04,73
2021_05,67
2021_06,56
2021_07,67
2021_08,71
2021_09,63
2021_10,75
2021_11,81
2021_12,76
2021_13,66
2021_14,76
2021_15,77
2021_16,74
2021_17,76
2021_18,73
2021_19,75
2021_20,84
2021_21,83
2021_22,84
2021_23,86
2021_24,80
2021_25,82
2021_26,85
2021_27,75
2021_28,59
2021_29,75
2021_30,82
2021_31,81
2021_32,82
2021_33,101
2021_34,111
2021_35,77
2021_36,93
2021_37,95
2021_38,82
2021_39,95
2021_40,103
2021_41,100
2021_42,99
2021_43,108
2021_44,87
2021_45,104
2021_46,107
2021_47,111
2021_48,110
2021_49,107
2021_50,85
2021_51,115
2021_52,22
2022_00,91
2022_01,87
2022_02,108
2022_03,117
2022_04,129
2022_05,85
2022_06,110
2022_07,125
2022_08,118
2022_09,119
2022_10,103
2022_11,118
2022_12,130
2022_13,124
2022_14,127
2022_15,112
2022_16,123
2022_17,119
2022_18,122
2022_19,126
2022_20,129
2022_21,148
2022_22,127
2022_23,121
2022_24,117
2022_25,146
2022_26,113
2022_27,149
2022_28,120
2022_29,132
2022_30,138
2022_31,138
2022_32,152
2022_33,158
2022_34,135
2022_35,145
2022_36,122
2022_37,133
2022_38,122
2022_39,147
2022_40,143
2022_41,143
2022_42,142
2022_43,155
2022_44,141
2022_45,155
2022_46,141
2022_47,163
2022_48,134
2022_49,158
2022_50,148
2022_51,168
2022_52,54
2023_00,112
2023_01,152
2023_02,163
2023_03,140
2023_04,180
2023_05,165
2023_06,156
2023_07,173
2023_08,166
2023_09,155
2023_10,166
2023_11,175
2023_12,173
2023_13,172
2023_14,188
2023_15,178
2023_16,169
2023_17,177
2023_18,156
2023_19,182
2023_20,170
2023_21,164
2023_22,175
2023_23,169
2023_24,166
2023_25,165
2023_26,175
2023_27,150
2023_28,153
2023_29,172
2023_30,197
2023_31,155
2023_32,159
2023_33,174
2023_34,183
2023_35,189
2023_36,169
2023_37,206
2023_38,185
2023_39,201
2023_40,172
2023_41,175
2023_42,209
2023_43,198
2023_44,182
2023_45,194
2023_46,190
2023_47,178
2023_48,210
2023_49,71
