year_week,count
2019_32,2
2019_34,5
2019_35,2
2019_36,1
2019_37,1
2019_38,1
2019_39,2
2019_40,6
2019_41,3
2019_42,3
2019_43,4
2019_44,3
2019_45,6
2019_46,4
2019_47,3
2019_48,7
2019_49,5
2019_50,5
2019_51,4
2020_00,4
2020_01,3
2020_02,2
2020_03,10
2020_04,11
2020_05,12
2020_06,6
2020_07,9
2020_08,8
2020_09,9
2020_10,13
2020_11,14
2020_12,13
2020_13,11
2020_14,9
2020_15,18
2020_16,12
2020_17,17
2020_18,11
2020_19,18
2020_20,17
2020_21,9
2020_22,14
2020_23,15
2020_24,11
2020_25,5
2020_26,10
2020_27,15
2020_28,18
2020_29,15
2020_30,12
2020_31,10
2020_32,13
2020_33,16
2020_34,15
2020_35,14
2020_36,16
2020_37,18
2020_38,17
2020_39,16
2020_40,12
2020_41,21
2020_42,22
2020_43,15
2020_44,29
2020_45,15
2020_46,21
2020_47,20
2020_48,18
2020_49,16
2020_50,16
2020_51,16
2020_52,7
2021_00,21
2021_01,23
2021_02,25
2021_03,24
2021_04,29
2021_05,18
2021_06,20
2021_07,24
2021_08,25
2021_09,23
2021_10,25
2021_11,29
2021_12,22
2021_13,16
2021_14,23
2021_15,21
2021_16,20
2021_17,19
2021_18,22
2021_19,32
2021_20,31
2021_21,20
2021_22,21
2021_23,37
2021_24,26
2021_25,21
2021_26,23
2021_27,23
2021_28,28
2021_29,25
2021_30,36
2021_31,32
2021_32,28
2021_33,24
2021_34,32
2021_35,27
2021_36,28
2021_37,34
2021_38,25
2021_39,24
2021_40,32
2021_41,34
2021_42,38
2021_43,35
2021_44,35
2021_45,39
2021_46,41
2021_47,40
2021_48,36
2021_49,37
2021_50,32
2021_51,30
2021_52,4
2022_00,25
2022_01,36
2022_02,40
2022_03,37
2022_04,35
2022_05,34
2022_06,34
2022_07,39
2022_08,29
2022_09,35
2022_10,43
2022_11,44
2022_12,38
2022_13,39
2022_14,30
2022_15,41
2022_16,32
2022_17,33
2022_18,33
2022_19,25
2022_20,34
2022_21,27
2022_22,47
2022_23,32
2022_24,31
2022_25,49
2022_26,47
2022_27,40
2022_28,40
2022_29,52
2022_30,43
2022_31,51
2022_32,31
2022_33,40
2022_34,53
2022_35,41
2022_36,54
2022_37,37
2022_38,48
2022_39,43
2022_40,40
2022_41,44
2022_42,35
2022_43,58
2022_44,39
2022_45,57
2022_46,36
2022_47,46
2022_48,41
2022_49,52
2022_50,40
2022_51,32
2022_52,21
2023_00,45
2023_01,43
2023_02,42
2023_03,42
2023_04,52
2023_05,53
2023_06,53
2023_07,41
2023_08,41
2023_09,55
2023_10,50
2023_11,55
2023_12,46
2023_13,40
2023_14,58
2023_15,58
2023_16,61
2023_17,51
2023_18,57
2023_19,40
2023_20,60
2023_21,41
2023_22,61
2023_23,55
2023_24,51
2023_25,65
2023_26,53
2023_27,59
2023_28,61
2023_29,65
2023_30,52
2023_31,60
2023_32,60
2023_33,62
2023_34,45
2023_35,55
2023_36,65
2023_37,61
2023_38,59
2023_39,70
2023_40,56
2023_41,58
2023_42,61
2023_43,54
2023_44,62
2023_45,55
2023_46,74
2023_47,62
2023_48,78
2023_49,27
