year_week,count
2019_31,1
2019_33,1
2019_34,1
2019_35,1
2019_36,1
2019_38,2
2019_40,1
2019_43,1
2019_44,2
2019_45,1
2019_46,1
2019_47,7
2019_49,3
2019_51,3
2020_00,1
2020_01,4
2020_03,4
2020_04,3
2020_05,1
2020_06,2
2020_07,2
2020_08,2
2020_09,2
2020_11,3
2020_12,2
2020_13,1
2020_14,5
2020_15,3
2020_16,4
2020_17,6
2020_18,1
2020_19,5
2020_20,3
2020_21,6
2020_22,5
2020_23,4
2020_24,4
2020_25,5
2020_26,3
2020_27,4
2020_28,11
2020_29,1
2020_30,2
2020_31,4
2020_32,4
2020_33,8
2020_34,1
2020_35,9
2020_36,7
2020_37,5
2020_38,4
2020_39,10
2020_40,7
2020_41,3
2020_42,9
2020_43,8
2020_44,6
2020_45,8
2020_46,6
2020_47,5
2020_48,10
2020_49,6
2020_50,7
2020_51,10
2020_52,2
2021_00,3
2021_01,7
2021_02,7
2021_03,8
2021_04,4
2021_05,5
2021_06,3
2021_07,6
2021_08,6
2021_09,10
2021_10,6
2021_11,12
2021_12,7
2021_13,10
2021_14,3
2021_15,6
2021_16,10
2021_17,9
2021_18,13
2021_19,8
2021_20,5
2021_21,7
2021_22,4
2021_23,11
2021_24,9
2021_25,9
2021_26,12
2021_27,9
2021_28,6
2021_29,8
2021_30,13
2021_31,10
2021_32,10
2021_33,1
2021_34,11
2021_35,13
2021_36,14
2021_37,8
2021_38,9
2021_39,9
2021_40,7
2021_41,8
2021_42,15
2021_43,7
2021_44,8
2021_45,8
2021_46,12
2021_47,13
2021_48,11
2021_49,10
2021_50,10
2021_51,14
2021_52,4
2022_00,16
2022_01,13
2022_02,18
2022_03,15
2022_04,13
2022_05,8
2022_06,10
2022_07,14
2022_08,13
2022_09,16
2022_10,15
2022_11,12
2022_12,8
2022_13,16
2022_14,12
2022_15,17
2022_16,10
2022_17,10
2022_18,20
2022_19,9
2022_20,9
2022_21,11
2022_22,11
2022_23,15
2022_24,14
2022_25,16
2022_26,14
2022_27,7
2022_28,12
2022_29,12
2022_30,20
2022_31,10
2022_32,10
2022_33,18
2022_34,12
2022_35,14
2022_36,22
2022_37,26
2022_38,19
2022_39,11
2022_40,13
2022_41,9
2022_42,20
2022_43,12
2022_44,17
2022_45,18
2022_46,13
2022_47,14
2022_48,12
2022_49,21
2022_50,19
2022_51,16
2022_52,3
2023_00,14
2023_01,22
2023_02,13
2023_03,18
2023_04,15
2023_05,22
2023_06,20
2023_07,26
2023_08,15
2023_09,22
2023_10,17
2023_11,14
2023_12,21
2023_13,17
2023_14,12
2023_15,21
2023_16,11
2023_17,12
2023_18,14
2023_19,24
2023_20,23
2023_21,24
2023_22,17
2023_23,20
2023_24,17
2023_25,18
2023_26,25
2023_27,18
2023_28,18
2023_29,20
2023_30,24
2023_31,13
2023_32,12
2023_33,15
2023_34,26
2023_35,25
2023_36,19
2023_37,21
2023_38,25
2023_39,21
2023_40,21
2023_41,16
2023_42,19
2023_43,20
2023_44,23
2023_45,17
2023_46,20
2023_47,19
2023_48,19
2023_49,11
