year_week,count
2019_28,1
2019_33,2
2019_35,2
2019_37,2
2019_39,5
2019_40,4
2019_41,5
2019_42,4
2019_43,1
2019_44,1
2019_45,2
2019_46,2
2019_47,8
2019_48,5
2019_49,7
2019_50,3
2019_51,7
2019_52,2
2020_00,2
2020_01,11
2020_02,10
2020_03,12
2020_04,7
2020_05,6
2020_06,10
2020_07,12
2020_08,10
2020_09,2
2020_10,7
2020_11,12
2020_12,7
2020_13,10
2020_14,16
2020_15,11
2020_16,8
2020_17,9
2020_18,11
2020_19,13
2020_20,7
2020_21,11
2020_22,8
2020_23,11
2020_24,15
2020_25,14
2020_26,18
2020_27,12
2020_28,20
2020_29,13
2020_30,13
2020_31,19
2020_32,17
2020_33,20
2020_34,14
2020_35,21
2020_36,21
2020_37,15
2020_38,18
2020_39,18
2020_40,17
2020_41,17
2020_42,18
2020_43,22
2020_44,15
2020_45,13
2020_46,19
2020_47,18
2020_48,22
2020_49,17
2020_50,17
2020_51,20
2020_52,6
2021_00,19
2021_01,22
2021_02,14
2021_03,12
2021_04,16
2021_05,21
2021_06,21
2021_07,12
2021_08,28
2021_09,28
2021_10,24
2021_11,15
2021_12,28
2021_13,30
2021_14,28
2021_15,24
2021_16,22
2021_17,26
2021_18,27
2021_19,33
2021_20,32
2021_21,15
2021_22,22
2021_23,29
2021_24,23
2021_25,30
2021_26,23
2021_27,22
2021_28,35
2021_29,23
2021_30,21
2021_31,27
2021_32,29
2021_33,26
2021_34,39
2021_35,27
2021_36,20
2021_37,25
2021_38,40
2021_39,33
2021_40,27
2021_41,29
2021_42,34
2021_43,37
2021_44,33
2021_45,36
2021_46,24
2021_47,30
2021_48,35
2021_49,32
2021_50,26
2021_51,26
2021_52,13
2022_00,43
2022_01,35
2022_02,41
2022_03,28
2022_04,40
2022_05,41
2022_06,26
2022_07,28
2022_08,35
2022_09,38
2022_10,32
2022_11,52
2022_12,41
2022_13,34
2022_14,37
2022_15,27
2022_16,28
2022_17,29
2022_18,38
2022_19,33
2022_20,32
2022_21,41
2022_22,29
2022_23,34
2022_24,31
2022_25,43
2022_26,34
2022_27,38
2022_28,41
2022_29,44
2022_30,26
2022_31,50
2022_32,49
2022_33,39
2022_34,42
2022_35,40
2022_36,38
2022_37,53
2022_38,31
2022_39,55
2022_40,41
2022_41,48
2022_42,52
2022_43,54
2022_44,44
2022_45,45
2022_46,33
2022_47,52
2022_48,50
2022_49,40
2022_50,58
2022_51,35
2022_52,14
2023_00,40
2023_01,54
2023_02,53
2023_03,44
2023_04,42
2023_05,50
2023_06,52
2023_07,48
2023_08,53
2023_09,48
2023_10,58
2023_11,39
2023_12,58
2023_13,60
2023_14,67
2023_15,54
2023_16,45
2023_17,44
2023_18,59
2023_19,50
2023_20,52
2023_21,45
2023_22,44
2023_23,68
2023_24,53
2023_25,48
2023_26,53
2023_27,66
2023_28,60
2023_29,70
2023_30,71
2023_31,44
2023_32,58
2023_33,47
2023_34,47
2023_35,70
2023_36,69
2023_37,60
2023_38,75
2023_39,67
2023_40,64
2023_41,68
2023_42,54
2023_43,62
2023_44,74
2023_45,66
2023_46,53
2023_47,74
2023_48,58
2023_49,35
