year_week,count
2019_28,1
2019_29,1
2019_30,1
2019_31,3
2019_35,1
2019_36,3
2019_37,2
2019_38,3
2019_39,3
2019_40,4
2019_41,5
2019_42,2
2019_43,5
2019_44,5
2019_45,5
2019_46,5
2019_47,1
2019_48,2
2019_49,2
2019_50,4
2019_51,5
2020_00,6
2020_01,11
2020_02,5
2020_03,6
2020_04,9
2020_05,6
2020_06,8
2020_07,11
2020_08,8
2020_09,5
2020_10,20
2020_11,7
2020_12,8
2020_13,8
2020_14,9
2020_15,11
2020_16,6
2020_17,12
2020_18,8
2020_19,4
2020_20,12
2020_21,8
2020_22,10
2020_23,10
2020_24,9
2020_25,11
2020_26,11
2020_27,7
2020_28,9
2020_29,8
2020_30,14
2020_31,7
2020_32,8
2020_33,19
2020_34,15
2020_35,12
2020_36,12
2020_37,13
2020_38,14
2020_39,11
2020_40,7
2020_41,14
2020_42,11
2020_43,11
2020_44,12
2020_45,11
2020_46,17
2020_47,13
2020_48,9
2020_49,13
2020_50,20
2020_51,11
2020_52,4
2021_00,14
2021_01,14
2021_02,19
2021_03,15
2021_04,16
2021_05,17
2021_06,14
2021_07,15
2021_08,19
2021_09,16
2021_10,12
2021_11,16
2021_12,15
2021_13,16
2021_14,19
2021_15,19
2021_16,17
2021_17,14
2021_18,15
2021_19,21
2021_20,15
2021_21,19
2021_22,12
2021_23,17
2021_24,21
2021_25,21
2021_26,15
2021_27,16
2021_28,18
2021_29,17
2021_30,20
2021_31,34
2021_32,25
2021_33,12
2021_34,24
2021_35,23
2021_36,23
2021_37,27
2021_38,29
2021_39,24
2021_40,23
2021_41,23
2021_42,15
2021_43,25
2021_44,16
2021_45,25
2021_46,26
2021_47,28
2021_48,35
2021_49,28
2021_50,26
2021_51,26
2021_52,6
2022_00,26
2022_01,24
2022_02,29
2022_03,27
2022_04,28
2022_05,31
2022_06,30
2022_07,34
2022_08,27
2022_09,35
2022_10,27
2022_11,25
2022_12,31
2022_13,38
2022_14,21
2022_15,34
2022_16,33
2022_17,29
2022_18,28
2022_19,27
2022_20,22
2022_21,29
2022_22,25
2022_23,39
2022_24,40
2022_25,44
2022_26,36
2022_27,33
2022_28,28
2022_29,28
2022_30,30
2022_31,45
2022_32,27
2022_33,34
2022_34,30
2022_35,37
2022_36,32
2022_37,33
2022_38,43
2022_39,37
2022_40,31
2022_41,37
2022_42,48
2022_43,36
2022_44,33
2022_45,51
2022_46,31
2022_47,31
2022_48,39
2022_49,42
2022_50,39
2022_51,38
2022_52,13
2023_00,27
2023_01,44
2023_02,46
2023_03,45
2023_04,40
2023_05,30
2023_06,40
2023_07,44
2023_08,41
2023_09,41
2023_10,40
2023_11,30
2023_12,42
2023_13,37
2023_14,40
2023_15,34
2023_16,38
2023_17,33
2023_18,35
2023_19,42
2023_20,37
2023_21,35
2023_22,52
2023_23,46
2023_24,49
2023_25,41
2023_26,38
2023_27,46
2023_28,52
2023_29,47
2023_30,54
2023_31,41
2023_32,41
2023_33,45
2023_34,42
2023_35,46
2023_36,45
2023_37,37
2023_38,34
2023_39,51
2023_40,52
2023_41,58
2023_42,39
2023_43,38
2023_44,58
2023_45,50
2023_46,45
2023_47,45
2023_48,47
2023_49,21
