year_week,count
2019_27,1
2019_28,2
2019_29,3
2019_30,1
2019_31,1
2019_32,1
2019_34,3
2019_35,2
2019_36,1
2019_37,5
2019_38,7
2019_39,6
2019_40,2
2019_41,4
2019_42,5
2019_43,10
2019_44,3
2019_45,6
2019_46,8
2019_47,11
2019_48,4
2019_49,11
2019_50,7
2019_51,10
2019_52,1
2020_00,3
2020_01,10
2020_02,12
2020_03,10
2020_04,10
2020_05,11
2020_06,7
2020_07,10
2020_08,8
2020_09,8
2020_10,6
2020_11,7
2020_12,11
2020_13,10
2020_14,12
2020_15,11
2020_16,12
2020_17,13
2020_18,14
2020_19,13
2020_20,16
2020_21,22
2020_22,22
2020_23,20
2020_24,17
2020_25,15
2020_26,14
2020_27,17
2020_28,18
2020_29,17
2020_30,17
2020_31,12
2020_32,14
2020_33,12
2020_34,18
2020_35,30
2020_36,16
2020_37,25
2020_38,20
2020_39,15
2020_40,11
2020_41,20
2020_42,26
2020_43,17
2020_44,23
2020_45,32
2020_46,21
2020_47,24
2020_48,18
2020_49,21
2020_50,22
2020_51,19
2020_52,6
2021_00,26
2021_01,27
2021_02,25
2021_03,33
2021_04,29
2021_05,23
2021_06,19
2021_07,36
2021_08,21
2021_09,30
2021_10,26
2021_11,27
2021_12,37
2021_13,33
2021_14,46
2021_15,27
2021_16,31
2021_17,31
2021_18,31
2021_19,29
2021_20,34
2021_21,32
2021_22,33
2021_23,34
2021_24,36
2021_25,42
2021_26,29
2021_27,31
2021_28,31
2021_29,32
2021_30,37
2021_31,34
2021_32,29
2021_33,40
2021_34,40
2021_35,48
2021_36,35
2021_37,31
2021_38,27
2021_39,34
2021_40,39
2021_41,35
2021_42,32
2021_43,38
2021_44,40
2021_45,40
2021_46,53
2021_47,43
2021_48,39
2021_49,34
2021_50,46
2021_51,45
2021_52,15
2022_00,38
2022_01,50
2022_02,48
2022_03,48
2022_04,43
2022_05,46
2022_06,45
2022_07,35
2022_08,49
2022_09,46
2022_10,49
2022_11,44
2022_12,48
2022_13,51
2022_14,55
2022_15,46
2022_16,42
2022_17,45
2022_18,54
2022_19,54
2022_20,62
2022_21,49
2022_22,76
2022_23,59
2022_24,45
2022_25,57
2022_26,58
2022_27,46
2022_28,49
2022_29,64
2022_30,55
2022_31,56
2022_32,56
2022_33,39
2022_34,59
2022_35,63
2022_36,42
2022_37,52
2022_38,62
2022_39,58
2022_40,58
2022_41,64
2022_42,65
2022_43,59
2022_44,62
2022_45,61
2022_46,65
2022_47,68
2022_48,58
2022_49,68
2022_50,67
2022_51,71
2022_52,24
2023_00,52
2023_01,71
2023_02,63
2023_03,72
2023_04,61
2023_05,56
2023_06,64
2023_07,81
2023_08,78
2023_09,78
2023_10,75
2023_11,74
2023_12,79
2023_13,84
2023_14,51
2023_15,63
2023_16,72
2023_17,71
2023_18,71
2023_19,80
2023_20,50
2023_21,79
2023_22,87
2023_23,77
2023_24,71
2023_25,70
2023_26,66
2023_27,66
2023_28,77
2023_29,73
2023_30,91
2023_31,80
2023_32,82
2023_33,82
2023_34,76
2023_35,79
2023_36,76
2023_37,92
2023_38,89
2023_39,89
2023_40,66
2023_41,78
2023_42,89
2023_43,89
2023_44,76
2023_45,74
2023_46,83
2023_47,86
2023_48,76
2023_49,43
