year_week,count
2019_29,1
2019_35,1
2019_36,4
2019_37,2
2019_39,2
2019_40,3
2019_41,3
2019_42,3
2019_43,2
2019_44,1
2019_46,3
2019_47,2
2019_48,7
2019_49,1
2019_50,3
2019_51,2
2019_52,2
2020_00,4
2020_01,1
2020_02,7
2020_03,3
2020_04,5
2020_06,4
2020_07,3
2020_08,6
2020_09,1
2020_10,6
2020_11,5
2020_12,7
2020_13,7
2020_14,7
2020_15,7
2020_16,8
2020_18,6
2020_19,7
2020_20,6
2020_21,10
2020_22,5
2020_23,4
2020_24,5
2020_25,5
2020_26,6
2020_27,5
2020_28,11
2020_29,7
2020_30,3
2020_31,8
2020_32,6
2020_33,9
2020_34,4
2020_35,8
2020_36,8
2020_37,6
2020_38,3
2020_39,6
2020_40,8
2020_41,10
2020_42,10
2020_43,11
2020_44,8
2020_45,6
2020_46,5
2020_47,13
2020_48,10
2020_49,19
2020_50,10
2020_51,7
2020_52,2
2021_00,7
2021_01,12
2021_02,12
2021_03,9
2021_04,14
2021_05,12
2021_06,11
2021_07,4
2021_08,7
2021_09,12
2021_10,16
2021_11,16
2021_12,11
2021_13,12
2021_14,15
2021_15,11
2021_16,11
2021_17,12
2021_18,15
2021_19,17
2021_20,9
2021_21,9
2021_22,7
2021_23,9
2021_24,9
2021_25,12
2021_26,11
2021_27,11
2021_28,12
2021_29,7
2021_30,13
2021_31,17
2021_32,20
2021_33,11
2021_34,10
2021_35,18
2021_36,13
2021_37,15
2021_38,13
2021_39,15
2021_40,12
2021_41,6
2021_42,19
2021_43,12
2021_44,16
2021_45,13
2021_46,13
2021_47,18
2021_48,13
2021_49,14
2021_50,16
2021_51,15
2021_52,5
2022_00,13
2022_01,11
2022_02,25
2022_03,12
2022_04,7
2022_05,20
2022_06,17
2022_07,21
2022_08,10
2022_09,19
2022_10,21
2022_11,15
2022_12,13
2022_13,13
2022_14,13
2022_15,22
2022_16,19
2022_17,31
2022_18,20
2022_19,17
2022_20,25
2022_21,25
2022_22,17
2022_23,24
2022_24,18
2022_25,28
2022_26,26
2022_27,24
2022_28,14
2022_29,23
2022_30,22
2022_31,31
2022_32,28
2022_33,24
2022_34,30
2022_35,25
2022_36,14
2022_37,18
2022_38,16
2022_39,22
2022_40,24
2022_41,23
2022_42,21
2022_43,20
2022_44,31
2022_45,22
2022_46,25
2022_47,27
2022_48,20
2022_49,30
2022_50,23
2022_51,14
2022_52,6
2023_00,15
2023_01,27
2023_02,20
2023_03,24
2023_04,17
2023_05,24
2023_06,35
2023_07,27
2023_08,21
2023_09,26
2023_10,22
2023_11,26
2023_12,26
2023_13,34
2023_14,29
2023_15,30
2023_16,27
2023_17,31
2023_18,34
2023_19,21
2023_20,33
2023_21,25
2023_22,25
2023_23,18
2023_24,26
2023_25,30
2023_26,24
2023_27,22
2023_28,33
2023_29,31
2023_30,24
2023_31,31
2023_32,23
2023_33,30
2023_34,22
2023_35,23
2023_36,27
2023_37,24
2023_38,27
2023_39,29
2023_40,24
2023_41,29
2023_42,32
2023_43,29
2023_44,28
2023_45,27
2023_46,33
2023_47,21
2023_48,17
2023_49,15
