year_week,count
2019_30,1
2019_32,1
2019_33,1
2019_34,1
2019_35,1
2019_36,1
2019_37,1
2019_38,2
2019_39,4
2019_40,2
2019_41,3
2019_42,4
2019_43,4
2019_44,4
2019_45,1
2019_46,2
2019_47,3
2019_48,3
2019_49,5
2019_50,3
2019_51,7
2019_52,1
2020_00,5
2020_01,2
2020_02,6
2020_03,4
2020_04,7
2020_05,2
2020_06,9
2020_07,10
2020_08,4
2020_09,3
2020_10,5
2020_11,9
2020_12,3
2020_13,9
2020_14,6
2020_15,2
2020_16,5
2020_17,5
2020_18,11
2020_19,5
2020_20,6
2020_21,5
2020_22,11
2020_23,7
2020_24,10
2020_25,11
2020_26,12
2020_27,11
2020_28,6
2020_29,9
2020_30,10
2020_31,9
2020_32,7
2020_33,10
2020_34,11
2020_35,8
2020_36,13
2020_37,9
2020_38,8
2020_39,21
2020_40,12
2020_41,5
2020_42,13
2020_43,15
2020_44,9
2020_45,13
2020_46,10
2020_47,10
2020_48,13
2020_49,6
2020_50,6
2020_51,10
2021_00,11
2021_01,13
2021_02,16
2021_03,14
2021_04,12
2021_05,10
2021_06,14
2021_07,7
2021_08,12
2021_09,16
2021_10,9
2021_11,15
2021_12,11
2021_13,12
2021_14,10
2021_15,9
2021_16,11
2021_17,8
2021_18,12
2021_19,19
2021_20,7
2021_21,18
2021_22,11
2021_23,13
2021_24,13
2021_25,16
2021_26,18
2021_27,15
2021_28,15
2021_29,12
2021_30,14
2021_31,21
2021_32,15
2021_33,12
2021_34,17
2021_35,25
2021_36,15
2021_37,12
2021_38,18
2021_39,10
2021_40,15
2021_41,18
2021_42,19
2021_43,14
2021_44,19
2021_45,20
2021_46,21
2021_47,25
2021_48,14
2021_49,10
2021_50,31
2021_51,19
2021_52,9
2022_00,18
2022_01,18
2022_02,18
2022_03,16
2022_04,18
2022_05,23
2022_06,15
2022_07,20
2022_08,24
2022_09,18
2022_10,19
2022_11,26
2022_12,32
2022_13,25
2022_14,19
2022_15,17
2022_16,19
2022_17,28
2022_18,25
2022_19,19
2022_20,19
2022_21,25
2022_22,30
2022_23,28
2022_24,24
2022_25,33
2022_26,22
2022_27,19
2022_28,33
2022_29,32
2022_30,28
2022_31,32
2022_32,32
2022_33,20
2022_34,28
2022_35,30
2022_36,25
2022_37,27
2022_38,32
2022_39,33
2022_40,16
2022_41,24
2022_42,24
2022_43,38
2022_44,33
2022_45,30
2022_46,34
2022_47,28
2022_48,25
2022_49,25
2022_50,41
2022_51,33
2022_52,8
2023_00,34
2023_01,29
2023_02,32
2023_03,31
2023_04,35
2023_05,22
2023_06,40
2023_07,35
2023_08,30
2023_09,47
2023_10,31
2023_11,28
2023_12,31
2023_13,29
2023_14,31
2023_15,24
2023_16,46
2023_17,31
2023_18,40
2023_19,38
2023_20,30
2023_21,32
2023_22,44
2023_23,38
2023_24,33
2023_25,48
2023_26,31
2023_27,36
2023_28,24
2023_29,34
2023_30,45
2023_31,43
2023_32,31
2023_33,28
2023_34,34
2023_35,26
2023_36,21
2023_37,36
2023_38,40
2023_39,38
2023_40,36
2023_41,39
2023_42,33
2023_43,43
2023_44,37
2023_45,43
2023_46,42
2023_47,40
2023_48,39
2023_49,19
