year_week,count
2019_28,2
2019_31,1
2019_32,2
2019_33,1
2019_34,1
2019_35,1
2019_36,2
2019_37,2
2019_38,2
2019_39,6
2019_40,4
2019_41,3
2019_42,4
2019_43,3
2019_44,1
2019_45,5
2019_46,5
2019_47,11
2019_48,2
2019_49,6
2019_50,5
2019_51,12
2019_52,1
2020_00,7
2020_01,3
2020_02,6
2020_03,14
2020_04,11
2020_05,4
2020_06,14
2020_07,9
2020_08,5
2020_09,6
2020_10,14
2020_11,11
2020_12,15
2020_13,15
2020_14,15
2020_15,13
2020_16,17
2020_17,14
2020_18,6
2020_19,15
2020_20,7
2020_21,19
2020_22,12
2020_23,10
2020_24,13
2020_25,10
2020_26,19
2020_27,15
2020_28,21
2020_29,21
2020_30,5
2020_31,15
2020_32,15
2020_33,18
2020_34,12
2020_35,12
2020_36,19
2020_37,19
2020_38,21
2020_39,26
2020_40,10
2020_41,12
2020_42,17
2020_43,15
2020_44,19
2020_45,14
2020_46,26
2020_47,26
2020_48,23
2020_49,21
2020_50,21
2020_51,17
2020_52,7
2021_00,15
2021_01,20
2021_02,25
2021_03,30
2021_04,27
2021_05,20
2021_06,21
2021_07,29
2021_08,25
2021_09,16
2021_10,22
2021_11,31
2021_12,23
2021_13,27
2021_14,16
2021_15,23
2021_16,24
2021_17,20
2021_18,23
2021_19,19
2021_20,25
2021_21,28
2021_22,17
2021_23,27
2021_24,29
2021_25,28
2021_26,35
2021_27,33
2021_28,29
2021_29,26
2021_30,41
2021_31,36
2021_32,31
2021_33,34
2021_34,36
2021_35,22
2021_36,30
2021_37,30
2021_38,31
2021_39,24
2021_40,33
2021_41,34
2021_42,30
2021_43,33
2021_44,30
2021_45,28
2021_46,38
2021_47,33
2021_48,25
2021_49,26
2021_50,27
2021_51,35
2021_52,3
2022_00,26
2022_01,35
2022_02,37
2022_03,30
2022_04,32
2022_05,33
2022_06,40
2022_07,34
2022_08,42
2022_09,34
2022_10,38
2022_11,38
2022_12,32
2022_13,43
2022_14,35
2022_15,38
2022_16,27
2022_17,42
2022_18,36
2022_19,32
2022_20,50
2022_21,33
2022_22,40
2022_23,45
2022_24,44
2022_25,46
2022_26,43
2022_27,33
2022_28,44
2022_29,43
2022_30,47
2022_31,55
2022_32,44
2022_33,39
2022_34,39
2022_35,40
2022_36,47
2022_37,31
2022_38,38
2022_39,52
2022_40,49
2022_41,51
2022_42,42
2022_43,55
2022_44,41
2022_45,57
2022_46,48
2022_47,52
2022_48,54
2022_49,57
2022_50,54
2022_51,50
2022_52,17
2023_00,42
2023_01,53
2023_02,57
2023_03,53
2023_04,68
2023_05,53
2023_06,38
2023_07,42
2023_08,59
2023_09,54
2023_10,59
2023_11,52
2023_12,60
2023_13,48
2023_14,47
2023_15,55
2023_16,54
2023_17,62
2023_18,77
2023_19,61
2023_20,78
2023_21,56
2023_22,56
2023_23,51
2023_24,58
2023_25,65
2023_26,66
2023_27,63
2023_28,69
2023_29,66
2023_30,61
2023_31,53
2023_32,69
2023_33,67
2023_34,64
2023_35,67
2023_36,76
2023_37,62
2023_38,62
2023_39,70
2023_40,61
2023_41,71
2023_42,57
2023_43,70
2023_44,76
2023_45,74
2023_46,62
2023_47,66
2023_48,70
2023_49,28
