year_week,count
2019_28,1
2019_29,1
2019_30,2
2019_35,4
2019_36,3
2019_37,3
2019_39,1
2019_40,5
2019_41,5
2019_42,1
2019_43,3
2019_44,4
2019_45,5
2019_46,5
2019_47,8
2019_48,3
2019_49,8
2019_50,4
2019_51,8
2019_52,1
2020_00,6
2020_01,5
2020_02,10
2020_03,7
2020_04,7
2020_05,9
2020_06,10
2020_07,9
2020_08,8
2020_09,10
2020_10,10
2020_11,9
2020_12,12
2020_13,12
2020_14,7
2020_15,11
2020_16,8
2020_17,11
2020_18,11
2020_19,6
2020_20,6
2020_21,12
2020_22,10
2020_23,13
2020_24,13
2020_25,15
2020_26,8
2020_27,15
2020_28,18
2020_29,15
2020_30,16
2020_31,12
2020_32,25
2020_33,19
2020_34,13
2020_35,18
2020_36,14
2020_37,7
2020_38,22
2020_39,15
2020_40,8
2020_41,17
2020_42,14
2020_43,18
2020_44,24
2020_45,20
2020_46,10
2020_47,17
2020_48,25
2020_49,16
2020_50,19
2020_51,19
2020_52,2
2021_00,17
2021_01,17
2021_02,18
2021_03,21
2021_04,19
2021_05,22
2021_06,19
2021_07,18
2021_08,18
2021_09,24
2021_10,27
2021_11,29
2021_12,26
2021_13,22
2021_14,24
2021_15,40
2021_16,25
2021_17,20
2021_18,27
2021_19,19
2021_20,25
2021_21,24
2021_22,25
2021_23,36
2021_24,34
2021_25,37
2021_26,25
2021_27,30
2021_28,26
2021_29,33
2021_30,30
2021_31,26
2021_32,29
2021_33,37
2021_34,24
2021_35,31
2021_36,29
2021_37,25
2021_38,36
2021_39,26
2021_40,31
2021_41,40
2021_42,34
2021_43,30
2021_44,38
2021_45,31
2021_46,36
2021_47,34
2021_48,37
2021_49,31
2021_50,28
2021_51,32
2021_52,4
2022_00,21
2022_01,26
2022_02,27
2022_03,45
2022_04,41
2022_05,29
2022_06,28
2022_07,36
2022_08,46
2022_09,36
2022_10,37
2022_11,51
2022_12,43
2022_13,39
2022_14,35
2022_15,30
2022_16,34
2022_17,40
2022_18,41
2022_19,32
2022_20,41
2022_21,41
2022_22,30
2022_23,30
2022_24,30
2022_25,34
2022_26,46
2022_27,35
2022_28,25
2022_29,50
2022_30,42
2022_31,41
2022_32,42
2022_33,46
2022_34,45
2022_35,43
2022_36,37
2022_37,49
2022_38,35
2022_39,36
2022_40,48
2022_41,39
2022_42,46
2022_43,39
2022_44,41
2022_45,49
2022_46,38
2022_47,38
2022_48,53
2022_49,50
2022_50,51
2022_51,46
2022_52,14
2023_00,47
2023_01,62
2023_02,47
2023_03,61
2023_04,48
2023_05,42
2023_06,50
2023_07,57
2023_08,61
2023_09,50
2023_10,53
2023_11,53
2023_12,44
2023_13,48
2023_14,65
2023_15,54
2023_16,51
2023_17,55
2023_18,41
2023_19,46
2023_20,66
2023_21,60
2023_22,52
2023_23,49
2023_24,49
2023_25,52
2023_26,60
2023_27,49
2023_28,57
2023_29,65
2023_30,48
2023_31,56
2023_32,49
2023_33,56
2023_34,54
2023_35,56
2023_36,56
2023_37,53
2023_38,57
2023_39,40
2023_40,58
2023_41,45
2023_42,48
2023_43,57
2023_44,55
2023_45,60
2023_46,64
2023_47,63
2023_48,69
2023_49,34
