year_week,count
2019_28,1
2019_33,2
2019_36,1
2019_39,1
2019_40,1
2019_41,1
2019_42,1
2019_44,1
2019_45,1
2019_46,3
2019_47,2
2019_48,3
2019_49,2
2019_50,2
2019_51,1
2020_00,1
2020_01,1
2020_02,5
2020_03,2
2020_04,1
2020_05,2
2020_06,3
2020_07,1
2020_08,2
2020_09,3
2020_10,2
2020_11,1
2020_12,2
2020_14,2
2020_15,1
2020_16,2
2020_17,2
2020_18,1
2020_19,1
2020_20,1
2020_21,1
2020_22,1
2020_23,4
2020_24,5
2020_25,4
2020_26,2
2020_27,4
2020_28,4
2020_29,2
2020_30,1
2020_31,2
2020_32,4
2020_33,5
2020_34,1
2020_35,4
2020_36,3
2020_37,2
2020_38,5
2020_39,2
2020_40,1
2020_41,9
2020_42,1
2020_43,1
2020_44,3
2020_45,1
2020_47,2
2020_48,5
2020_49,4
2020_50,1
2020_51,6
2021_00,4
2021_01,2
2021_02,8
2021_03,4
2021_04,4
2021_06,2
2021_07,5
2021_08,2
2021_09,7
2021_10,6
2021_11,5
2021_12,7
2021_13,5
2021_14,2
2021_16,3
2021_17,4
2021_18,4
2021_19,6
2021_20,5
2021_21,5
2021_22,5
2021_23,6
2021_24,7
2021_25,5
2021_26,4
2021_27,7
2021_28,8
2021_29,5
2021_30,5
2021_31,3
2021_32,6
2021_33,7
2021_34,11
2021_35,4
2021_36,6
2021_37,1
2021_38,7
2021_39,3
2021_40,5
2021_41,6
2021_42,6
2021_43,7
2021_44,8
2021_45,8
2021_46,6
2021_47,5
2021_48,4
2021_49,7
2021_50,12
2021_51,6
2021_52,2
2022_00,5
2022_01,6
2022_02,7
2022_03,10
2022_04,8
2022_05,10
2022_06,5
2022_07,4
2022_08,3
2022_09,7
2022_10,13
2022_11,7
2022_12,6
2022_13,7
2022_14,6
2022_15,7
2022_16,5
2022_17,4
2022_18,6
2022_19,6
2022_20,9
2022_21,7
2022_22,11
2022_23,10
2022_24,9
2022_25,12
2022_26,5
2022_27,13
2022_28,8
2022_29,12
2022_30,17
2022_31,9
2022_32,7
2022_33,12
2022_34,12
2022_35,6
2022_36,11
2022_37,8
2022_38,7
2022_39,8
2022_40,11
2022_41,11
2022_42,9
2022_43,10
2022_44,13
2022_45,10
2022_46,13
2022_47,10
2022_48,9
2022_49,9
2022_50,13
2022_51,11
2022_52,1
2023_00,7
2023_01,9
2023_02,9
2023_03,9
2023_04,10
2023_05,7
2023_06,12
2023_07,7
2023_08,9
2023_09,4
2023_10,13
2023_11,8
2023_12,15
2023_13,14
2023_14,15
2023_15,13
2023_16,11
2023_17,11
2023_18,12
2023_19,10
2023_20,9
2023_21,7
2023_22,8
2023_23,8
2023_24,13
2023_25,12
2023_26,5
2023_27,5
2023_28,12
2023_29,15
2023_30,8
2023_31,14
2023_32,9
2023_33,12
2023_34,15
2023_35,10
2023_36,9
2023_37,14
2023_38,18
2023_39,15
2023_40,15
2023_41,16
2023_42,12
2023_43,11
2023_44,15
2023_45,8
2023_46,12
2023_47,14
2023_48,11
2023_49,5
