year_week,count
2019_32,1
2019_33,4
2019_35,3
2019_36,9
2019_37,4
2019_38,1
2019_39,7
2019_40,12
2019_41,8
2019_42,6
2019_43,4
2019_44,7
2019_45,7
2019_46,3
2019_47,18
2019_48,12
2019_49,14
2019_50,15
2019_51,9
2019_52,2
2020_00,8
2020_01,22
2020_02,20
2020_03,18
2020_04,13
2020_05,19
2020_06,14
2020_07,31
2020_08,21
2020_09,20
2020_10,25
2020_11,19
2020_12,27
2020_13,27
2020_14,18
2020_15,28
2020_16,28
2020_17,23
2020_18,27
2020_19,24
2020_20,29
2020_21,19
2020_22,24
2020_23,31
2020_24,17
2020_25,26
2020_26,34
2020_27,26
2020_28,18
2020_29,35
2020_30,28
2020_31,25
2020_32,31
2020_33,35
2020_34,40
2020_35,30
2020_36,38
2020_37,30
2020_38,32
2020_39,43
2020_40,31
2020_41,33
2020_42,47
2020_43,39
2020_44,31
2020_45,35
2020_46,39
2020_47,35
2020_48,44
2020_49,47
2020_50,45
2020_51,42
2020_52,7
2021_00,29
2021_01,54
2021_02,38
2021_03,49
2021_04,57
2021_05,42
2021_06,40
2021_07,36
2021_08,41
2021_09,43
2021_10,41
2021_11,49
2021_12,56
2021_13,53
2021_14,37
2021_15,57
2021_16,51
2021_17,48
2021_18,42
2021_19,60
2021_20,60
2021_21,43
2021_22,40
2021_23,53
2021_24,49
2021_25,55
2021_26,54
2021_27,68
2021_28,46
2021_29,63
2021_30,62
2021_31,45
2021_32,55
2021_33,55
2021_34,72
2021_35,66
2021_36,64
2021_37,55
2021_38,69
2021_39,49
2021_40,53
2021_41,66
2021_42,67
2021_43,65
2021_44,62
2021_45,73
2021_46,57
2021_47,63
2021_48,76
2021_49,63
2021_50,59
2021_51,71
2021_52,15
2022_00,58
2022_01,56
2022_02,54
2022_03,57
2022_04,81
2022_05,80
2022_06,74
2022_07,73
2022_08,64
2022_09,62
2022_10,84
2022_11,92
2022_12,77
2022_13,72
2022_14,60
2022_15,70
2022_16,65
2022_17,81
2022_18,78
2022_19,90
2022_20,76
2022_21,89
2022_22,96
2022_23,85
2022_24,92
2022_25,78
2022_26,92
2022_27,78
2022_28,77
2022_29,81
2022_30,78
2022_31,83
2022_32,91
2022_33,91
2022_34,61
2022_35,91
2022_36,91
2022_37,92
2022_38,77
2022_39,88
2022_40,100
2022_41,93
2022_42,83
2022_43,98
2022_44,108
2022_45,91
2022_46,85
2022_47,107
2022_48,107
2022_49,98
2022_50,96
2022_51,82
2022_52,37
2023_00,72
2023_01,90
2023_02,108
2023_03,91
2023_04,88
2023_05,91
2023_06,88
2023_07,93
2023_08,86
2023_09,131
2023_10,106
2023_11,93
2023_12,127
2023_13,88
2023_14,103
2023_15,93
2023_16,87
2023_17,95
2023_18,116
2023_19,115
2023_20,110
2023_21,126
2023_22,107
2023_23,106
2023_24,110
2023_25,104
2023_26,136
2023_27,114
2023_28,106
2023_29,123
2023_30,126
2023_31,98
2023_32,107
2023_33,120
2023_34,123
2023_35,104
2023_36,121
2023_37,113
2023_38,116
2023_39,128
2023_40,115
2023_41,140
2023_42,130
2023_43,130
2023_44,115
2023_45,117
2023_46,137
2023_47,108
2023_48,116
2023_49,59
