year_week,count
2019_32,1
2019_33,2
2019_34,2
2019_35,3
2019_36,1
2019_37,4
2019_38,1
2019_39,3
2019_40,7
2019_41,5
2019_43,6
2019_44,5
2019_45,10
2019_46,5
2019_47,4
2019_48,5
2019_49,6
2019_50,4
2019_51,6
2019_52,1
2020_00,7
2020_01,9
2020_02,4
2020_03,10
2020_04,10
2020_05,8
2020_06,14
2020_07,6
2020_08,7
2020_09,14
2020_10,17
2020_11,9
2020_12,16
2020_13,14
2020_14,14
2020_15,21
2020_16,14
2020_17,12
2020_18,16
2020_19,19
2020_20,15
2020_21,14
2020_22,13
2020_23,12
2020_24,17
2020_25,18
2020_26,13
2020_27,13
2020_28,19
2020_29,15
2020_30,18
2020_31,19
2020_32,19
2020_33,19
2020_34,18
2020_35,24
2020_36,16
2020_37,27
2020_38,20
2020_39,21
2020_40,18
2020_41,22
2020_42,21
2020_43,29
2020_44,17
2020_45,21
2020_46,25
2020_47,15
2020_48,28
2020_49,18
2020_50,19
2020_51,33
2020_52,5
2021_00,29
2021_01,21
2021_02,19
2021_03,22
2021_04,32
2021_05,23
2021_06,32
2021_07,27
2021_08,28
2021_09,20
2021_10,20
2021_11,32
2021_12,19
2021_13,21
2021_14,36
2021_15,21
2021_16,30
2021_17,34
2021_18,22
2021_19,41
2021_20,25
2021_21,32
2021_22,35
2021_23,29
2021_24,32
2021_25,33
2021_26,28
2021_27,38
2021_28,32
2021_29,36
2021_30,35
2021_31,32
2021_32,30
2021_33,42
2021_34,44
2021_35,40
2021_36,39
2021_37,29
2021_38,35
2021_39,47
2021_40,48
2021_41,38
2021_42,45
2021_43,27
2021_44,27
2021_45,43
2021_46,30
2021_47,48
2021_48,33
2021_49,46
2021_50,36
2021_51,43
2021_52,7
2022_00,40
2022_01,46
2022_02,53
2022_03,42
2022_04,46
2022_05,39
2022_06,34
2022_07,40
2022_08,38
2022_09,45
2022_10,38
2022_11,47
2022_12,39
2022_13,39
2022_14,42
2022_15,55
2022_16,53
2022_17,39
2022_18,40
2022_19,56
2022_20,62
2022_21,49
2022_22,47
2022_23,39
2022_24,50
2022_25,55
2022_26,47
2022_27,48
2022_28,45
2022_29,60
2022_30,53
2022_31,53
2022_32,52
2022_33,56
2022_34,44
2022_35,62
2022_36,57
2022_37,43
2022_38,49
2022_39,60
2022_40,46
2022_41,59
2022_42,49
2022_43,42
2022_44,61
2022_45,52
2022_46,51
2022_47,63
2022_48,54
2022_49,66
2022_50,48
2022_51,66
2022_52,17
2023_00,45
2023_01,46
2023_02,60
2023_03,61
2023_04,62
2023_05,65
2023_06,60
2023_07,57
2023_08,67
2023_09,63
2023_10,60
2023_11,65
2023_12,61
2023_13,57
2023_14,62
2023_15,53
2023_16,59
2023_17,70
2023_18,66
2023_19,60
2023_20,76
2023_21,61
2023_22,63
2023_23,69
2023_24,74
2023_25,65
2023_26,58
2023_27,82
2023_28,70
2023_29,69
2023_30,72
2023_31,53
2023_32,59
2023_33,82
2023_34,67
2023_35,74
2023_36,71
2023_37,87
2023_38,73
2023_39,63
2023_40,73
2023_41,91
2023_42,83
2023_43,62
2023_44,66
2023_45,73
2023_46,58
2023_47,76
2023_48,89
2023_49,33
