year_week,count
2019_27,1
2019_28,3
2019_29,4
2019_30,17
2019_31,14
2019_32,10
2019_33,13
2019_34,28
2019_35,20
2019_36,29
2019_37,32
2019_38,44
2019_39,44
2019_40,47
2019_41,56
2019_42,57
2019_43,62
2019_44,57
2019_45,63
2019_46,50
2019_47,77
2019_48,65
2019_49,71
2019_50,76
2019_51,87
2019_52,21
2020_00,78
2020_01,87
2020_02,92
2020_03,102
2020_04,115
2020_05,93
2020_06,98
2020_07,108
2020_08,100
2020_09,108
2020_10,103
2020_11,96
2020_12,133
2020_13,137
2020_14,155
2020_15,131
2020_16,138
2020_17,130
2020_18,131
2020_19,134
2020_20,173
2020_21,148
2020_22,172
2020_23,141
2020_24,180
2020_25,165
2020_26,147
2020_27,140
2020_28,185
2020_29,191
2020_30,168
2020_31,178
2020_32,171
2020_33,211
2020_34,175
2020_35,210
2020_36,182
2020_37,191
2020_38,194
2020_39,199
2020_40,176
2020_41,197
2020_42,190
2020_43,185
2020_44,202
2020_45,253
2020_46,208
2020_47,278
2020_48,222
2020_49,212
2020_50,198
2020_51,230
2020_52,87
2021_00,230
2021_01,235
2021_02,212
2021_03,227
2021_04,252
2021_05,238
2021_06,220
2021_07,249
2021_08,261
2021_09,274
2021_10,268
2021_11,278
2021_12,286
2021_13,286
2021_14,277
2021_15,246
2021_16,287
2021_17,290
2021_18,287
2021_19,308
2021_20,300
2021_21,274
2021_22,287
2021_23,306
2021_24,290
2021_25,295
2021_26,316
2021_27,328
2021_28,292
2021_29,311
2021_30,323
2021_31,335
2021_32,335
2021_33,382
2021_34,376
2021_35,376
2021_36,414
2021_37,358
2021_38,362
2021_39,342
2021_40,357
2021_41,404
2021_42,342
2021_43,364
2021_44,382
2021_45,368
2021_46,403
2021_47,413
2021_48,395
2021_49,395
2021_50,407
2021_51,407
2021_52,90
2022_00,358
2022_01,437
2022_02,445
2022_03,438
2022_04,433
2022_05,401
2022_06,425
2022_07,456
2022_08,467
2022_09,423
2022_10,438
2022_11,421
2022_12,506
2022_13,419
2022_14,463
2022_15,471
2022_16,487
2022_17,386
2022_18,484
2022_19,484
2022_20,523
2022_21,521
2022_22,537
2022_23,499
2022_24,526
2022_25,555
2022_26,504
2022_27,601
2022_28,469
2022_29,520
2022_30,523
2022_31,504
2022_32,493
2022_33,517
2022_34,581
2022_35,521
2022_36,486
2022_37,561
2022_38,548
2022_39,581
2022_40,573
2022_41,534
2022_42,586
2022_43,584
2022_44,558
2022_45,564
2022_46,562
2022_47,588
2022_48,545
2022_49,591
2022_50,566
2022_51,584
2022_52,188
2023_00,451
2023_01,648
2023_02,619
2023_03,632
2023_04,644
2023_05,610
2023_06,650
2023_07,628
2023_08,641
2023_09,669
2023_10,678
2023_11,570
2023_12,676
2023_13,657
2023_14,664
2023_15,689
2023_16,609
2023_17,647
2023_18,607
2023_19,676
2023_20,638
2023_21,677
2023_22,655
2023_23,697
2023_24,681
2023_25,671
2023_26,683
2023_27,712
2023_28,712
2023_29,782
2023_30,737
2023_31,711
2023_32,712
2023_33,729
2023_34,725
2023_35,761
2023_36,771
2023_37,735
2023_38,765
2023_39,762
2023_40,721
2023_41,712
2023_42,773
2023_43,727
2023_44,788
2023_45,749
2023_46,732
2023_47,785
2023_48,763
2023_49,328
