year_week,count
2019_27,1
2019_29,1
2019_30,3
2019_31,1
2019_32,1
2019_33,3
2019_34,4
2019_35,7
2019_36,8
2019_37,7
2019_38,5
2019_39,7
2019_40,5
2019_41,3
2019_42,11
2019_43,18
2019_44,13
2019_45,11
2019_46,7
2019_47,10
2019_48,23
2019_49,13
2019_50,18
2019_51,18
2019_52,3
2020_00,20
2020_01,20
2020_02,20
2020_03,23
2020_04,18
2020_05,24
2020_06,13
2020_07,20
2020_08,18
2020_09,19
2020_10,14
2020_11,16
2020_12,24
2020_13,19
2020_14,30
2020_15,22
2020_16,20
2020_17,25
2020_18,38
2020_19,24
2020_20,29
2020_21,29
2020_22,29
2020_23,20
2020_24,42
2020_25,32
2020_26,33
2020_27,32
2020_28,41
2020_29,25
2020_30,37
2020_31,38
2020_32,36
2020_33,38
2020_34,27
2020_35,42
2020_36,37
2020_37,29
2020_38,37
2020_39,32
2020_40,44
2020_41,35
2020_42,41
2020_43,40
2020_44,39
2020_45,49
2020_46,40
2020_47,57
2020_48,44
2020_49,56
2020_50,44
2020_51,40
2020_52,18
2021_00,42
2021_01,55
2021_02,43
2021_03,49
2021_04,25
2021_05,43
2021_06,56
2021_07,52
2021_08,46
2021_09,44
2021_10,52
2021_11,69
2021_12,55
2021_13,46
2021_14,56
2021_15,53
2021_16,63
2021_17,55
2021_18,70
2021_19,54
2021_20,71
2021_21,49
2021_22,54
2021_23,65
2021_24,68
2021_25,57
2021_26,69
2021_27,60
2021_28,72
2021_29,55
2021_30,53
2021_31,73
2021_32,72
2021_33,77
2021_34,71
2021_35,86
2021_36,101
2021_37,90
2021_38,66
2021_39,60
2021_40,67
2021_41,74
2021_42,65
2021_43,79
2021_44,69
2021_45,88
2021_46,87
2021_47,82
2021_48,79
2021_49,72
2021_50,71
2021_51,72
2021_52,24
2022_00,69
2022_01,70
2022_02,66
2022_03,92
2022_04,88
2022_05,74
2022_06,79
2022_07,87
2022_08,76
2022_09,84
2022_10,82
2022_11,101
2022_12,99
2022_13,96
2022_14,97
2022_15,85
2022_16,81
2022_17,85
2022_18,107
2022_19,94
2022_20,103
2022_21,104
2022_22,100
2022_23,104
2022_24,118
2022_25,99
2022_26,106
2022_27,104
2022_28,97
2022_29,84
2022_30,88
2022_31,114
2022_32,109
2022_33,104
2022_34,111
2022_35,101
2022_36,95
2022_37,95
2022_38,117
2022_39,118
2022_40,110
2022_41,112
2022_42,115
2022_43,110
2022_44,107
2022_45,112
2022_46,102
2022_47,120
2022_48,109
2022_49,124
2022_50,106
2022_51,137
2022_52,37
2023_00,101
2023_01,124
2023_02,126
2023_03,131
2023_04,140
2023_05,118
2023_06,111
2023_07,133
2023_08,148
2023_09,137
2023_10,127
2023_11,109
2023_12,125
2023_13,141
2023_14,110
2023_15,142
2023_16,146
2023_17,155
2023_18,110
2023_19,146
2023_20,112
2023_21,165
2023_22,141
2023_23,143
2023_24,155
2023_25,123
2023_26,134
2023_27,142
2023_28,160
2023_29,157
2023_30,157
2023_31,138
2023_32,159
2023_33,152
2023_34,139
2023_35,139
2023_36,154
2023_37,140
2023_38,144
2023_39,140
2023_40,160
2023_41,129
2023_42,155
2023_43,138
2023_44,139
2023_45,134
2023_46,140
2023_47,134
2023_48,151
2023_49,66
