year_week,count
2019_29,1
2019_30,1
2019_31,1
2019_32,2
2019_33,5
2019_34,5
2019_35,4
2019_36,5
2019_37,6
2019_38,8
2019_39,4
2019_40,5
2019_41,9
2019_42,5
2019_43,8
2019_44,9
2019_45,9
2019_46,8
2019_47,12
2019_48,12
2019_49,13
2019_50,13
2019_51,17
2019_52,4
2020_00,9
2020_01,12
2020_02,25
2020_03,12
2020_04,19
2020_05,21
2020_06,21
2020_07,11
2020_08,18
2020_09,24
2020_10,22
2020_11,16
2020_12,18
2020_13,28
2020_14,20
2020_15,23
2020_16,19
2020_17,26
2020_18,31
2020_19,23
2020_20,18
2020_21,33
2020_22,24
2020_23,20
2020_24,41
2020_25,24
2020_26,29
2020_27,25
2020_28,38
2020_29,28
2020_30,24
2020_31,23
2020_32,40
2020_33,41
2020_34,31
2020_35,31
2020_36,42
2020_37,30
2020_38,26
2020_39,37
2020_40,43
2020_41,31
2020_42,40
2020_43,39
2020_44,34
2020_45,36
2020_46,34
2020_47,36
2020_48,33
2020_49,44
2020_50,34
2020_51,40
2020_52,12
2021_00,38
2021_01,47
2021_02,38
2021_03,49
2021_04,41
2021_05,36
2021_06,49
2021_07,44
2021_08,43
2021_09,41
2021_10,40
2021_11,47
2021_12,53
2021_13,54
2021_14,36
2021_15,54
2021_16,50
2021_17,51
2021_18,65
2021_19,54
2021_20,51
2021_21,40
2021_22,40
2021_23,44
2021_24,50
2021_25,50
2021_26,71
2021_27,43
2021_28,59
2021_29,51
2021_30,47
2021_31,53
2021_32,56
2021_33,62
2021_34,61
2021_35,50
2021_36,60
2021_37,69
2021_38,54
2021_39,58
2021_40,65
2021_41,54
2021_42,60
2021_43,52
2021_44,65
2021_45,61
2021_46,68
2021_47,76
2021_48,60
2021_49,64
2021_50,77
2021_51,46
2021_52,12
2022_00,54
2022_01,73
2022_02,70
2022_03,62
2022_04,76
2022_05,68
2022_06,80
2022_07,69
2022_08,101
2022_09,75
2022_10,66
2022_11,69
2022_12,95
2022_13,70
2022_14,70
2022_15,72
2022_16,73
2022_17,91
2022_18,78
2022_19,79
2022_20,78
2022_21,82
2022_22,95
2022_23,80
2022_24,81
2022_25,77
2022_26,81
2022_27,100
2022_28,81
2022_29,85
2022_30,93
2022_31,94
2022_32,92
2022_33,89
2022_34,99
2022_35,89
2022_36,84
2022_37,84
2022_38,91
2022_39,80
2022_40,89
2022_41,90
2022_42,114
2022_43,90
2022_44,107
2022_45,87
2022_46,95
2022_47,96
2022_48,94
2022_49,120
2022_50,103
2022_51,86
2022_52,38
2023_00,90
2023_01,105
2023_02,104
2023_03,105
2023_04,109
2023_05,97
2023_06,128
2023_07,103
2023_08,100
2023_09,114
2023_10,89
2023_11,120
2023_12,105
2023_13,100
2023_14,103
2023_15,111
2023_16,119
2023_17,99
2023_18,114
2023_19,120
2023_20,118
2023_21,135
2023_22,128
2023_23,108
2023_24,103
2023_25,108
2023_26,118
2023_27,99
2023_28,134
2023_29,126
2023_30,102
2023_31,120
2023_32,115
2023_33,122
2023_34,122
2023_35,97
2023_36,142
2023_37,111
2023_38,131
2023_39,122
2023_40,122
2023_41,111
2023_42,112
2023_43,127
2023_44,119
2023_45,118
2023_46,148
2023_47,137
2023_48,137
2023_49,72
