year_week,count
2019_28,1
2019_30,1
2019_31,1
2019_32,1
2019_33,1
2019_34,1
2019_35,3
2019_36,2
2019_37,1
2019_38,3
2019_39,8
2019_40,3
2019_41,5
2019_42,4
2019_43,7
2019_44,6
2019_45,2
2019_46,8
2019_47,5
2019_48,6
2019_49,2
2019_50,6
2019_51,7
2019_52,2
2020_00,5
2020_01,5
2020_02,8
2020_03,3
2020_04,8
2020_05,2
2020_06,3
2020_07,10
2020_08,11
2020_09,9
2020_10,7
2020_11,3
2020_12,7
2020_13,14
2020_14,10
2020_15,8
2020_16,9
2020_17,10
2020_18,6
2020_19,13
2020_20,8
2020_21,10
2020_22,15
2020_23,10
2020_24,6
2020_25,10
2020_26,16
2020_27,5
2020_28,10
2020_29,6
2020_30,9
2020_31,15
2020_32,20
2020_33,15
2020_34,12
2020_35,16
2020_36,14
2020_37,13
2020_38,14
2020_39,17
2020_40,10
2020_41,16
2020_42,11
2020_43,23
2020_44,13
2020_45,13
2020_46,18
2020_47,17
2020_48,15
2020_49,16
2020_50,11
2020_51,20
2020_52,4
2021_00,7
2021_01,15
2021_02,18
2021_03,14
2021_04,13
2021_05,14
2021_06,9
2021_07,17
2021_08,15
2021_09,24
2021_10,17
2021_11,16
2021_12,22
2021_13,20
2021_14,23
2021_15,21
2021_16,12
2021_17,24
2021_18,20
2021_19,20
2021_20,21
2021_21,23
2021_22,12
2021_23,19
2021_24,19
2021_25,24
2021_26,16
2021_27,23
2021_28,21
2021_29,23
2021_30,17
2021_31,24
2021_32,17
2021_33,22
2021_34,18
2021_35,30
2021_36,22
2021_37,27
2021_38,30
2021_39,19
2021_40,21
2021_41,21
2021_42,21
2021_43,23
2021_44,27
2021_45,22
2021_46,34
2021_47,23
2021_48,27
2021_49,21
2021_50,30
2021_51,35
2021_52,10
2022_00,20
2022_01,27
2022_02,24
2022_03,31
2022_04,23
2022_05,27
2022_06,36
2022_07,22
2022_08,21
2022_09,36
2022_10,17
2022_11,23
2022_12,45
2022_13,23
2022_14,23
2022_15,31
2022_16,27
2022_17,23
2022_18,34
2022_19,29
2022_20,46
2022_21,20
2022_22,33
2022_23,39
2022_24,44
2022_25,44
2022_26,25
2022_27,43
2022_28,30
2022_29,29
2022_30,42
2022_31,32
2022_32,33
2022_33,30
2022_34,42
2022_35,35
2022_36,33
2022_37,40
2022_38,31
2022_39,37
2022_40,35
2022_41,36
2022_42,32
2022_43,43
2022_44,41
2022_45,37
2022_46,39
2022_47,47
2022_48,46
2022_49,39
2022_50,41
2022_51,35
2022_52,8
2023_00,25
2023_01,48
2023_02,50
2023_03,41
2023_04,40
2023_05,39
2023_06,54
2023_07,48
2023_08,50
2023_09,55
2023_10,40
2023_11,33
2023_12,42
2023_13,48
2023_14,42
2023_15,51
2023_16,50
2023_17,42
2023_18,40
2023_19,44
2023_20,49
2023_21,42
2023_22,47
2023_23,53
2023_24,44
2023_25,34
2023_26,44
2023_27,54
2023_28,53
2023_29,51
2023_30,62
2023_31,60
2023_32,42
2023_33,50
2023_34,54
2023_35,37
2023_36,45
2023_37,53
2023_38,59
2023_39,40
2023_40,40
2023_41,61
2023_42,50
2023_43,46
2023_44,37
2023_45,51
2023_46,48
2023_47,60
2023_48,53
2023_49,29
