year_week,count
2019_36,3
2019_38,2
2019_39,2
2019_41,1
2019_44,1
2019_45,2
2019_46,1
2019_47,3
2019_49,1
2019_51,1
2020_00,2
2020_01,1
2020_02,2
2020_03,1
2020_04,3
2020_05,1
2020_06,3
2020_08,3
2020_09,2
2020_10,3
2020_11,2
2020_12,2
2020_13,1
2020_14,2
2020_15,2
2020_16,5
2020_19,3
2020_20,2
2020_21,4
2020_22,1
2020_23,3
2020_24,3
2020_25,3
2020_26,3
2020_27,4
2020_28,4
2020_29,3
2020_30,7
2020_31,4
2020_32,4
2020_33,1
2020_34,2
2020_36,2
2020_38,2
2020_39,2
2020_40,3
2020_41,2
2020_42,5
2020_43,1
2020_44,8
2020_45,7
2020_46,3
2020_47,9
2020_48,2
2020_49,4
2020_50,3
2020_51,3
2020_52,2
2021_00,1
2021_01,2
2021_02,2
2021_03,4
2021_04,1
2021_05,3
2021_06,3
2021_07,1
2021_08,2
2021_09,5
2021_10,3
2021_11,1
2021_12,4
2021_13,8
2021_14,2
2021_15,4
2021_16,6
2021_17,8
2021_18,10
2021_19,4
2021_20,3
2021_21,2
2021_22,5
2021_23,6
2021_24,5
2021_25,5
2021_26,2
2021_27,2
2021_28,5
2021_29,5
2021_30,9
2021_31,4
2021_32,6
2021_33,6
2021_34,8
2021_35,6
2021_36,5
2021_37,8
2021_38,6
2021_39,7
2021_40,11
2021_41,12
2021_42,7
2021_43,10
2021_44,5
2021_45,7
2021_46,6
2021_47,6
2021_48,11
2021_49,4
2021_50,7
2021_51,4
2022_00,7
2022_01,9
2022_02,14
2022_03,11
2022_04,7
2022_05,3
2022_06,7
2022_07,7
2022_08,8
2022_09,9
2022_10,6
2022_11,10
2022_12,12
2022_13,8
2022_14,6
2022_15,4
2022_16,9
2022_17,10
2022_18,7
2022_19,6
2022_20,7
2022_21,11
2022_22,8
2022_23,12
2022_24,13
2022_25,12
2022_26,7
2022_27,9
2022_28,10
2022_29,8
2022_30,12
2022_31,10
2022_32,8
2022_33,6
2022_34,9
2022_35,7
2022_36,11
2022_37,6
2022_38,7
2022_39,9
2022_40,9
2022_41,10
2022_42,5
2022_43,6
2022_44,5
2022_45,12
2022_46,9
2022_47,8
2022_48,20
2022_49,5
2022_50,13
2022_51,12
2022_52,5
2023_00,8
2023_01,11
2023_02,5
2023_03,9
2023_04,10
2023_05,11
2023_06,14
2023_07,11
2023_08,9
2023_09,20
2023_10,8
2023_11,6
2023_12,10
2023_13,8
2023_14,11
2023_15,20
2023_16,10
2023_17,13
2023_18,12
2023_19,9
2023_20,13
2023_21,5
2023_22,6
2023_23,4
2023_24,19
2023_25,12
2023_26,11
2023_27,13
2023_28,18
2023_29,14
2023_30,8
2023_31,11
2023_32,14
2023_33,10
2023_34,11
2023_35,12
2023_36,15
2023_37,17
2023_38,12
2023_39,10
2023_40,12
2023_41,20
2023_42,19
2023_43,14
2023_44,17
2023_45,19
2023_46,14
2023_47,11
2023_48,13
2023_49,12
