year_week,count
2019_28,1
2019_29,1
2019_30,3
2019_31,1
2019_32,3
2019_33,3
2019_34,7
2019_35,6
2019_36,10
2019_37,7
2019_38,9
2019_39,10
2019_40,16
2019_41,19
2019_42,15
2019_43,18
2019_44,18
2019_45,17
2019_46,14
2019_47,24
2019_48,29
2019_49,23
2019_50,31
2019_51,27
2019_52,5
2020_00,14
2020_01,24
2020_02,36
2020_03,30
2020_04,24
2020_05,29
2020_06,34
2020_07,35
2020_08,25
2020_09,50
2020_10,34
2020_11,37
2020_12,37
2020_13,35
2020_14,38
2020_15,50
2020_16,40
2020_17,41
2020_18,51
2020_19,45
2020_20,58
2020_21,42
2020_22,60
2020_23,60
2020_24,55
2020_25,44
2020_26,46
2020_27,42
2020_28,45
2020_29,51
2020_30,46
2020_31,49
2020_32,53
2020_33,64
2020_34,59
2020_35,48
2020_36,56
2020_37,51
2020_38,75
2020_39,58
2020_40,69
2020_41,58
2020_42,63
2020_43,66
2020_44,64
2020_45,56
2020_46,78
2020_47,72
2020_48,65
2020_49,59
2020_50,80
2020_51,68
2020_52,23
2021_00,75
2021_01,69
2021_02,65
2021_03,66
2021_04,95
2021_05,71
2021_06,52
2021_07,79
2021_08,68
2021_09,82
2021_10,82
2021_11,88
2021_12,81
2021_13,76
2021_14,91
2021_15,88
2021_16,107
2021_17,90
2021_18,91
2021_19,89
2021_20,79
2021_21,92
2021_22,93
2021_23,98
2021_24,100
2021_25,91
2021_26,104
2021_27,100
2021_28,88
2021_29,114
2021_30,92
2021_31,94
2021_32,110
2021_33,124
2021_34,116
2021_35,105
2021_36,90
2021_37,101
2021_38,109
2021_39,106
2021_40,89
2021_41,99
2021_42,111
2021_43,118
2021_44,122
2021_45,109
2021_46,124
2021_47,125
2021_48,129
2021_49,112
2021_50,122
2021_51,120
2021_52,24
2022_00,113
2022_01,106
2022_02,138
2022_03,128
2022_04,128
2022_05,131
2022_06,117
2022_07,133
2022_08,139
2022_09,150
2022_10,135
2022_11,135
2022_12,160
2022_13,138
2022_14,112
2022_15,150
2022_16,141
2022_17,128
2022_18,138
2022_19,129
2022_20,159
2022_21,135
2022_22,160
2022_23,175
2022_24,139
2022_25,158
2022_26,149
2022_27,162
2022_28,136
2022_29,168
2022_30,150
2022_31,156
2022_32,145
2022_33,144
2022_34,163
2022_35,159
2022_36,159
2022_37,150
2022_38,183
2022_39,196
2022_40,187
2022_41,175
2022_42,164
2022_43,163
2022_44,173
2022_45,178
2022_46,180
2022_47,158
2022_48,153
2022_49,188
2022_50,174
2022_51,196
2022_52,67
2023_00,134
2023_01,202
2023_02,187
2023_03,188
2023_04,179
2023_05,217
2023_06,194
2023_07,196
2023_08,186
2023_09,187
2023_10,202
2023_11,214
2023_12,163
2023_13,194
2023_14,197
2023_15,209
2023_16,207
2023_17,175
2023_18,182
2023_19,192
2023_20,195
2023_21,192
2023_22,200
2023_23,216
2023_24,225
2023_25,216
2023_26,224
2023_27,206
2023_28,210
2023_29,237
2023_30,231
2023_31,248
2023_32,203
2023_33,220
2023_34,217
2023_35,205
2023_36,216
2023_37,223
2023_38,230
2023_39,204
2023_40,216
2023_41,205
2023_42,215
2023_43,210
2023_44,246
2023_45,233
2023_46,250
2023_47,244
2023_48,214
2023_49,98
