year_week,count
2019_30,1
2019_31,1
2019_33,1
2019_35,2
2019_36,1
2019_37,1
2019_38,3
2019_39,3
2019_40,5
2019_41,5
2019_42,5
2019_43,1
2019_44,4
2019_45,5
2019_46,3
2019_47,7
2019_48,6
2019_49,7
2019_50,10
2019_51,12
2019_52,2
2020_00,6
2020_01,10
2020_02,5
2020_03,12
2020_04,6
2020_05,11
2020_06,4
2020_07,9
2020_08,9
2020_09,10
2020_10,6
2020_11,10
2020_12,11
2020_13,9
2020_14,11
2020_15,4
2020_16,15
2020_17,11
2020_18,13
2020_19,15
2020_20,9
2020_21,9
2020_22,16
2020_23,15
2020_24,7
2020_25,11
2020_26,17
2020_27,14
2020_28,11
2020_29,10
2020_30,13
2020_31,17
2020_32,17
2020_33,22
2020_34,15
2020_35,12
2020_36,22
2020_37,15
2020_38,19
2020_39,24
2020_40,17
2020_41,20
2020_42,20
2020_43,19
2020_44,19
2020_45,16
2020_46,18
2020_47,16
2020_48,25
2020_49,27
2020_50,22
2020_51,24
2020_52,8
2021_00,18
2021_01,26
2021_02,25
2021_03,21
2021_04,18
2021_05,22
2021_06,26
2021_07,24
2021_08,25
2021_09,18
2021_10,28
2021_11,28
2021_12,25
2021_13,22
2021_14,23
2021_15,20
2021_16,19
2021_17,22
2021_18,26
2021_19,18
2021_20,21
2021_21,23
2021_22,35
2021_23,26
2021_24,29
2021_25,27
2021_26,23
2021_27,29
2021_28,24
2021_29,25
2021_30,32
2021_31,29
2021_32,33
2021_33,27
2021_34,27
2021_35,22
2021_36,35
2021_37,29
2021_38,34
2021_39,43
2021_40,39
2021_41,29
2021_42,33
2021_43,26
2021_44,34
2021_45,28
2021_46,34
2021_47,31
2021_48,28
2021_49,27
2021_50,32
2021_51,26
2021_52,8
2022_00,30
2022_01,29
2022_02,27
2022_03,41
2022_04,30
2022_05,38
2022_06,29
2022_07,38
2022_08,35
2022_09,45
2022_10,37
2022_11,31
2022_12,42
2022_13,30
2022_14,40
2022_15,39
2022_16,29
2022_17,38
2022_18,48
2022_19,51
2022_20,46
2022_21,42
2022_22,47
2022_23,38
2022_24,39
2022_25,40
2022_26,41
2022_27,43
2022_28,34
2022_29,34
2022_30,53
2022_31,38
2022_32,41
2022_33,32
2022_34,47
2022_35,38
2022_36,44
2022_37,40
2022_38,41
2022_39,37
2022_40,30
2022_41,39
2022_42,37
2022_43,45
2022_44,51
2022_45,42
2022_46,49
2022_47,40
2022_48,52
2022_49,50
2022_50,53
2022_51,43
2022_52,15
2023_00,42
2023_01,53
2023_02,50
2023_03,49
2023_04,41
2023_05,57
2023_06,59
2023_07,51
2023_08,54
2023_09,56
2023_10,50
2023_11,59
2023_12,47
2023_13,46
2023_14,37
2023_15,53
2023_16,55
2023_17,53
2023_18,65
2023_19,57
2023_20,64
2023_21,51
2023_22,50
2023_23,62
2023_24,54
2023_25,40
2023_26,51
2023_27,60
2023_28,65
2023_29,56
2023_30,65
2023_31,66
2023_32,67
2023_33,61
2023_34,56
2023_35,74
2023_36,64
2023_37,54
2023_38,55
2023_39,67
2023_40,59
2023_41,63
2023_42,70
2023_43,51
2023_44,58
2023_45,58
2023_46,63
2023_47,54
2023_48,67
2023_49,30
