year_week,count
2019_33,1
2019_36,1
2019_38,1
2019_39,2
2019_40,3
2019_42,1
2019_43,1
2019_44,1
2019_45,2
2019_47,2
2019_49,2
2019_50,3
2019_51,1
2019_52,1
2020_00,3
2020_01,3
2020_02,1
2020_04,3
2020_05,3
2020_06,1
2020_07,2
2020_09,5
2020_10,2
2020_11,7
2020_12,7
2020_13,4
2020_14,2
2020_15,1
2020_16,2
2020_17,3
2020_18,1
2020_19,1
2020_20,4
2020_21,1
2020_22,3
2020_23,2
2020_24,5
2020_25,3
2020_26,6
2020_27,1
2020_28,9
2020_29,2
2020_30,3
2020_31,6
2020_32,2
2020_33,3
2020_34,5
2020_35,2
2020_36,4
2020_37,5
2020_38,3
2020_39,7
2020_40,5
2020_41,5
2020_42,5
2020_43,2
2020_44,6
2020_45,4
2020_46,7
2020_47,9
2020_48,8
2020_49,4
2020_50,4
2020_51,7
2020_52,2
2021_00,4
2021_01,3
2021_02,8
2021_03,7
2021_04,3
2021_05,4
2021_06,10
2021_07,5
2021_08,13
2021_09,5
2021_10,6
2021_11,9
2021_12,6
2021_13,7
2021_14,1
2021_15,10
2021_16,6
2021_17,9
2021_18,8
2021_19,3
2021_20,7
2021_21,7
2021_22,4
2021_23,10
2021_24,11
2021_25,6
2021_26,10
2021_27,10
2021_28,4
2021_29,5
2021_30,5
2021_31,6
2021_32,9
2021_33,8
2021_34,12
2021_35,10
2021_36,8
2021_37,7
2021_38,7
2021_39,4
2021_40,8
2021_41,10
2021_42,6
2021_43,14
2021_44,13
2021_45,7
2021_46,7
2021_47,10
2021_48,6
2021_49,7
2021_50,8
2021_51,9
2021_52,3
2022_00,8
2022_01,9
2022_02,9
2022_03,7
2022_04,4
2022_05,7
2022_06,13
2022_07,9
2022_08,6
2022_09,6
2022_10,14
2022_11,10
2022_12,9
2022_13,9
2022_14,11
2022_15,10
2022_16,10
2022_17,9
2022_18,13
2022_19,9
2022_20,14
2022_21,10
2022_22,14
2022_23,12
2022_24,16
2022_25,10
2022_26,13
2022_27,8
2022_28,8
2022_29,14
2022_30,16
2022_31,5
2022_32,8
2022_33,14
2022_34,7
2022_35,10
2022_36,12
2022_37,11
2022_38,8
2022_39,10
2022_40,9
2022_41,12
2022_42,18
2022_43,17
2022_44,8
2022_45,14
2022_46,14
2022_47,12
2022_48,6
2022_49,11
2022_50,14
2022_51,12
2022_52,3
2023_00,18
2023_01,13
2023_02,10
2023_03,11
2023_04,14
2023_05,10
2023_06,10
2023_07,11
2023_08,13
2023_09,11
2023_10,16
2023_11,12
2023_12,8
2023_13,25
2023_14,20
2023_15,18
2023_16,14
2023_17,15
2023_18,11
2023_19,20
2023_20,15
2023_21,20
2023_22,13
2023_23,14
2023_24,18
2023_25,16
2023_26,14
2023_27,14
2023_28,10
2023_29,20
2023_30,13
2023_31,14
2023_32,20
2023_33,18
2023_34,15
2023_35,17
2023_36,10
2023_37,21
2023_38,18
2023_39,19
2023_40,24
2023_41,19
2023_42,17
2023_43,24
2023_44,11
2023_45,23
2023_46,16
2023_47,21
2023_48,18
2023_49,8
