year_week,count
2019_33,1
2019_36,1
2019_38,1
2019_40,3
2019_49,2
2020_01,2
2020_02,1
2020_03,1
2020_04,1
2020_06,1
2020_09,2
2020_10,1
2020_11,2
2020_12,1
2020_14,4
2020_15,1
2020_16,1
2020_21,1
2020_22,3
2020_23,1
2020_25,1
2020_26,1
2020_27,2
2020_29,1
2020_32,1
2020_34,1
2020_35,2
2020_38,1
2020_39,1
2020_40,1
2020_41,1
2020_42,1
2020_43,2
2020_45,2
2020_46,1
2020_47,3
2020_48,1
2020_49,2
2020_50,2
2021_00,1
2021_01,1
2021_02,2
2021_03,1
2021_04,2
2021_06,3
2021_08,3
2021_09,2
2021_10,4
2021_12,1
2021_13,2
2021_16,1
2021_17,1
2021_18,1
2021_19,1
2021_20,3
2021_21,2
2021_22,1
2021_23,1
2021_24,2
2021_25,2
2021_26,2
2021_27,1
2021_29,1
2021_31,2
2021_32,2
2021_33,1
2021_34,3
2021_35,2
2021_36,1
2021_38,4
2021_39,1
2021_40,1
2021_41,3
2021_42,1
2021_43,3
2021_44,2
2021_45,2
2021_47,6
2021_48,3
2021_49,1
2021_50,1
2021_51,3
2022_00,4
2022_01,3
2022_02,2
2022_03,2
2022_04,3
2022_05,3
2022_06,4
2022_07,3
2022_08,3
2022_09,3
2022_10,3
2022_11,2
2022_12,3
2022_13,4
2022_14,3
2022_15,3
2022_16,2
2022_17,2
2022_18,3
2022_19,3
2022_20,1
2022_23,3
2022_24,2
2022_26,5
2022_27,3
2022_28,2
2022_29,1
2022_30,3
2022_31,4
2022_32,4
2022_33,2
2022_34,4
2022_35,4
2022_36,3
2022_37,5
2022_38,1
2022_39,4
2022_40,2
2022_41,2
2022_43,2
2022_44,4
2022_45,4
2022_46,5
2022_47,1
2022_48,1
2022_49,5
2022_50,1
2022_51,5
2022_52,1
2023_00,4
2023_01,3
2023_02,6
2023_03,5
2023_04,6
2023_05,3
2023_06,3
2023_07,3
2023_08,4
2023_09,7
2023_10,3
2023_11,2
2023_12,5
2023_13,7
2023_14,3
2023_15,2
2023_16,3
2023_17,4
2023_18,5
2023_19,4
2023_20,2
2023_21,4
2023_22,2
2023_23,3
2023_24,4
2023_25,3
2023_26,3
2023_27,6
2023_28,5
2023_29,10
2023_30,8
2023_31,3
2023_32,3
2023_33,6
2023_34,6
2023_35,6
2023_36,5
2023_37,4
2023_38,6
2023_39,7
2023_40,2
2023_41,3
2023_42,7
2023_43,3
2023_44,5
2023_45,3
2023_46,4
2023_47,1
2023_48,4
2023_49,2
