year_week,count
2019_40,1
2019_45,1
2019_47,1
2019_51,1
2020_00,1
2020_03,3
2020_04,1
2020_05,3
2020_10,1
2020_11,1
2020_12,1
2020_13,2
2020_14,1
2020_15,1
2020_16,3
2020_22,3
2020_23,1
2020_24,1
2020_25,2
2020_26,2
2020_28,3
2020_29,2
2020_30,3
2020_33,1
2020_34,1
2020_35,2
2020_36,1
2020_37,2
2020_38,3
2020_39,1
2020_40,2
2020_41,1
2020_43,2
2020_44,1
2020_45,1
2020_47,1
2020_48,1
2020_49,1
2020_50,1
2020_51,2
2020_52,1
2021_00,2
2021_02,2
2021_03,1
2021_04,5
2021_05,2
2021_06,2
2021_09,2
2021_10,1
2021_13,1
2021_14,3
2021_15,1
2021_16,1
2021_17,1
2021_18,3
2021_19,1
2021_21,2
2021_22,3
2021_24,3
2021_25,2
2021_26,3
2021_28,1
2021_29,3
2021_30,6
2021_31,4
2021_32,1
2021_34,1
2021_35,2
2021_36,4
2021_38,2
2021_39,2
2021_41,3
2021_43,4
2021_44,1
2021_45,5
2021_46,3
2021_47,2
2021_48,2
2021_49,2
2021_50,3
2021_51,1
2022_01,2
2022_02,3
2022_03,4
2022_04,2
2022_05,3
2022_07,3
2022_08,1
2022_09,2
2022_10,1
2022_12,2
2022_13,7
2022_14,3
2022_15,1
2022_16,5
2022_17,3
2022_18,4
2022_20,6
2022_21,8
2022_22,5
2022_23,1
2022_24,9
2022_25,6
2022_26,1
2022_27,8
2022_29,3
2022_30,5
2022_31,1
2022_32,1
2022_33,5
2022_34,1
2022_35,4
2022_36,1
2022_37,5
2022_38,3
2022_39,3
2022_40,3
2022_41,1
2022_42,5
2022_43,1
2022_44,4
2022_45,4
2022_46,4
2022_47,4
2022_48,3
2022_49,5
2022_50,4
2022_51,6
2023_00,1
2023_01,2
2023_02,2
2023_03,3
2023_04,1
2023_05,3
2023_06,6
2023_07,3
2023_08,3
2023_09,2
2023_10,1
2023_11,3
2023_12,5
2023_13,6
2023_14,3
2023_15,2
2023_17,3
2023_18,4
2023_19,3
2023_20,7
2023_21,1
2023_22,2
2023_23,4
2023_24,1
2023_25,6
2023_26,3
2023_27,4
2023_28,2
2023_29,7
2023_30,3
2023_31,4
2023_32,9
2023_33,3
2023_34,5
2023_35,3
2023_36,4
2023_37,5
2023_38,3
2023_39,4
2023_40,1
2023_41,6
2023_42,4
2023_43,2
2023_44,6
2023_45,6
2023_46,5
2023_47,6
2023_48,2
2023_49,2
