year_week,count
2019_30,2
2019_31,3
2019_32,1
2019_33,1
2019_34,3
2019_35,2
2019_36,3
2019_37,2
2019_38,3
2019_39,4
2019_40,3
2019_41,5
2019_42,4
2019_43,5
2019_44,6
2019_45,4
2019_46,4
2019_47,6
2019_48,6
2019_49,7
2019_50,8
2019_51,10
2019_52,4
2020_00,5
2020_01,10
2020_02,7
2020_03,6
2020_04,6
2020_05,10
2020_06,6
2020_07,8
2020_08,18
2020_09,19
2020_10,9
2020_11,12
2020_12,17
2020_13,12
2020_14,13
2020_15,19
2020_16,10
2020_17,16
2020_18,13
2020_19,8
2020_20,21
2020_21,13
2020_22,17
2020_23,14
2020_24,15
2020_25,17
2020_26,16
2020_27,9
2020_28,15
2020_29,20
2020_30,18
2020_31,12
2020_32,18
2020_33,22
2020_34,17
2020_35,18
2020_36,24
2020_37,15
2020_38,17
2020_39,15
2020_40,12
2020_41,14
2020_42,11
2020_43,19
2020_44,13
2020_45,14
2020_46,22
2020_47,17
2020_48,23
2020_49,19
2020_50,16
2020_51,39
2020_52,6
2021_00,20
2021_01,30
2021_02,13
2021_03,23
2021_04,27
2021_05,26
2021_06,22
2021_07,18
2021_08,21
2021_09,23
2021_10,23
2021_11,24
2021_12,34
2021_13,28
2021_14,26
2021_15,28
2021_16,14
2021_17,40
2021_18,31
2021_19,30
2021_20,35
2021_21,29
2021_22,31
2021_23,26
2021_24,36
2021_25,25
2021_26,23
2021_27,28
2021_28,33
2021_29,29
2021_30,32
2021_31,41
2021_32,32
2021_33,34
2021_34,37
2021_35,41
2021_36,34
2021_37,35
2021_38,27
2021_39,39
2021_40,27
2021_41,30
2021_42,24
2021_43,32
2021_44,32
2021_45,32
2021_46,47
2021_47,34
2021_48,38
2021_49,36
2021_50,48
2021_51,47
2021_52,8
2022_00,37
2022_01,41
2022_02,35
2022_03,41
2022_04,36
2022_05,36
2022_06,41
2022_07,37
2022_08,47
2022_09,48
2022_10,38
2022_11,45
2022_12,32
2022_13,43
2022_14,37
2022_15,46
2022_16,52
2022_17,39
2022_18,35
2022_19,47
2022_20,49
2022_21,55
2022_22,44
2022_23,50
2022_24,48
2022_25,60
2022_26,45
2022_27,47
2022_28,41
2022_29,48
2022_30,52
2022_31,69
2022_32,49
2022_33,50
2022_34,58
2022_35,47
2022_36,48
2022_37,59
2022_38,43
2022_39,60
2022_40,50
2022_41,47
2022_42,44
2022_43,53
2022_44,55
2022_45,49
2022_46,49
2022_47,57
2022_48,50
2022_49,47
2022_50,53
2022_51,45
2022_52,14
2023_00,45
2023_01,67
2023_02,54
2023_03,57
2023_04,63
2023_05,53
2023_06,55
2023_07,64
2023_08,62
2023_09,61
2023_10,57
2023_11,53
2023_12,66
2023_13,41
2023_14,81
2023_15,63
2023_16,68
2023_17,63
2023_18,53
2023_19,76
2023_20,61
2023_21,59
2023_22,67
2023_23,79
2023_24,83
2023_25,74
2023_26,52
2023_27,59
2023_28,51
2023_29,76
2023_30,77
2023_31,64
2023_32,69
2023_33,62
2023_34,68
2023_35,70
2023_36,68
2023_37,71
2023_38,85
2023_39,68
2023_40,63
2023_41,78
2023_42,72
2023_43,84
2023_44,78
2023_45,72
2023_46,66
2023_47,75
2023_48,67
2023_49,28
