year_week,count
2019_29,1
2019_30,3
2019_31,1
2019_32,3
2019_33,4
2019_34,6
2019_35,5
2019_36,10
2019_37,9
2019_38,9
2019_39,13
2019_40,14
2019_41,7
2019_42,17
2019_43,16
2019_44,12
2019_45,19
2019_46,13
2019_47,28
2019_48,27
2019_49,24
2019_50,26
2019_51,19
2019_52,7
2020_00,17
2020_01,32
2020_02,19
2020_03,25
2020_04,36
2020_05,31
2020_06,29
2020_07,40
2020_08,38
2020_09,22
2020_10,36
2020_11,40
2020_12,34
2020_13,35
2020_14,31
2020_15,41
2020_16,34
2020_17,47
2020_18,27
2020_19,42
2020_20,48
2020_21,55
2020_22,45
2020_23,43
2020_24,48
2020_25,48
2020_26,50
2020_27,58
2020_28,43
2020_29,53
2020_30,40
2020_31,43
2020_32,54
2020_33,41
2020_34,53
2020_35,67
2020_36,43
2020_37,54
2020_38,55
2020_39,52
2020_40,48
2020_41,38
2020_42,64
2020_43,58
2020_44,68
2020_45,82
2020_46,68
2020_47,70
2020_48,49
2020_49,67
2020_50,64
2020_51,77
2020_52,23
2021_00,68
2021_01,68
2021_02,75
2021_03,70
2021_04,77
2021_05,66
2021_06,64
2021_07,72
2021_08,93
2021_09,80
2021_10,74
2021_11,89
2021_12,73
2021_13,77
2021_14,79
2021_15,90
2021_16,84
2021_17,88
2021_18,97
2021_19,84
2021_20,75
2021_21,80
2021_22,86
2021_23,66
2021_24,98
2021_25,99
2021_26,99
2021_27,95
2021_28,87
2021_29,98
2021_30,101
2021_31,81
2021_32,92
2021_33,100
2021_34,90
2021_35,102
2021_36,97
2021_37,94
2021_38,109
2021_39,85
2021_40,97
2021_41,103
2021_42,118
2021_43,121
2021_44,116
2021_45,122
2021_46,128
2021_47,130
2021_48,115
2021_49,128
2021_50,96
2021_51,122
2021_52,39
2022_00,116
2022_01,106
2022_02,133
2022_03,116
2022_04,130
2022_05,115
2022_06,140
2022_07,137
2022_08,117
2022_09,126
2022_10,131
2022_11,136
2022_12,148
2022_13,118
2022_14,126
2022_15,122
2022_16,145
2022_17,129
2022_18,136
2022_19,114
2022_20,163
2022_21,151
2022_22,151
2022_23,159
2022_24,174
2022_25,139
2022_26,163
2022_27,166
2022_28,150
2022_29,181
2022_30,161
2022_31,167
2022_32,154
2022_33,151
2022_34,152
2022_35,160
2022_36,147
2022_37,169
2022_38,144
2022_39,151
2022_40,201
2022_41,175
2022_42,157
2022_43,174
2022_44,195
2022_45,172
2022_46,201
2022_47,183
2022_48,191
2022_49,169
2022_50,188
2022_51,178
2022_52,68
2023_00,146
2023_01,191
2023_02,199
2023_03,209
2023_04,220
2023_05,185
2023_06,175
2023_07,209
2023_08,202
2023_09,189
2023_10,195
2023_11,194
2023_12,201
2023_13,199
2023_14,201
2023_15,214
2023_16,190
2023_17,183
2023_18,172
2023_19,221
2023_20,212
2023_21,201
2023_22,214
2023_23,188
2023_24,213
2023_25,214
2023_26,188
2023_27,215
2023_28,191
2023_29,240
2023_30,196
2023_31,226
2023_32,198
2023_33,217
2023_34,183
2023_35,195
2023_36,224
2023_37,218
2023_38,218
2023_39,180
2023_40,214
2023_41,190
2023_42,215
2023_43,213
2023_44,238
2023_45,218
2023_46,205
2023_47,217
2023_48,228
2023_49,83
