year_week,count
2019_30,2
2019_34,1
2019_35,1
2019_36,2
2019_37,2
2019_38,7
2019_39,3
2019_40,2
2019_41,5
2019_42,6
2019_44,4
2019_45,4
2019_46,3
2019_47,7
2019_48,9
2019_49,6
2019_50,6
2019_51,4
2019_52,3
2020_00,3
2020_01,5
2020_02,5
2020_03,11
2020_04,11
2020_05,12
2020_06,7
2020_07,13
2020_08,9
2020_09,5
2020_10,6
2020_11,10
2020_12,10
2020_13,13
2020_14,14
2020_15,8
2020_16,10
2020_17,15
2020_18,13
2020_19,15
2020_20,9
2020_21,13
2020_22,10
2020_23,14
2020_24,13
2020_25,18
2020_26,10
2020_27,15
2020_28,17
2020_29,11
2020_30,13
2020_31,13
2020_32,12
2020_33,20
2020_34,13
2020_35,18
2020_36,12
2020_37,19
2020_38,17
2020_39,16
2020_40,12
2020_41,18
2020_42,18
2020_43,18
2020_44,20
2020_45,17
2020_46,13
2020_47,18
2020_48,19
2020_49,17
2020_50,19
2020_51,15
2020_52,7
2021_00,15
2021_01,10
2021_02,20
2021_03,14
2021_04,25
2021_05,16
2021_06,20
2021_07,23
2021_08,21
2021_09,24
2021_10,34
2021_11,25
2021_12,21
2021_13,19
2021_14,28
2021_15,19
2021_16,22
2021_17,24
2021_18,26
2021_19,15
2021_20,30
2021_21,28
2021_22,20
2021_23,24
2021_24,16
2021_25,23
2021_26,39
2021_27,29
2021_28,24
2021_29,38
2021_30,21
2021_31,32
2021_32,25
2021_33,37
2021_34,30
2021_35,35
2021_36,30
2021_37,37
2021_38,32
2021_39,39
2021_40,26
2021_41,35
2021_42,26
2021_43,36
2021_44,35
2021_45,37
2021_46,36
2021_47,40
2021_48,29
2021_49,34
2021_50,37
2021_51,36
2021_52,9
2022_00,24
2022_01,35
2022_02,30
2022_03,35
2022_04,31
2022_05,31
2022_06,27
2022_07,38
2022_08,36
2022_09,33
2022_10,33
2022_11,45
2022_12,32
2022_13,32
2022_14,32
2022_15,45
2022_16,32
2022_17,41
2022_18,46
2022_19,42
2022_20,34
2022_21,36
2022_22,47
2022_23,45
2022_24,44
2022_25,30
2022_26,40
2022_27,41
2022_28,33
2022_29,47
2022_30,43
2022_31,33
2022_32,34
2022_33,40
2022_34,49
2022_35,38
2022_36,41
2022_37,44
2022_38,34
2022_39,40
2022_40,33
2022_41,46
2022_42,52
2022_43,48
2022_44,57
2022_45,43
2022_46,39
2022_47,51
2022_48,40
2022_49,47
2022_50,53
2022_51,51
2022_52,21
2023_00,36
2023_01,43
2023_02,36
2023_03,51
2023_04,55
2023_05,66
2023_06,54
2023_07,63
2023_08,47
2023_09,35
2023_10,62
2023_11,54
2023_12,54
2023_13,54
2023_14,47
2023_15,61
2023_16,66
2023_17,50
2023_18,43
2023_19,51
2023_20,46
2023_21,63
2023_22,56
2023_23,45
2023_24,72
2023_25,50
2023_26,66
2023_27,56
2023_28,52
2023_29,55
2023_30,57
2023_31,53
2023_32,60
2023_33,62
2023_34,47
2023_35,35
2023_36,63
2023_37,72
2023_38,67
2023_39,62
2023_40,64
2023_41,55
2023_42,73
2023_43,63
2023_44,66
2023_45,53
2023_46,70
2023_47,70
2023_48,65
2023_49,29
