year_week,count
2019_31,2
2019_36,1
2019_38,1
2019_39,1
2019_40,1
2019_41,1
2019_43,2
2019_45,2
2019_46,3
2019_48,2
2019_50,2
2019_51,2
2019_52,2
2020_00,1
2020_01,4
2020_03,3
2020_04,1
2020_06,4
2020_07,2
2020_08,2
2020_09,1
2020_10,2
2020_11,1
2020_12,3
2020_14,1
2020_15,2
2020_16,1
2020_17,3
2020_19,5
2020_20,1
2020_21,5
2020_22,4
2020_23,3
2020_24,1
2020_25,2
2020_26,1
2020_28,6
2020_29,5
2020_30,8
2020_31,3
2020_32,4
2020_33,3
2020_34,2
2020_35,3
2020_36,2
2020_37,3
2020_38,4
2020_39,2
2020_40,5
2020_41,4
2020_42,3
2020_43,3
2020_44,4
2020_45,3
2020_46,2
2020_47,4
2020_48,3
2020_49,8
2020_50,1
2020_51,5
2021_00,5
2021_01,7
2021_02,5
2021_03,1
2021_04,3
2021_06,2
2021_07,10
2021_08,6
2021_09,2
2021_10,4
2021_11,4
2021_12,7
2021_13,2
2021_14,6
2021_15,3
2021_16,5
2021_17,5
2021_18,6
2021_19,6
2021_20,8
2021_21,5
2021_22,1
2021_23,3
2021_24,8
2021_25,5
2021_26,4
2021_27,3
2021_28,6
2021_29,10
2021_30,7
2021_31,4
2021_32,6
2021_33,6
2021_34,6
2021_35,6
2021_36,7
2021_37,10
2021_38,4
2021_39,4
2021_40,9
2021_41,5
2021_42,2
2021_43,5
2021_44,11
2021_45,9
2021_46,4
2021_47,11
2021_48,6
2021_49,5
2021_50,5
2021_51,5
2022_00,3
2022_01,7
2022_02,2
2022_03,6
2022_04,6
2022_05,8
2022_06,8
2022_07,9
2022_08,5
2022_09,9
2022_10,5
2022_11,4
2022_12,7
2022_13,4
2022_14,6
2022_15,11
2022_16,7
2022_17,5
2022_18,12
2022_19,5
2022_20,8
2022_21,3
2022_22,8
2022_23,10
2022_24,8
2022_25,9
2022_26,10
2022_27,9
2022_28,16
2022_29,15
2022_30,10
2022_31,8
2022_32,8
2022_33,4
2022_34,9
2022_35,7
2022_36,6
2022_37,5
2022_38,9
2022_39,5
2022_40,10
2022_41,7
2022_42,6
2022_43,7
2022_44,7
2022_45,10
2022_46,10
2022_47,12
2022_48,8
2022_49,11
2022_50,10
2022_51,16
2022_52,1
2023_00,8
2023_01,10
2023_02,10
2023_03,10
2023_04,10
2023_05,7
2023_06,11
2023_07,13
2023_08,5
2023_09,12
2023_10,10
2023_11,10
2023_12,9
2023_13,8
2023_14,12
2023_15,14
2023_16,14
2023_17,13
2023_18,12
2023_19,11
2023_20,9
2023_21,10
2023_22,8
2023_23,10
2023_24,13
2023_25,17
2023_26,16
2023_27,10
2023_28,16
2023_29,22
2023_30,7
2023_31,14
2023_32,15
2023_33,13
2023_34,11
2023_35,13
2023_36,12
2023_37,14
2023_38,14
2023_39,14
2023_40,14
2023_41,12
2023_42,16
2023_43,15
2023_44,12
2023_45,11
2023_46,11
2023_47,12
2023_48,14
2023_49,8
