year_week,count
2019_40,1
2019_41,1
2019_42,1
2019_43,1
2019_44,2
2019_45,1
2019_47,1
2019_49,2
2019_50,1
2019_51,1
2020_00,1
2020_03,4
2020_04,1
2020_07,1
2020_08,2
2020_09,1
2020_10,1
2020_12,1
2020_13,3
2020_14,5
2020_15,1
2020_16,1
2020_17,2
2020_18,3
2020_19,1
2020_21,2
2020_23,2
2020_24,1
2020_26,1
2020_27,3
2020_29,2
2020_30,4
2020_31,2
2020_32,1
2020_33,3
2020_34,3
2020_35,3
2020_36,1
2020_37,3
2020_39,2
2020_40,1
2020_41,1
2020_42,3
2020_43,2
2020_44,4
2020_45,1
2020_47,5
2020_48,4
2020_49,4
2020_50,2
2020_51,2
2020_52,1
2021_00,3
2021_01,6
2021_02,1
2021_03,3
2021_04,2
2021_05,5
2021_06,1
2021_07,1
2021_08,3
2021_09,3
2021_10,4
2021_11,2
2021_12,6
2021_13,3
2021_14,3
2021_15,4
2021_16,3
2021_17,7
2021_18,2
2021_19,3
2021_21,3
2021_22,3
2021_23,2
2021_24,8
2021_25,2
2021_26,2
2021_27,3
2021_28,4
2021_29,3
2021_30,5
2021_31,5
2021_32,5
2021_33,4
2021_34,6
2021_35,1
2021_36,7
2021_37,6
2021_38,7
2021_39,3
2021_40,2
2021_41,9
2021_42,4
2021_43,4
2021_44,5
2021_45,8
2021_46,9
2021_47,6
2021_48,3
2021_49,6
2021_50,2
2021_51,2
2021_52,3
2022_00,4
2022_01,5
2022_02,2
2022_03,6
2022_04,1
2022_05,6
2022_06,5
2022_07,6
2022_08,10
2022_09,3
2022_10,8
2022_11,5
2022_12,4
2022_13,2
2022_14,6
2022_15,3
2022_16,3
2022_17,6
2022_18,4
2022_19,4
2022_20,7
2022_21,2
2022_22,5
2022_23,7
2022_24,5
2022_25,2
2022_26,6
2022_27,8
2022_28,5
2022_29,6
2022_30,9
2022_31,2
2022_32,4
2022_33,5
2022_34,7
2022_35,4
2022_36,3
2022_37,8
2022_38,5
2022_39,6
2022_40,7
2022_41,4
2022_42,6
2022_43,7
2022_44,5
2022_45,7
2022_46,6
2022_47,4
2022_48,10
2022_49,4
2022_50,2
2022_51,6
2022_52,2
2023_00,4
2023_01,6
2023_02,6
2023_03,3
2023_04,2
2023_05,6
2023_06,7
2023_07,9
2023_08,5
2023_09,3
2023_10,7
2023_11,8
2023_12,8
2023_13,7
2023_14,10
2023_15,7
2023_16,7
2023_17,5
2023_18,7
2023_19,9
2023_20,6
2023_21,10
2023_22,6
2023_23,12
2023_24,9
2023_25,8
2023_26,7
2023_27,5
2023_28,4
2023_29,7
2023_30,3
2023_31,5
2023_32,7
2023_33,9
2023_34,8
2023_35,3
2023_36,9
2023_37,8
2023_38,9
2023_39,9
2023_40,5
2023_41,9
2023_42,5
2023_43,10
2023_44,2
2023_45,6
2023_46,12
2023_47,9
2023_48,7
2023_49,2
