year_week,count
2019_29,1
2019_32,1
2019_33,2
2019_34,2
2019_37,4
2019_38,5
2019_39,5
2019_40,3
2019_41,11
2019_42,10
2019_43,8
2019_44,8
2019_45,11
2019_46,8
2019_47,11
2019_48,14
2019_49,16
2019_50,10
2019_51,10
2019_52,6
2020_00,11
2020_01,15
2020_02,17
2020_03,10
2020_04,15
2020_05,19
2020_06,22
2020_07,20
2020_08,21
2020_09,19
2020_10,29
2020_11,16
2020_12,14
2020_13,29
2020_14,30
2020_15,18
2020_16,25
2020_17,26
2020_18,25
2020_19,19
2020_20,22
2020_21,27
2020_22,31
2020_23,24
2020_24,25
2020_25,21
2020_26,39
2020_27,22
2020_28,18
2020_29,17
2020_30,26
2020_31,34
2020_32,28
2020_33,29
2020_34,33
2020_35,26
2020_36,36
2020_37,45
2020_38,43
2020_39,42
2020_40,34
2020_41,40
2020_42,34
2020_43,31
2020_44,38
2020_45,36
2020_46,34
2020_47,39
2020_48,40
2020_49,38
2020_50,35
2020_51,39
2020_52,9
2021_00,43
2021_01,54
2021_02,34
2021_03,54
2021_04,47
2021_05,37
2021_06,42
2021_07,52
2021_08,49
2021_09,45
2021_10,60
2021_11,39
2021_12,43
2021_13,48
2021_14,43
2021_15,44
2021_16,52
2021_17,51
2021_18,50
2021_19,50
2021_20,43
2021_21,64
2021_22,55
2021_23,44
2021_24,52
2021_25,54
2021_26,59
2021_27,60
2021_28,58
2021_29,53
2021_30,50
2021_31,53
2021_32,54
2021_33,66
2021_34,54
2021_35,64
2021_36,62
2021_37,51
2021_38,63
2021_39,54
2021_40,70
2021_41,64
2021_42,80
2021_43,64
2021_44,74
2021_45,70
2021_46,67
2021_47,63
2021_48,61
2021_49,68
2021_50,64
2021_51,79
2021_52,15
2022_00,60
2022_01,67
2022_02,64
2022_03,58
2022_04,74
2022_05,55
2022_06,67
2022_07,65
2022_08,71
2022_09,68
2022_10,74
2022_11,89
2022_12,64
2022_13,72
2022_14,76
2022_15,57
2022_16,75
2022_17,67
2022_18,69
2022_19,83
2022_20,88
2022_21,72
2022_22,78
2022_23,77
2022_24,61
2022_25,90
2022_26,71
2022_27,101
2022_28,71
2022_29,73
2022_30,79
2022_31,93
2022_32,64
2022_33,88
2022_34,69
2022_35,93
2022_36,93
2022_37,72
2022_38,84
2022_39,89
2022_40,84
2022_41,87
2022_42,89
2022_43,84
2022_44,103
2022_45,94
2022_46,80
2022_47,110
2022_48,105
2022_49,121
2022_50,86
2022_51,98
2022_52,32
2023_00,75
2023_01,107
2023_02,106
2023_03,111
2023_04,98
2023_05,100
2023_06,90
2023_07,113
2023_08,116
2023_09,90
2023_10,110
2023_11,114
2023_12,116
2023_13,95
2023_14,93
2023_15,97
2023_16,98
2023_17,116
2023_18,100
2023_19,94
2023_20,100
2023_21,115
2023_22,98
2023_23,118
2023_24,105
2023_25,124
2023_26,118
2023_27,93
2023_28,123
2023_29,104
2023_30,118
2023_31,105
2023_32,105
2023_33,122
2023_34,104
2023_35,120
2023_36,102
2023_37,135
2023_38,124
2023_39,122
2023_40,135
2023_41,118
2023_42,127
2023_43,124
2023_44,121
2023_45,132
2023_46,122
2023_47,138
2023_48,113
2023_49,62
