year_week,count
2019_28,1
2019_29,1
2019_30,1
2019_31,1
2019_33,2
2019_34,4
2019_35,2
2019_36,4
2019_37,9
2019_38,4
2019_39,7
2019_40,11
2019_41,10
2019_42,7
2019_43,6
2019_44,9
2019_45,11
2019_46,8
2019_47,14
2019_48,16
2019_49,14
2019_50,9
2019_51,17
2019_52,4
2020_00,7
2020_01,19
2020_02,18
2020_03,17
2020_04,19
2020_05,18
2020_06,19
2020_07,11
2020_08,25
2020_09,35
2020_10,20
2020_11,32
2020_12,39
2020_13,23
2020_14,30
2020_15,24
2020_16,32
2020_17,25
2020_18,21
2020_19,34
2020_20,26
2020_21,24
2020_22,23
2020_23,22
2020_24,32
2020_25,28
2020_26,30
2020_27,31
2020_28,38
2020_29,26
2020_30,27
2020_31,22
2020_32,37
2020_33,45
2020_34,26
2020_35,37
2020_36,31
2020_37,40
2020_38,40
2020_39,37
2020_40,47
2020_41,39
2020_42,38
2020_43,47
2020_44,41
2020_45,56
2020_46,49
2020_47,34
2020_48,59
2020_49,54
2020_50,49
2020_51,38
2020_52,20
2021_00,45
2021_01,39
2021_02,50
2021_03,41
2021_04,50
2021_05,54
2021_06,58
2021_07,49
2021_08,58
2021_09,52
2021_10,55
2021_11,51
2021_12,63
2021_13,56
2021_14,74
2021_15,53
2021_16,69
2021_17,51
2021_18,59
2021_19,51
2021_20,68
2021_21,51
2021_22,58
2021_23,61
2021_24,58
2021_25,61
2021_26,69
2021_27,58
2021_28,66
2021_29,68
2021_30,65
2021_31,42
2021_32,57
2021_33,72
2021_34,70
2021_35,68
2021_36,86
2021_37,60
2021_38,54
2021_39,60
2021_40,80
2021_41,72
2021_42,79
2021_43,70
2021_44,78
2021_45,63
2021_46,69
2021_47,95
2021_48,74
2021_49,84
2021_50,81
2021_51,85
2021_52,14
2022_00,78
2022_01,93
2022_02,96
2022_03,93
2022_04,83
2022_05,74
2022_06,75
2022_07,96
2022_08,73
2022_09,81
2022_10,80
2022_11,101
2022_12,90
2022_13,67
2022_14,86
2022_15,74
2022_16,84
2022_17,77
2022_18,86
2022_19,82
2022_20,99
2022_21,101
2022_22,88
2022_23,64
2022_24,106
2022_25,91
2022_26,108
2022_27,83
2022_28,77
2022_29,91
2022_30,99
2022_31,72
2022_32,83
2022_33,100
2022_34,92
2022_35,101
2022_36,91
2022_37,116
2022_38,103
2022_39,92
2022_40,112
2022_41,96
2022_42,110
2022_43,96
2022_44,103
2022_45,112
2022_46,72
2022_47,115
2022_48,118
2022_49,128
2022_50,133
2022_51,113
2022_52,39
2023_00,75
2023_01,101
2023_02,122
2023_03,119
2023_04,127
2023_05,109
2023_06,138
2023_07,125
2023_08,101
2023_09,110
2023_10,129
2023_11,112
2023_12,115
2023_13,111
2023_14,127
2023_15,134
2023_16,128
2023_17,116
2023_18,117
2023_19,132
2023_20,149
2023_21,132
2023_22,115
2023_23,127
2023_24,127
2023_25,126
2023_26,151
2023_27,150
2023_28,162
2023_29,133
2023_30,154
2023_31,121
2023_32,122
2023_33,132
2023_34,137
2023_35,121
2023_36,160
2023_37,163
2023_38,135
2023_39,125
2023_40,156
2023_41,143
2023_42,158
2023_43,132
2023_44,152
2023_45,164
2023_46,137
2023_47,170
2023_48,158
2023_49,58
