year_week,count
2019_31,1
2019_32,4
2019_33,1
2019_34,3
2019_38,2
2019_39,7
2019_40,1
2019_41,7
2019_42,2
2019_43,5
2019_44,6
2019_45,9
2019_46,5
2019_47,4
2019_48,12
2019_49,8
2019_50,2
2019_51,5
2019_52,1
2020_00,5
2020_01,5
2020_02,7
2020_03,9
2020_04,6
2020_05,6
2020_06,4
2020_07,5
2020_08,7
2020_09,5
2020_10,5
2020_11,5
2020_12,10
2020_13,12
2020_14,16
2020_15,9
2020_16,9
2020_17,10
2020_18,4
2020_19,3
2020_20,15
2020_21,9
2020_22,12
2020_23,15
2020_24,3
2020_25,7
2020_26,14
2020_27,14
2020_28,14
2020_29,14
2020_30,10
2020_31,10
2020_32,14
2020_33,13
2020_34,7
2020_35,11
2020_36,15
2020_37,14
2020_38,9
2020_39,15
2020_40,17
2020_41,13
2020_42,19
2020_43,7
2020_44,14
2020_45,21
2020_46,16
2020_47,21
2020_48,32
2020_49,19
2020_50,16
2020_51,23
2020_52,3
2021_00,16
2021_01,13
2021_02,12
2021_03,16
2021_04,20
2021_05,10
2021_06,16
2021_07,17
2021_08,19
2021_09,27
2021_10,21
2021_11,21
2021_12,21
2021_13,18
2021_14,19
2021_15,19
2021_16,29
2021_17,31
2021_18,18
2021_19,23
2021_20,21
2021_21,21
2021_22,30
2021_23,21
2021_24,25
2021_25,21
2021_26,22
2021_27,19
2021_28,28
2021_29,22
2021_30,26
2021_31,24
2021_32,24
2021_33,22
2021_34,22
2021_35,26
2021_36,32
2021_37,28
2021_38,29
2021_39,22
2021_40,29
2021_41,26
2021_42,21
2021_43,30
2021_44,31
2021_45,31
2021_46,29
2021_47,31
2021_48,23
2021_49,34
2021_50,26
2021_51,27
2021_52,9
2022_00,28
2022_01,38
2022_02,34
2022_03,31
2022_04,41
2022_05,25
2022_06,38
2022_07,34
2022_08,31
2022_09,25
2022_10,28
2022_11,22
2022_12,39
2022_13,47
2022_14,35
2022_15,25
2022_16,35
2022_17,44
2022_18,49
2022_19,40
2022_20,44
2022_21,38
2022_22,39
2022_23,30
2022_24,49
2022_25,34
2022_26,35
2022_27,32
2022_28,40
2022_29,43
2022_30,38
2022_31,44
2022_32,52
2022_33,45
2022_34,38
2022_35,43
2022_36,30
2022_37,49
2022_38,31
2022_39,41
2022_40,43
2022_41,41
2022_42,37
2022_43,38
2022_44,41
2022_45,42
2022_46,46
2022_47,38
2022_48,48
2022_49,43
2022_50,44
2022_51,51
2022_52,15
2023_00,27
2023_01,44
2023_02,39
2023_03,43
2023_04,48
2023_05,48
2023_06,56
2023_07,40
2023_08,55
2023_09,40
2023_10,55
2023_11,51
2023_12,45
2023_13,44
2023_14,40
2023_15,45
2023_16,40
2023_17,55
2023_18,49
2023_19,42
2023_20,49
2023_21,43
2023_22,42
2023_23,48
2023_24,41
2023_25,56
2023_26,62
2023_27,44
2023_28,50
2023_29,52
2023_30,69
2023_31,63
2023_32,34
2023_33,45
2023_34,59
2023_35,58
2023_36,52
2023_37,55
2023_38,45
2023_39,62
2023_40,58
2023_41,58
2023_42,55
2023_43,58
2023_44,47
2023_45,55
2023_46,58
2023_47,61
2023_48,61
2023_49,20
