year_week,count
2019_28,1
2019_30,2
2019_31,1
2019_33,2
2019_34,3
2019_35,2
2019_36,2
2019_37,1
2019_38,4
2019_39,2
2019_40,2
2019_41,5
2019_42,2
2019_43,3
2019_44,4
2019_45,7
2019_46,5
2019_47,10
2019_48,10
2019_49,2
2019_50,4
2019_51,4
2019_52,1
2020_00,5
2020_01,12
2020_02,10
2020_03,9
2020_04,8
2020_05,7
2020_06,8
2020_07,7
2020_08,11
2020_09,8
2020_10,8
2020_11,8
2020_12,11
2020_13,9
2020_14,8
2020_15,9
2020_16,14
2020_17,9
2020_18,8
2020_19,8
2020_20,11
2020_21,18
2020_22,10
2020_23,10
2020_24,11
2020_25,9
2020_26,10
2020_27,12
2020_28,11
2020_29,10
2020_30,15
2020_31,17
2020_32,16
2020_33,10
2020_34,12
2020_35,13
2020_36,14
2020_37,13
2020_38,17
2020_39,14
2020_40,20
2020_41,10
2020_42,18
2020_43,13
2020_44,19
2020_45,14
2020_46,13
2020_47,22
2020_48,27
2020_49,15
2020_50,11
2020_51,24
2020_52,5
2021_00,25
2021_01,26
2021_02,15
2021_03,14
2021_04,28
2021_05,17
2021_06,20
2021_07,26
2021_08,10
2021_09,18
2021_10,14
2021_11,26
2021_12,18
2021_13,13
2021_14,20
2021_15,26
2021_16,23
2021_17,24
2021_18,26
2021_19,18
2021_20,26
2021_21,25
2021_22,23
2021_23,24
2021_24,18
2021_25,32
2021_26,32
2021_27,27
2021_28,22
2021_29,30
2021_30,28
2021_31,25
2021_32,33
2021_33,25
2021_34,32
2021_35,25
2021_36,24
2021_37,24
2021_38,23
2021_39,29
2021_40,34
2021_41,33
2021_42,27
2021_43,32
2021_44,33
2021_45,22
2021_46,45
2021_47,34
2021_48,24
2021_49,24
2021_50,32
2021_51,35
2021_52,9
2022_00,33
2022_01,35
2022_02,35
2022_03,28
2022_04,41
2022_05,32
2022_06,33
2022_07,41
2022_08,42
2022_09,39
2022_10,42
2022_11,34
2022_12,39
2022_13,34
2022_14,41
2022_15,41
2022_16,35
2022_17,44
2022_18,37
2022_19,37
2022_20,42
2022_21,33
2022_22,36
2022_23,38
2022_24,40
2022_25,35
2022_26,35
2022_27,46
2022_28,36
2022_29,50
2022_30,42
2022_31,58
2022_32,35
2022_33,37
2022_34,37
2022_35,41
2022_36,35
2022_37,40
2022_38,57
2022_39,38
2022_40,35
2022_41,29
2022_42,41
2022_43,45
2022_44,34
2022_45,46
2022_46,38
2022_47,50
2022_48,40
2022_49,52
2022_50,37
2022_51,45
2022_52,8
2023_00,41
2023_01,44
2023_02,43
2023_03,44
2023_04,48
2023_05,47
2023_06,45
2023_07,70
2023_08,56
2023_09,41
2023_10,57
2023_11,45
2023_12,45
2023_13,55
2023_14,45
2023_15,57
2023_16,48
2023_17,62
2023_18,63
2023_19,58
2023_20,33
2023_21,50
2023_22,55
2023_23,54
2023_24,64
2023_25,55
2023_26,60
2023_27,52
2023_28,70
2023_29,52
2023_30,59
2023_31,52
2023_32,42
2023_33,58
2023_34,65
2023_35,48
2023_36,64
2023_37,54
2023_38,66
2023_39,53
2023_40,58
2023_41,61
2023_42,71
2023_43,59
2023_44,61
2023_45,47
2023_46,47
2023_47,60
2023_48,61
2023_49,27
