year_week,count
2019_29,1
2019_31,1
2019_32,1
2019_34,4
2019_35,5
2019_36,2
2019_37,2
2019_38,3
2019_39,3
2019_40,4
2019_41,5
2019_42,4
2019_43,6
2019_44,1
2019_45,3
2019_46,8
2019_47,9
2019_48,6
2019_49,5
2019_50,9
2019_51,5
2019_52,3
2020_00,6
2020_01,13
2020_02,9
2020_03,11
2020_04,6
2020_05,13
2020_06,6
2020_07,8
2020_08,7
2020_09,15
2020_10,15
2020_11,12
2020_12,16
2020_13,7
2020_14,10
2020_15,17
2020_16,7
2020_17,15
2020_18,16
2020_19,16
2020_20,16
2020_21,14
2020_22,19
2020_23,20
2020_24,13
2020_25,18
2020_26,17
2020_27,9
2020_28,24
2020_29,18
2020_30,18
2020_31,15
2020_32,15
2020_33,18
2020_34,13
2020_35,19
2020_36,20
2020_37,23
2020_38,18
2020_39,23
2020_40,14
2020_41,16
2020_42,20
2020_43,23
2020_44,21
2020_45,26
2020_46,20
2020_47,16
2020_48,23
2020_49,27
2020_50,29
2020_51,17
2020_52,7
2021_00,24
2021_01,25
2021_02,27
2021_03,22
2021_04,26
2021_05,25
2021_06,21
2021_07,28
2021_08,29
2021_09,29
2021_10,20
2021_11,29
2021_12,20
2021_13,15
2021_14,27
2021_15,38
2021_16,33
2021_17,26
2021_18,24
2021_19,35
2021_20,29
2021_21,28
2021_22,25
2021_23,34
2021_24,36
2021_25,18
2021_26,32
2021_27,39
2021_28,29
2021_29,35
2021_30,30
2021_31,48
2021_32,36
2021_33,29
2021_34,35
2021_35,44
2021_36,31
2021_37,51
2021_38,32
2021_39,45
2021_40,50
2021_41,35
2021_42,34
2021_43,44
2021_44,44
2021_45,43
2021_46,32
2021_47,41
2021_48,45
2021_49,40
2021_50,43
2021_51,41
2021_52,9
2022_00,18
2022_01,50
2022_02,37
2022_03,33
2022_04,49
2022_05,48
2022_06,36
2022_07,47
2022_08,52
2022_09,36
2022_10,45
2022_11,43
2022_12,48
2022_13,35
2022_14,40
2022_15,36
2022_16,53
2022_17,30
2022_18,51
2022_19,43
2022_20,56
2022_21,32
2022_22,54
2022_23,43
2022_24,52
2022_25,43
2022_26,41
2022_27,47
2022_28,54
2022_29,48
2022_30,57
2022_31,53
2022_32,44
2022_33,64
2022_34,44
2022_35,53
2022_36,55
2022_37,49
2022_38,53
2022_39,42
2022_40,49
2022_41,58
2022_42,53
2022_43,38
2022_44,52
2022_45,52
2022_46,35
2022_47,49
2022_48,54
2022_49,44
2022_50,45
2022_51,45
2022_52,17
2023_00,43
2023_01,65
2023_02,65
2023_03,63
2023_04,55
2023_05,69
2023_06,56
2023_07,66
2023_08,67
2023_09,68
2023_10,60
2023_11,70
2023_12,56
2023_13,59
2023_14,58
2023_15,56
2023_16,67
2023_17,72
2023_18,55
2023_19,58
2023_20,60
2023_21,73
2023_22,67
2023_23,61
2023_24,70
2023_25,70
2023_26,59
2023_27,60
2023_28,76
2023_29,70
2023_30,61
2023_31,73
2023_32,80
2023_33,69
2023_34,64
2023_35,65
2023_36,71
2023_37,74
2023_38,74
2023_39,80
2023_40,65
2023_41,67
2023_42,54
2023_43,89
2023_44,73
2023_45,77
2023_46,73
2023_47,92
2023_48,67
2023_49,24
