year_week,count
2019_34,1
2019_39,1
2019_40,1
2019_41,1
2019_43,2
2019_45,1
2019_46,2
2019_47,1
2019_49,1
2019_50,2
2019_51,2
2019_52,1
2020_01,2
2020_02,1
2020_05,1
2020_07,1
2020_09,1
2020_10,1
2020_11,1
2020_12,3
2020_14,3
2020_15,1
2020_16,1
2020_17,1
2020_19,4
2020_20,3
2020_21,3
2020_22,1
2020_23,1
2020_24,3
2020_25,2
2020_26,1
2020_27,2
2020_28,5
2020_30,1
2020_31,3
2020_32,1
2020_33,3
2020_35,2
2020_36,2
2020_37,1
2020_38,2
2020_39,2
2020_40,1
2020_42,2
2020_44,3
2020_45,2
2020_46,2
2020_47,3
2020_48,1
2020_49,2
2020_50,3
2020_51,3
2020_52,1
2021_01,1
2021_02,2
2021_03,3
2021_04,4
2021_05,2
2021_06,3
2021_07,2
2021_08,2
2021_09,1
2021_10,5
2021_11,3
2021_12,11
2021_13,7
2021_14,1
2021_15,3
2021_16,3
2021_17,5
2021_18,2
2021_19,4
2021_20,8
2021_21,1
2021_22,2
2021_23,4
2021_24,1
2021_25,3
2021_26,4
2021_27,1
2021_28,7
2021_29,5
2021_30,5
2021_31,2
2021_32,5
2021_33,4
2021_34,8
2021_35,5
2021_36,6
2021_37,3
2021_38,4
2021_39,6
2021_40,6
2021_41,2
2021_42,7
2021_43,7
2021_44,8
2021_45,9
2021_46,3
2021_47,3
2021_48,4
2021_49,5
2021_50,6
2021_51,7
2021_52,1
2022_00,3
2022_01,6
2022_02,3
2022_03,6
2022_04,5
2022_05,4
2022_06,2
2022_07,3
2022_08,3
2022_09,11
2022_10,1
2022_11,8
2022_12,4
2022_13,6
2022_14,10
2022_15,5
2022_16,5
2022_17,7
2022_18,1
2022_19,1
2022_20,10
2022_21,5
2022_22,6
2022_23,5
2022_24,7
2022_25,7
2022_26,6
2022_27,7
2022_28,5
2022_29,6
2022_30,7
2022_31,4
2022_32,6
2022_33,5
2022_34,13
2022_35,11
2022_36,9
2022_37,5
2022_38,7
2022_39,7
2022_40,8
2022_41,6
2022_42,4
2022_43,7
2022_44,12
2022_45,4
2022_46,10
2022_47,3
2022_48,6
2022_49,6
2022_50,8
2022_51,7
2022_52,2
2023_00,5
2023_01,9
2023_02,8
2023_03,4
2023_04,5
2023_05,7
2023_06,2
2023_07,6
2023_08,11
2023_09,6
2023_10,3
2023_11,7
2023_12,4
2023_13,9
2023_14,7
2023_15,9
2023_16,7
2023_17,14
2023_18,10
2023_19,4
2023_20,6
2023_21,9
2023_22,6
2023_23,9
2023_24,5
2023_25,11
2023_26,2
2023_27,6
2023_28,12
2023_29,7
2023_30,9
2023_31,12
2023_32,8
2023_33,9
2023_34,9
2023_35,4
2023_36,7
2023_37,9
2023_38,7
2023_39,12
2023_40,7
2023_41,11
2023_42,12
2023_43,11
2023_44,10
2023_45,10
2023_46,9
2023_47,8
2023_48,11
2023_49,3
