year_week,count
2019_31,1
2019_33,3
2019_35,1
2019_36,2
2019_37,2
2019_38,1
2019_39,3
2019_40,5
2019_41,3
2019_42,10
2019_43,1
2019_44,1
2019_45,6
2019_46,3
2019_47,5
2019_48,9
2019_49,3
2019_50,4
2019_51,7
2019_52,2
2020_00,5
2020_01,5
2020_02,6
2020_03,9
2020_04,7
2020_05,3
2020_06,6
2020_07,9
2020_08,9
2020_09,12
2020_10,10
2020_11,17
2020_12,14
2020_13,12
2020_14,18
2020_15,10
2020_16,12
2020_17,9
2020_18,12
2020_19,11
2020_20,9
2020_21,13
2020_22,8
2020_23,19
2020_24,7
2020_25,10
2020_26,16
2020_27,12
2020_28,15
2020_29,18
2020_30,12
2020_31,15
2020_32,12
2020_33,14
2020_34,14
2020_35,14
2020_36,9
2020_37,15
2020_38,18
2020_39,16
2020_40,15
2020_41,16
2020_42,13
2020_43,13
2020_44,24
2020_45,19
2020_46,16
2020_47,23
2020_48,12
2020_49,18
2020_50,19
2020_51,21
2020_52,6
2021_00,17
2021_01,18
2021_02,16
2021_03,25
2021_04,28
2021_05,19
2021_06,15
2021_07,34
2021_08,17
2021_09,24
2021_10,21
2021_11,22
2021_12,25
2021_13,21
2021_14,17
2021_15,17
2021_16,24
2021_17,19
2021_18,14
2021_19,35
2021_20,23
2021_21,30
2021_22,23
2021_23,26
2021_24,25
2021_25,29
2021_26,19
2021_27,25
2021_28,27
2021_29,29
2021_30,38
2021_31,30
2021_32,22
2021_33,27
2021_34,24
2021_35,36
2021_36,23
2021_37,30
2021_38,29
2021_39,27
2021_40,29
2021_41,43
2021_42,28
2021_43,26
2021_44,34
2021_45,29
2021_46,31
2021_47,23
2021_48,28
2021_49,27
2021_50,31
2021_51,39
2021_52,6
2022_00,31
2022_01,37
2022_02,45
2022_03,39
2022_04,45
2022_05,36
2022_06,36
2022_07,22
2022_08,35
2022_09,28
2022_10,38
2022_11,40
2022_12,42
2022_13,31
2022_14,38
2022_15,13
2022_16,28
2022_17,49
2022_18,46
2022_19,40
2022_20,34
2022_21,39
2022_22,26
2022_23,38
2022_24,35
2022_25,62
2022_26,35
2022_27,36
2022_28,38
2022_29,30
2022_30,45
2022_31,32
2022_32,42
2022_33,38
2022_34,32
2022_35,39
2022_36,49
2022_37,47
2022_38,48
2022_39,39
2022_40,37
2022_41,43
2022_42,40
2022_43,54
2022_44,52
2022_45,40
2022_46,38
2022_47,43
2022_48,39
2022_49,53
2022_50,47
2022_51,40
2022_52,10
2023_00,55
2023_01,51
2023_02,57
2023_03,47
2023_04,44
2023_05,66
2023_06,39
2023_07,40
2023_08,54
2023_09,59
2023_10,47
2023_11,57
2023_12,50
2023_13,51
2023_14,53
2023_15,63
2023_16,49
2023_17,57
2023_18,55
2023_19,53
2023_20,66
2023_21,42
2023_22,55
2023_23,55
2023_24,51
2023_25,47
2023_26,55
2023_27,48
2023_28,49
2023_29,64
2023_30,52
2023_31,68
2023_32,70
2023_33,50
2023_34,56
2023_35,57
2023_36,70
2023_37,55
2023_38,44
2023_39,65
2023_40,76
2023_41,60
2023_42,57
2023_43,39
2023_44,68
2023_45,54
2023_46,51
2023_47,59
2023_48,53
2023_49,30
