year_week,count
2019_41,1
2019_42,1
2019_47,2
2019_48,1
2019_49,1
2020_00,1
2020_01,2
2020_02,1
2020_04,4
2020_07,1
2020_08,3
2020_09,1
2020_10,1
2020_12,1
2020_13,5
2020_15,1
2020_16,4
2020_17,4
2020_18,1
2020_19,4
2020_20,3
2020_21,2
2020_23,2
2020_26,2
2020_28,1
2020_29,2
2020_30,1
2020_32,3
2020_33,2
2020_34,2
2020_35,3
2020_36,2
2020_37,2
2020_38,5
2020_39,2
2020_40,2
2020_41,4
2020_42,3
2020_43,1
2020_44,3
2020_46,2
2020_47,6
2020_48,2
2020_49,3
2020_50,1
2020_51,1
2021_00,4
2021_01,2
2021_02,1
2021_03,2
2021_04,4
2021_05,1
2021_06,2
2021_07,1
2021_08,4
2021_09,2
2021_11,4
2021_12,3
2021_13,1
2021_14,3
2021_15,1
2021_16,1
2021_17,2
2021_18,3
2021_19,5
2021_20,1
2021_21,2
2021_22,6
2021_23,5
2021_24,3
2021_25,4
2021_26,5
2021_27,6
2021_28,2
2021_29,1
2021_30,6
2021_31,2
2021_32,5
2021_33,4
2021_34,4
2021_35,4
2021_36,4
2021_37,4
2021_38,4
2021_39,5
2021_40,3
2021_41,4
2021_42,2
2021_43,4
2021_44,5
2021_45,6
2021_46,3
2021_47,3
2021_48,3
2021_49,1
2021_50,6
2021_51,6
2021_52,2
2022_00,4
2022_01,6
2022_02,8
2022_03,6
2022_04,4
2022_05,4
2022_06,7
2022_07,3
2022_08,6
2022_09,7
2022_10,3
2022_11,7
2022_12,2
2022_13,1
2022_14,7
2022_15,3
2022_16,6
2022_17,8
2022_18,8
2022_19,9
2022_20,7
2022_21,7
2022_22,7
2022_23,5
2022_24,5
2022_25,2
2022_26,8
2022_27,3
2022_28,7
2022_29,6
2022_30,7
2022_31,9
2022_32,8
2022_33,3
2022_34,7
2022_35,4
2022_36,4
2022_37,9
2022_38,7
2022_39,8
2022_40,9
2022_41,6
2022_42,2
2022_43,8
2022_44,8
2022_45,14
2022_46,7
2022_47,8
2022_48,10
2022_49,9
2022_50,4
2022_51,7
2022_52,3
2023_00,6
2023_01,6
2023_02,11
2023_03,3
2023_04,9
2023_05,7
2023_06,2
2023_07,9
2023_08,8
2023_09,11
2023_10,10
2023_11,6
2023_12,8
2023_13,5
2023_14,6
2023_15,5
2023_16,3
2023_17,7
2023_18,3
2023_19,5
2023_20,11
2023_21,3
2023_22,7
2023_23,8
2023_24,8
2023_25,6
2023_26,6
2023_27,4
2023_28,10
2023_29,6
2023_30,9
2023_31,6
2023_32,1
2023_33,4
2023_34,6
2023_35,8
2023_36,10
2023_37,9
2023_38,12
2023_39,8
2023_40,2
2023_41,7
2023_42,8
2023_43,9
2023_44,2
2023_45,6
2023_46,11
2023_47,12
2023_48,8
2023_49,7
