year_week,count
2019_30,2
2019_31,3
2019_32,2
2019_33,1
2019_34,3
2019_35,1
2019_36,1
2019_38,2
2019_39,4
2019_40,4
2019_41,5
2019_42,2
2019_43,8
2019_44,6
2019_45,5
2019_46,5
2019_47,1
2019_48,6
2019_49,5
2019_50,9
2019_51,5
2019_52,1
2020_00,3
2020_01,12
2020_02,3
2020_03,5
2020_04,12
2020_05,10
2020_06,6
2020_07,8
2020_08,9
2020_09,4
2020_10,7
2020_11,4
2020_12,10
2020_13,12
2020_14,9
2020_15,6
2020_16,10
2020_17,14
2020_18,9
2020_19,10
2020_20,12
2020_21,14
2020_22,11
2020_23,18
2020_24,21
2020_25,12
2020_26,10
2020_27,17
2020_28,12
2020_29,6
2020_30,13
2020_31,6
2020_32,21
2020_33,14
2020_34,16
2020_35,16
2020_36,12
2020_37,13
2020_38,9
2020_39,12
2020_40,17
2020_41,11
2020_42,14
2020_43,10
2020_44,23
2020_45,22
2020_46,19
2020_47,18
2020_48,18
2020_49,26
2020_50,11
2020_51,19
2020_52,6
2021_00,16
2021_01,32
2021_02,16
2021_03,18
2021_04,15
2021_05,22
2021_06,27
2021_07,17
2021_08,13
2021_09,23
2021_10,23
2021_11,29
2021_12,23
2021_13,16
2021_14,23
2021_15,16
2021_16,26
2021_17,23
2021_18,28
2021_19,19
2021_20,15
2021_21,32
2021_22,23
2021_23,13
2021_24,16
2021_25,21
2021_26,27
2021_27,12
2021_28,19
2021_29,22
2021_30,28
2021_31,24
2021_32,29
2021_33,29
2021_34,26
2021_35,33
2021_36,30
2021_37,19
2021_38,35
2021_39,24
2021_40,19
2021_41,32
2021_42,26
2021_43,28
2021_44,33
2021_45,40
2021_46,23
2021_47,35
2021_48,38
2021_49,37
2021_50,42
2021_51,30
2021_52,11
2022_00,32
2022_01,38
2022_02,32
2022_03,34
2022_04,40
2022_05,28
2022_06,30
2022_07,39
2022_08,38
2022_09,31
2022_10,18
2022_11,42
2022_12,41
2022_13,32
2022_14,45
2022_15,39
2022_16,45
2022_17,34
2022_18,35
2022_19,41
2022_20,42
2022_21,39
2022_22,33
2022_23,42
2022_24,43
2022_25,42
2022_26,44
2022_27,39
2022_28,40
2022_29,40
2022_30,35
2022_31,44
2022_32,32
2022_33,37
2022_34,40
2022_35,40
2022_36,36
2022_37,33
2022_38,42
2022_39,37
2022_40,38
2022_41,45
2022_42,42
2022_43,47
2022_44,55
2022_45,47
2022_46,39
2022_47,45
2022_48,41
2022_49,52
2022_50,48
2022_51,41
2022_52,16
2023_00,33
2023_01,50
2023_02,48
2023_03,46
2023_04,45
2023_05,48
2023_06,51
2023_07,56
2023_08,55
2023_09,54
2023_10,38
2023_11,55
2023_12,61
2023_13,49
2023_14,54
2023_15,49
2023_16,50
2023_17,41
2023_18,60
2023_19,42
2023_20,50
2023_21,49
2023_22,54
2023_23,61
2023_24,55
2023_25,41
2023_26,53
2023_27,55
2023_28,54
2023_29,54
2023_30,47
2023_31,70
2023_32,62
2023_33,46
2023_34,62
2023_35,53
2023_36,53
2023_37,50
2023_38,46
2023_39,44
2023_40,69
2023_41,53
2023_42,60
2023_43,56
2023_44,62
2023_45,63
2023_46,42
2023_47,66
2023_48,80
2023_49,26
