year_week,count
2019_31,1
2019_33,3
2019_35,1
2019_36,3
2019_37,3
2019_38,1
2019_39,2
2019_40,5
2019_41,3
2019_42,7
2019_43,7
2019_44,6
2019_45,4
2019_46,7
2019_47,6
2019_48,5
2019_49,8
2019_50,11
2019_51,5
2019_52,4
2020_00,11
2020_01,7
2020_02,7
2020_03,6
2020_04,8
2020_05,9
2020_06,9
2020_07,7
2020_08,10
2020_09,4
2020_10,5
2020_11,7
2020_12,5
2020_13,9
2020_14,11
2020_15,9
2020_16,9
2020_17,10
2020_18,14
2020_19,9
2020_20,8
2020_21,19
2020_22,14
2020_23,13
2020_24,9
2020_25,10
2020_26,12
2020_27,12
2020_28,7
2020_29,13
2020_30,11
2020_31,16
2020_32,18
2020_33,6
2020_34,10
2020_35,13
2020_36,16
2020_37,6
2020_38,22
2020_39,7
2020_40,15
2020_41,16
2020_42,12
2020_43,15
2020_44,15
2020_45,21
2020_46,15
2020_47,25
2020_48,24
2020_49,23
2020_50,18
2020_51,20
2020_52,1
2021_00,15
2021_01,15
2021_02,15
2021_03,20
2021_04,19
2021_05,10
2021_06,22
2021_07,18
2021_08,16
2021_09,19
2021_10,26
2021_11,13
2021_12,23
2021_13,22
2021_14,21
2021_15,23
2021_16,25
2021_17,14
2021_18,31
2021_19,21
2021_20,28
2021_21,28
2021_22,16
2021_23,29
2021_24,18
2021_25,23
2021_26,34
2021_27,23
2021_28,24
2021_29,32
2021_30,26
2021_31,26
2021_32,29
2021_33,24
2021_34,29
2021_35,21
2021_36,22
2021_37,30
2021_38,43
2021_39,20
2021_40,25
2021_41,34
2021_42,21
2021_43,26
2021_44,33
2021_45,33
2021_46,30
2021_47,31
2021_48,25
2021_49,32
2021_50,33
2021_51,33
2021_52,5
2022_00,37
2022_01,26
2022_02,33
2022_03,35
2022_04,30
2022_05,31
2022_06,34
2022_07,31
2022_08,40
2022_09,32
2022_10,27
2022_11,35
2022_12,48
2022_13,37
2022_14,35
2022_15,30
2022_16,33
2022_17,33
2022_18,43
2022_19,23
2022_20,36
2022_21,40
2022_22,41
2022_23,46
2022_24,38
2022_25,35
2022_26,39
2022_27,38
2022_28,37
2022_29,45
2022_30,43
2022_31,38
2022_32,33
2022_33,60
2022_34,41
2022_35,39
2022_36,45
2022_37,52
2022_38,45
2022_39,50
2022_40,56
2022_41,44
2022_42,43
2022_43,49
2022_44,48
2022_45,47
2022_46,59
2022_47,47
2022_48,39
2022_49,55
2022_50,34
2022_51,39
2022_52,12
2023_00,38
2023_01,58
2023_02,46
2023_03,47
2023_04,52
2023_05,48
2023_06,55
2023_07,51
2023_08,58
2023_09,61
2023_10,52
2023_11,33
2023_12,56
2023_13,47
2023_14,54
2023_15,50
2023_16,48
2023_17,64
2023_18,55
2023_19,68
2023_20,50
2023_21,53
2023_22,47
2023_23,40
2023_24,36
2023_25,55
2023_26,55
2023_27,54
2023_28,62
2023_29,41
2023_30,55
2023_31,52
2023_32,56
2023_33,53
2023_34,49
2023_35,45
2023_36,54
2023_37,61
2023_38,46
2023_39,53
2023_40,55
2023_41,71
2023_42,72
2023_43,46
2023_44,55
2023_45,64
2023_46,65
2023_47,60
2023_48,75
2023_49,25
