year_week,count
2019_30,1
2019_32,2
2019_33,1
2019_34,1
2019_35,2
2019_36,1
2019_37,1
2019_38,2
2019_40,6
2019_41,2
2019_42,5
2019_43,3
2019_44,3
2019_45,2
2019_46,4
2019_48,1
2019_49,7
2019_50,2
2019_51,8
2019_52,3
2020_00,5
2020_01,2
2020_02,2
2020_03,13
2020_04,8
2020_05,15
2020_06,8
2020_07,10
2020_08,10
2020_09,12
2020_10,5
2020_11,12
2020_12,9
2020_13,9
2020_14,13
2020_15,9
2020_16,10
2020_17,8
2020_18,8
2020_19,11
2020_20,13
2020_21,17
2020_22,15
2020_23,11
2020_24,9
2020_25,12
2020_26,15
2020_27,12
2020_28,12
2020_29,21
2020_30,12
2020_31,20
2020_32,14
2020_33,17
2020_34,16
2020_35,11
2020_36,19
2020_37,18
2020_38,10
2020_39,18
2020_40,17
2020_41,19
2020_42,22
2020_43,26
2020_44,22
2020_45,11
2020_46,13
2020_47,21
2020_48,13
2020_49,18
2020_50,18
2020_51,17
2020_52,5
2021_00,15
2021_01,18
2021_02,20
2021_03,15
2021_04,19
2021_05,15
2021_06,21
2021_07,25
2021_08,33
2021_09,28
2021_10,30
2021_11,20
2021_12,23
2021_13,26
2021_14,21
2021_15,22
2021_16,21
2021_17,31
2021_18,33
2021_19,29
2021_20,27
2021_21,29
2021_22,28
2021_23,34
2021_24,27
2021_25,24
2021_26,25
2021_27,20
2021_28,31
2021_29,33
2021_30,28
2021_31,27
2021_32,43
2021_33,27
2021_34,24
2021_35,24
2021_36,24
2021_37,29
2021_38,32
2021_39,33
2021_40,32
2021_41,26
2021_42,36
2021_43,29
2021_44,34
2021_45,35
2021_46,31
2021_47,30
2021_48,30
2021_49,39
2021_50,42
2021_51,36
2021_52,7
2022_00,31
2022_01,37
2022_02,26
2022_03,43
2022_04,26
2022_05,42
2022_06,26
2022_07,17
2022_08,38
2022_09,37
2022_10,37
2022_11,39
2022_12,43
2022_13,26
2022_14,37
2022_15,29
2022_16,29
2022_17,36
2022_18,38
2022_19,34
2022_20,41
2022_21,39
2022_22,35
2022_23,36
2022_24,38
2022_25,39
2022_26,38
2022_27,45
2022_28,47
2022_29,36
2022_30,41
2022_31,46
2022_32,42
2022_33,45
2022_34,31
2022_35,42
2022_36,40
2022_37,36
2022_38,44
2022_39,45
2022_40,42
2022_41,43
2022_42,33
2022_43,37
2022_44,47
2022_45,40
2022_46,50
2022_47,47
2022_48,52
2022_49,50
2022_50,44
2022_51,57
2022_52,17
2023_00,41
2023_01,51
2023_02,53
2023_03,53
2023_04,48
2023_05,47
2023_06,43
2023_07,57
2023_08,58
2023_09,42
2023_10,59
2023_11,53
2023_12,55
2023_13,36
2023_14,57
2023_15,53
2023_16,39
2023_17,65
2023_18,55
2023_19,52
2023_20,54
2023_21,53
2023_22,54
2023_23,61
2023_24,43
2023_25,57
2023_26,65
2023_27,56
2023_28,55
2023_29,60
2023_30,44
2023_31,53
2023_32,66
2023_33,67
2023_34,54
2023_35,56
2023_36,59
2023_37,68
2023_38,59
2023_39,60
2023_40,56
2023_41,65
2023_42,71
2023_43,60
2023_44,66
2023_45,68
2023_46,53
2023_47,61
2023_48,80
2023_49,34
