year_week,count
2019_28,1
2019_29,4
2019_31,2
2019_32,2
2019_33,1
2019_34,3
2019_36,2
2019_37,2
2019_38,3
2019_39,6
2019_40,5
2019_41,6
2019_42,3
2019_43,5
2019_44,5
2019_45,5
2019_46,8
2019_47,5
2019_48,6
2019_49,9
2019_50,8
2019_51,6
2019_52,1
2020_00,7
2020_01,14
2020_02,7
2020_03,4
2020_04,11
2020_05,8
2020_06,7
2020_07,10
2020_08,4
2020_09,7
2020_10,14
2020_11,15
2020_12,18
2020_13,11
2020_14,14
2020_15,13
2020_16,5
2020_17,16
2020_18,9
2020_19,18
2020_20,13
2020_21,30
2020_22,11
2020_23,16
2020_24,11
2020_25,11
2020_26,19
2020_27,24
2020_28,25
2020_29,9
2020_30,22
2020_31,11
2020_32,18
2020_33,19
2020_34,14
2020_35,20
2020_36,18
2020_37,20
2020_38,12
2020_39,11
2020_40,23
2020_41,15
2020_42,16
2020_43,14
2020_44,22
2020_45,26
2020_46,28
2020_47,21
2020_48,27
2020_49,18
2020_50,27
2020_51,22
2020_52,5
2021_00,25
2021_01,14
2021_02,30
2021_03,22
2021_04,17
2021_05,18
2021_06,28
2021_07,19
2021_08,19
2021_09,22
2021_10,27
2021_11,26
2021_12,28
2021_13,29
2021_14,23
2021_15,20
2021_16,31
2021_17,29
2021_18,30
2021_19,34
2021_20,34
2021_21,36
2021_22,24
2021_23,16
2021_24,32
2021_25,32
2021_26,24
2021_27,34
2021_28,37
2021_29,37
2021_30,13
2021_31,27
2021_32,35
2021_33,33
2021_34,38
2021_35,34
2021_36,36
2021_37,37
2021_38,32
2021_39,34
2021_40,51
2021_41,39
2021_42,28
2021_43,38
2021_44,49
2021_45,34
2021_46,37
2021_47,40
2021_48,38
2021_49,26
2021_50,37
2021_51,44
2021_52,11
2022_00,32
2022_01,51
2022_02,35
2022_03,53
2022_04,33
2022_05,28
2022_06,48
2022_07,40
2022_08,39
2022_09,42
2022_10,39
2022_11,45
2022_12,38
2022_13,43
2022_14,44
2022_15,41
2022_16,49
2022_17,49
2022_18,44
2022_19,39
2022_20,58
2022_21,50
2022_22,52
2022_23,47
2022_24,56
2022_25,61
2022_26,56
2022_27,47
2022_28,39
2022_29,46
2022_30,54
2022_31,54
2022_32,56
2022_33,54
2022_34,54
2022_35,51
2022_36,47
2022_37,51
2022_38,40
2022_39,56
2022_40,52
2022_41,62
2022_42,54
2022_43,67
2022_44,64
2022_45,68
2022_46,49
2022_47,54
2022_48,51
2022_49,61
2022_50,61
2022_51,49
2022_52,13
2023_00,42
2023_01,55
2023_02,66
2023_03,67
2023_04,64
2023_05,69
2023_06,65
2023_07,61
2023_08,62
2023_09,71
2023_10,49
2023_11,59
2023_12,58
2023_13,64
2023_14,54
2023_15,74
2023_16,53
2023_17,65
2023_18,58
2023_19,57
2023_20,65
2023_21,72
2023_22,68
2023_23,68
2023_24,85
2023_25,58
2023_26,79
2023_27,63
2023_28,67
2023_29,61
2023_30,64
2023_31,73
2023_32,65
2023_33,81
2023_34,67
2023_35,67
2023_36,60
2023_37,67
2023_38,81
2023_39,65
2023_40,64
2023_41,79
2023_42,56
2023_43,65
2023_44,84
2023_45,62
2023_46,78
2023_47,72
2023_48,79
2023_49,19
