year_week,count
2019_36,1
2019_40,1
2019_46,1
2019_47,1
2019_50,1
2020_02,1
2020_03,2
2020_05,1
2020_07,2
2020_08,1
2020_09,1
2020_11,2
2020_17,1
2020_20,2
2020_23,1
2020_24,1
2020_26,1
2020_27,1
2020_28,1
2020_30,1
2020_31,1
2020_33,2
2020_37,1
2020_38,1
2020_39,2
2020_40,2
2020_42,1
2020_43,1
2020_44,3
2020_45,5
2020_46,1
2020_49,3
2020_50,1
2020_51,2
2020_52,1
2021_01,3
2021_02,1
2021_03,1
2021_04,3
2021_05,2
2021_06,2
2021_07,1
2021_08,2
2021_13,1
2021_14,3
2021_15,2
2021_16,3
2021_17,1
2021_18,2
2021_19,2
2021_21,2
2021_24,2
2021_25,3
2021_26,2
2021_27,1
2021_28,1
2021_29,2
2021_30,2
2021_32,2
2021_33,6
2021_34,4
2021_35,2
2021_36,1
2021_37,1
2021_38,3
2021_39,3
2021_40,2
2021_41,1
2021_42,2
2021_43,2
2021_44,1
2021_45,4
2021_46,3
2021_47,2
2021_48,4
2021_49,4
2021_50,5
2021_51,2
2021_52,1
2022_00,2
2022_02,2
2022_03,2
2022_04,1
2022_05,3
2022_06,1
2022_08,6
2022_09,3
2022_11,3
2022_12,3
2022_13,5
2022_14,2
2022_15,3
2022_16,1
2022_17,2
2022_18,2
2022_19,1
2022_20,3
2022_21,2
2022_22,2
2022_23,4
2022_25,2
2022_26,3
2022_27,2
2022_28,6
2022_29,1
2022_30,4
2022_31,5
2022_32,3
2022_33,5
2022_34,5
2022_35,2
2022_36,1
2022_37,2
2022_38,1
2022_39,4
2022_40,4
2022_41,2
2022_42,4
2022_44,4
2022_45,3
2022_46,2
2022_47,5
2022_48,4
2022_49,7
2022_50,2
2022_51,2
2022_52,1
2023_00,3
2023_01,5
2023_02,3
2023_03,1
2023_04,1
2023_06,4
2023_07,8
2023_08,1
2023_09,5
2023_10,5
2023_11,2
2023_12,8
2023_13,3
2023_14,4
2023_15,3
2023_16,5
2023_17,1
2023_18,4
2023_19,6
2023_20,6
2023_21,3
2023_22,2
2023_23,4
2023_24,4
2023_25,7
2023_26,7
2023_27,5
2023_28,6
2023_29,4
2023_30,3
2023_31,4
2023_32,4
2023_33,5
2023_34,3
2023_35,4
2023_36,2
2023_37,2
2023_38,4
2023_39,2
2023_40,2
2023_41,3
2023_42,11
2023_43,9
2023_44,3
2023_45,4
2023_46,5
2023_47,2
2023_48,4
2023_49,1
